ticker,cik,cik10,name,downloaded_at
A,1090872,0001090872,"AGILENT TECHNOLOGIES, INC.",2026-05-20T09:51:01.214500+00:00
AA,1675149,0001675149,Alcoa Corp,2026-05-20T09:51:01.214500+00:00
AAAU,1708646,0001708646,Goldman Sachs Physical Gold ETF,2026-05-20T09:51:01.214500+00:00
AACB,2034334,0002034334,Artius II Acquisition Inc.,2026-05-20T09:51:01.214500+00:00
AACBR,2034334,0002034334,Artius II Acquisition Inc.,2026-05-20T09:51:01.214500+00:00
AACBU,2034334,0002034334,Artius II Acquisition Inc.,2026-05-20T09:51:01.214500+00:00
AACG,1420529,0001420529,ATA Creativity Global,2026-05-20T09:51:01.214500+00:00
AACI,2092897,0002092897,Armada Acquisition Corp. III,2026-05-20T09:51:01.214500+00:00
AACIU,2092897,0002092897,Armada Acquisition Corp. III,2026-05-20T09:51:01.214500+00:00
AACIW,2092897,0002092897,Armada Acquisition Corp. III,2026-05-20T09:51:01.214500+00:00
AACO,2099906,0002099906,Abony Acquisition Corp. I,2026-05-20T09:51:01.214500+00:00
AACOU,2099906,0002099906,Abony Acquisition Corp. I,2026-05-20T09:51:01.214500+00:00
AACOW,2099906,0002099906,Abony Acquisition Corp. I,2026-05-20T09:51:01.214500+00:00
AACP,2102123,0002102123,Apogee Acquisition Corp,2026-05-20T09:51:01.214500+00:00
AACPU,2102123,0002102123,Apogee Acquisition Corp,2026-05-20T09:51:01.214500+00:00
AADX,2118195,0002118195,"Applied Aerospace & Defense, Inc.",2026-05-20T09:51:01.214500+00:00
AAL,6201,0000006201,American Airlines Group Inc.,2026-05-20T09:51:01.214500+00:00
AAME,8177,0000008177,ATLANTIC AMERICAN CORP,2026-05-20T09:51:01.214500+00:00
AAMI,1748824,0001748824,Acadian Asset Management Inc.,2026-05-20T09:51:01.214500+00:00
AAMTF,1327899,0001327899,Armada Mercantile Ltd,2026-05-20T09:51:01.214500+00:00
AAOI,1158114,0001158114,"APPLIED OPTOELECTRONICS, INC.",2026-05-20T09:51:01.214500+00:00
AAON,824142,0000824142,"AAON, INC.",2026-05-20T09:51:01.214500+00:00
AAP,1158449,0001158449,ADVANCE AUTO PARTS INC,2026-05-20T09:51:01.214500+00:00
AAPG,2023311,0002023311,ASCENTAGE PHARMA GROUP INTERNATIONAL,2026-05-20T09:51:01.214500+00:00
AAPI,1134982,0001134982,"Apple iSports Group, Inc.",2026-05-20T09:51:01.214500+00:00
AAPL,320193,0000320193,Apple Inc.,2026-05-20T09:51:01.214500+00:00
AAQL,1672571,0001672571,Antiaging Quantum Living Inc.,2026-05-20T09:51:01.214500+00:00
AARD,1774857,0001774857,"Aardvark Therapeutics, Inc.",2026-05-20T09:51:01.214500+00:00
AAS,2010218,0002010218,Antharas Inc,2026-05-20T09:51:01.214500+00:00
AASP,930245,0000930245,Agassi Sports Entertainment Corp.,2026-05-20T09:51:01.214500+00:00
AAT,1500217,0001500217,"American Assets Trust, Inc.",2026-05-20T09:51:01.214500+00:00
AATC,943034,0000943034,AUTOSCOPE TECHNOLOGIES CORP,2026-05-20T09:51:01.214500+00:00
AAUAF,1015647,0001015647,ALMADEN MINERALS LTD,2026-05-20T09:51:01.214500+00:00
AAUC,1993344,0001993344,Allied Gold Corp,2026-05-20T09:51:01.214500+00:00
AAUGF,1905688,0001905688,AERO ENERGY Ltd,2026-05-20T09:51:01.214500+00:00
AAVXF,1956827,0001956827,Abivax S.A.,2026-05-20T09:51:01.214500+00:00
AAWH,1756390,0001756390,"Ascend Wellness Holdings, Inc.",2026-05-20T09:51:01.214500+00:00
AB,825313,0000825313,ALLIANCEBERNSTEIN HOLDING L.P.,2026-05-20T09:51:01.214500+00:00
ABAKF,790500,0000790500,"ABRDN ASIA-PACIFIC INCOME FUND, INC.",2026-05-20T09:51:01.214500+00:00
ABAT,1576873,0001576873,AMERICAN BATTERY TECHNOLOGY Co,2026-05-20T09:51:01.214500+00:00
ABBNY,1091587,0001091587,ABB LTD,2026-05-20T09:51:01.214500+00:00
ABBV,1551152,0001551152,AbbVie Inc.,2026-05-20T09:51:01.214500+00:00
ABCB,351569,0000351569,Ameris Bancorp,2026-05-20T09:51:01.214500+00:00
ABCFF,1284237,0001284237,ABACUS MINING & EXPLORATION CORP,2026-05-20T09:51:01.214500+00:00
ABCL,1703057,0001703057,AbCellera Biologics Inc.,2026-05-20T09:51:01.214500+00:00
ABCP,20639,0000020639,AmBase Corp,2026-05-20T09:51:01.214500+00:00
ABEO,318306,0000318306,ABEONA THERAPEUTICS INC.,2026-05-20T09:51:01.214500+00:00
ABEV,1565025,0001565025,AMBEV S.A.,2026-05-20T09:51:01.214500+00:00
ABG,1144980,0001144980,ASBURY AUTOMOTIVE GROUP INC,2026-05-20T09:51:01.214500+00:00
ABIT,1095146,0001095146,Athena Bitcoin Global,2026-05-20T09:51:01.214500+00:00
ABLV,1957489,0001957489,Able View Global Inc.,2026-05-20T09:51:01.214500+00:00
ABLVW,1957489,0001957489,Able View Global Inc.,2026-05-20T09:51:01.214500+00:00
ABLZF,1091587,0001091587,ABB LTD,2026-05-20T09:51:01.214500+00:00
ABM,771497,0000771497,ABM INDUSTRIES INC /DE/,2026-05-20T09:51:01.214500+00:00
ABNB,1559720,0001559720,"Airbnb, Inc.",2026-05-20T09:51:01.214500+00:00
ABOS,1576885,0001576885,"Acumen Pharmaceuticals, Inc.",2026-05-20T09:51:01.214500+00:00
ABPO,1893219,0001893219,"Abpro Holdings, Inc.",2026-05-20T09:51:01.214500+00:00
ABPWW,1893219,0001893219,"Abpro Holdings, Inc.",2026-05-20T09:51:01.214500+00:00
ABR,1253986,0001253986,ARBOR REALTY TRUST INC,2026-05-20T09:51:01.214500+00:00
ABR-PD,1253986,0001253986,ARBOR REALTY TRUST INC,2026-05-20T09:51:01.214500+00:00
ABR-PE,1253986,0001253986,ARBOR REALTY TRUST INC,2026-05-20T09:51:01.214500+00:00
ABR-PF,1253986,0001253986,ARBOR REALTY TRUST INC,2026-05-20T09:51:01.214500+00:00
ABSI,1672688,0001672688,Absci Corp,2026-05-20T09:51:01.214500+00:00
ABT,1800,0000001800,ABBOTT LABORATORIES,2026-05-20T09:51:01.214500+00:00
ABTC,1755953,0001755953,American Bitcoin Corp.,2026-05-20T09:51:01.214500+00:00
ABTS,1864055,0001864055,Abits Group Inc,2026-05-20T09:51:01.214500+00:00
ABUS,1447028,0001447028,Arbutus Biopharma Corp,2026-05-20T09:51:01.214500+00:00
ABVC,1173313,0001173313,"ABVC BIOPHARMA, INC.",2026-05-20T09:51:01.214500+00:00
ABVE,1979484,0001979484,Above Food Ingredients Inc.,2026-05-20T09:51:01.214500+00:00
ABVEW,1979484,0001979484,Above Food Ingredients Inc.,2026-05-20T09:51:01.214500+00:00
ABVX,1956827,0001956827,Abivax S.A.,2026-05-20T09:51:01.214500+00:00
ABX,1814287,0001814287,"Abacus Global Management, Inc.",2026-05-20T09:51:01.214500+00:00
ABXL,1814287,0001814287,"Abacus Global Management, Inc.",2026-05-20T09:51:01.214500+00:00
ABXXF,1971975,0001971975,Abaxx Technologies Inc.,2026-05-20T09:51:01.214500+00:00
ACA,1739445,0001739445,"Arcosa, Inc.",2026-05-20T09:51:01.214500+00:00
ACAA,2096900,0002096900,Averin Capital Acquisition Corp.,2026-05-20T09:51:01.214500+00:00
ACAAU,2096900,0002096900,Averin Capital Acquisition Corp.,2026-05-20T09:51:01.214500+00:00
ACAAW,2096900,0002096900,Averin Capital Acquisition Corp.,2026-05-20T09:51:01.214500+00:00
ACAD,1070494,0001070494,ACADIA PHARMACEUTICALS INC,2026-05-20T09:51:01.214500+00:00
