research_universe_id,cik,cik10,company_name,primary_ticker,tickers,primary_exchange,exchanges,entity_type,sic,sic_int,sic_description,sic_major_group,research_sector,fiscal_year_end,classification_rule
1,1171008,0001171008,ADAMANT DRI PROCESSING & MINERALS GROUP,ADMG,ADMG,OTC,OTC,operating,1000,1000.0,Metal Mining,Mining,Extended_Candidate,1231,extended_candidate_energy_mining
2,1356371,0001356371,"AMERICAN LITHIUM MINERALS, INC.",AMLM,AMLM,OTC,OTC,operating,1000,1000.0,Metal Mining,Mining,Extended_Candidate,0930,extended_candidate_energy_mining
3,1530425,0001530425,"Artisan Consumer Goods, Inc.",ARRT,ARRT,OTC,OTC,operating,1000,1000.0,Metal Mining,Mining,Extended_Candidate,0630,extended_candidate_energy_mining
4,1584618,0001584618,"Atacama Resources International, Inc.",ACRL,ACRL,OTC,OTC,operating,1000,1000.0,Metal Mining,Mining,Extended_Candidate,1231,extended_candidate_energy_mining
5,1407583,0001407583,Bunker Hill Mining Corp.,BHLL,BHLL,OTC,OTC,operating,1000,1000.0,Metal Mining,Mining,Extended_Candidate,1231,extended_candidate_energy_mining
6,764065,0000764065,CLEVELAND-CLIFFS INC.,CLF,CLF,NYSE,NYSE,operating,1000,1000.0,Metal Mining,Mining,Extended_Candidate,1231,extended_candidate_energy_mining
7,1727255,0001727255,Chilean Cobalt Corp.,COBA,COBA,OTC,OTC,operating,1000,1000.0,Metal Mining,Mining,Extended_Candidate,1231,extended_candidate_energy_mining
8,946112,0000946112,"China Dongsheng International, Inc.",CDSG,CDSG,OTC,OTC,operating,1000,1000.0,Metal Mining,Mining,Extended_Candidate,0930,extended_candidate_energy_mining
9,1111741,0001111741,"DYNARESOURCE, INC.",DYNR,DYNR,OTC,OTC,operating,1000,1000.0,Metal Mining,Mining,Extended_Candidate,1231,extended_candidate_energy_mining
10,1852353,0001852353,Dakota Gold Corp.,DC,DC,NYSE,NYSE,operating,1000,1000.0,Metal Mining,Mining,Extended_Candidate,1231,extended_candidate_energy_mining
11,1346022,0001346022,Enertopia Corp.,ENRT,ENRT,OTC,OTC,operating,1000,1000.0,Metal Mining,Mining,Extended_Candidate,0831,extended_candidate_energy_mining
12,831259,0000831259,FREEPORT-MCMORAN INC,FCX,FCX,NYSE,NYSE,operating,1000,1000.0,Metal Mining,Mining,Extended_Candidate,1231,extended_candidate_energy_mining
13,1636051,0001636051,FUSE GROUP HOLDING INC.,FUST,FUST,OTC,OTC,operating,1000,1000.0,Metal Mining,Mining,Extended_Candidate,0930,extended_candidate_energy_mining
14,1346917,0001346917,GENTOR RESOURCES INC.,GNTOF,GNTOF,OTC,OTC,operating,1000,1000.0,Metal Mining,Mining,Extended_Candidate,1231,extended_candidate_energy_mining
15,1282571,0001282571,GREENLITE VENTURES INC,GRNL,GRNL,OTC,OTC,operating,1000,1000.0,Metal Mining,Mining,Extended_Candidate,0331,extended_candidate_energy_mining
16,1497649,0001497649,Graphene & Solar Technologies Ltd,GSTX,GSTX,OTC,OTC,operating,1000,1000.0,Metal Mining,Mining,Extended_Candidate,0930,extended_candidate_energy_mining
