cik,cik10,company_name,primary_ticker,tickers,primary_exchange,exchanges,entity_type,sic,sic_int,sic_description,sic_major_group,research_sector,include_in_research_universe,exclude_reason,classification_rule
1847360,0001847360,"1895 Bancorp of Wisconsin, Inc. /MD/",BCOW,BCOW,OTC,OTC,operating,6036,6036.0,"Savings Institutions, Not Federally Chartered",Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799
34782,0000034782,1ST SOURCE CORP,SRCE,SRCE,Nasdaq,Nasdaq,operating,6022,6022.0,State Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799
934549,0000934549,ACACIA RESEARCH CORP,ACTG,ACTG,Nasdaq,Nasdaq,operating,6794,6794.0,Patent Owners & Lessors,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799
715579,0000715579,ACNB CORP,ACNB,ACNB,Nasdaq,Nasdaq,operating,6022,6022.0,State Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799
352991,0000352991,ADVANCED OXYGEN TECHNOLOGIES INC,AOXY,AOXY,OTC,OTC,operating,6500,6500.0,Real Estate,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799
1004434,0001004434,"AFFILIATED MANAGERS GROUP, INC.",AMG,AMG;MGR;MGRB;MGRD;MGRE,NYSE,NYSE;NYSE;NYSE;NYSE;NYSE,operating,6282,6282.0,Investment Advice,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799
4977,0000004977,AFLAC INC,AFL,AFL,NYSE,NYSE,operating,6321,6321.0,Accident & Health Insurance,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799
1605331,0001605331,AI Era Corp.,AERA,AERA,OTC,OTC,operating,6794,6794.0,Patent Owners & Lessors,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799
862861,0000862861,AI Financial Corp,AIFC,AIFC,Nasdaq,Nasdaq,operating,6221,6221.0,Commodity Contracts Brokers & Dealers,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799
1460702,0001460702,"AIxCrypto Holdings, Inc.",AIXC,AIXC,Nasdaq,Nasdaq,operating,6199,6199.0,Finance Services,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799
