metric,value
input_rows,7993
research_universe_rows,3730
excluded_or_out_of_scope_rows,4263
unique_ciks_in_research_universe,3730
unique_primary_tickers_in_research_universe,3720
missing_primary_ticker_in_research_universe,10
missing_primary_exchange_in_research_universe,14
sector_count__Industrials_Manufacturing,1677
sector_count__Extended_Candidate,1091
sector_count__Technology,735
sector_count__Retail,227
sic_major_group_count__Manufacturing,1979
sic_major_group_count__Services,937
sic_major_group_count__Mining,238
sic_major_group_count__Retail_Trade,231
sic_major_group_count__Transportation_Communications_Utilities,171
sic_major_group_count__Wholesale_Trade,109
sic_major_group_count__Construction,65
primary_exchange_count__Nasdaq,1901
primary_exchange_count__NYSE,1147
primary_exchange_count__OTC,660
primary_exchange_count__missing,14
primary_exchange_count__None,8
