feature_year,research_sector,company_years
2011,Extended_Candidate,2290
2011,Industrials_Manufacturing,1940
2011,Retail,389
2011,Technology,1043
2012,Extended_Candidate,2166
2012,Industrials_Manufacturing,1836
2012,Retail,369
2012,Technology,993
2013,Extended_Candidate,2106
2013,Industrials_Manufacturing,1823
2013,Retail,362
2013,Technology,971
2014,Extended_Candidate,1994
2014,Industrials_Manufacturing,1850
2014,Retail,350
2014,Technology,954
2015,Extended_Candidate,1798
2015,Industrials_Manufacturing,1847
2015,Retail,335
2015,Technology,871
2016,Extended_Candidate,1658
2016,Industrials_Manufacturing,1801
2016,Retail,321
2016,Technology,812
2017,Extended_Candidate,1551
2017,Industrials_Manufacturing,1770
2017,Retail,301
2017,Technology,786
2018,Extended_Candidate,1461
2018,Industrials_Manufacturing,1774
2018,Retail,288
2018,Technology,772
2019,Extended_Candidate,1377
2019,Industrials_Manufacturing,1748
2019,Retail,262
2019,Technology,763
2020,Extended_Candidate,1313
2020,Industrials_Manufacturing,1840
2020,Retail,261
2020,Technology,792
2021,Extended_Candidate,1328
2021,Industrials_Manufacturing,2026
2021,Retail,287
2021,Technology,901
2022,Extended_Candidate,1297
2022,Industrials_Manufacturing,2004
2022,Retail,268
2022,Technology,854
2023,Extended_Candidate,1207
2023,Industrials_Manufacturing,1885
2023,Retail,248
2023,Technology,802
2024,Extended_Candidate,1114
2024,Industrials_Manufacturing,1759
2024,Retail,231
2024,Technology,752
