historical_sic,historical_sic_description,company_years,unique_ciks
2834.0,PHARMACEUTICAL PREPARATIONS,6327,993
7372.0,SERVICES-PREPACKAGED SOFTWARE,3030,599
1311.0,CRUDE PETROLEUM & NATURAL GAS,2604,435
7389.0,"SERVICES-BUSINESS SERVICES, NEC",2165,427
3841.0,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,1793,272
2836.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1645,273
3674.0,SEMICONDUCTORS & RELATED DEVICES,1403,207
1000.0,METAL MINING,1181,264
7374.0,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,1084,240
5812.0,RETAIL-EATING PLACES,814,126
8742.0,SERVICES-MANAGEMENT CONSULTING SERVICES,749,144
7370.0,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",702,154
1040.0,GOLD AND SILVER ORES,681,139
3714.0,MOTOR VEHICLE PARTS & ACCESSORIES,642,94
7373.0,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,632,110
2860.0,INDUSTRIAL ORGANIC CHEMICALS,619,99
3845.0,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,594,81
4813.0,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),558,91
7371.0,SERVICES-COMPUTER PROGRAMMING SERVICES,538,99
3663.0,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,515,75
7011.0,HOTELS & MOTELS,495,74
3842.0,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",452,68
8200.0,SERVICES-EDUCATIONAL SERVICES,449,79
7310.0,SERVICES-ADVERTISING,423,80
7200.0,SERVICES-PERSONAL SERVICES,413,77
3690.0,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES",401,74
7359.0,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",395,56
1389.0,"OIL & GAS FIELD SERVICES, NEC",389,58
3669.0,"COMMUNICATIONS EQUIPMENT, NEC",383,63
4899.0,"COMMUNICATIONS SERVICES, NEC",378,75
5900.0,RETAIL-MISCELLANEOUS RETAIL,376,68
3826.0,LABORATORY ANALYTICAL INSTRUMENTS,372,48
1381.0,DRILLING OIL & GAS WELLS,360,70
2833.0,MEDICINAL CHEMICALS & BOTANICAL PRODUCTS,360,80
8731.0,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,358,59
7363.0,SERVICES-HELP SUPPLY SERVICES,346,41
1382.0,OIL & GAS FIELD EXPLORATION SERVICES,344,60
2080.0,BEVERAGES,335,70
2835.0,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,334,49
4841.0,CABLE & OTHER PAY TELEVISION SERVICES,333,52
5961.0,RETAIL-CATALOG & MAIL-ORDER HOUSES,323,62
1400.0,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),318,52
8071.0,SERVICES-MEDICAL LABORATORIES,314,50
2911.0,PETROLEUM REFINING,312,42
7900.0,SERVICES-AMUSEMENT & RECREATION SERVICES,307,66
1531.0,OPERATIVE BUILDERS,305,41
3829.0,"MEASURING & CONTROLLING DEVICES, NEC",302,43
2844.0,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",301,51
7990.0,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,295,67
3661.0,TELEPHONE & TELEGRAPH APPARATUS,290,40
5500.0,RETAIL-AUTO DEALERS & GASOLINE STATIONS,284,43
3823.0,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",269,29
3559.0,"SPECIAL INDUSTRY MACHINERY, NEC",265,39
4700.0,TRANSPORTATION SERVICES,253,54
3711.0,MOTOR VEHICLES & PASSENGER CAR BODIES,247,42
5990.0,"RETAIL-RETAIL STORES, NEC",243,44
3679.0,"ELECTRONIC COMPONENTS, NEC",242,34
3990.0,MISCELLANEOUS MANUFACTURING INDUSTRIES,239,45
4213.0,TRUCKING (NO LOCAL),236,25
3577.0,"COMPUTER PERIPHERAL EQUIPMENT, NEC",233,36
4610.0,PIPE LINES (NO NATURAL GAS),229,29
3533.0,OIL & GAS FIELD MACHINERY & EQUIPMENT,228,31
7812.0,SERVICES-MOTION PICTURE & VIDEO TAPE PRODUCTION,225,63
2870.0,AGRICULTURAL CHEMICALS,224,33
7380.0,SERVICES-MISCELLANEOUS BUSINESS SERVICES,221,40
3576.0,COMPUTER COMMUNICATIONS EQUIPMENT,219,36
2800.0,CHEMICALS & ALLIED PRODUCTS,217,25
4512.0,"AIR TRANSPORTATION, SCHEDULED",217,26
2300.0,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,213,37
3089.0,"PLASTICS PRODUCTS, NEC",209,28
4833.0,TELEVISION BROADCASTING STATIONS,208,30
2000.0,FOOD AND KINDRED PRODUCTS,204,41
3825.0,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,201,23
