year,anchors,eligible_company_years,eligible_pre_entity_resolution,removed_by_entity_resolution,eligible_companies,excluded,ambiguous,recovered_vs_old,recovered_share_pct,absent_current_ticker,inactive_delisted_unmapped_proxy
2011,8486,5662,5678,16,5662,2745,79,3994,70.54,3921,615
2012,8024,5364,5376,12,5364,2570,90,3623,67.54,3553,476
2013,7942,5262,5276,14,5262,2586,94,3444,65.45,3376,522
2014,7873,5148,5159,11,5148,2618,107,3202,62.2,3137,578
2015,7515,4851,4874,23,4851,2575,89,2817,58.07,2749,525
2016,7247,4592,4613,21,4592,2559,96,2461,53.59,2399,445
2017,7032,4408,4418,10,4408,2524,100,2166,49.14,2105,367
2018,6879,4295,4304,9,4295,2485,99,1939,45.15,1879,380
2019,6730,4150,4159,9,4150,2484,96,1667,40.17,1607,298
2020,6998,4206,4215,9,4206,2687,105,1519,36.12,1452,240
2021,7683,4542,4551,9,4542,3021,120,1510,33.25,1435,343
2022,7333,4423,4431,8,4423,2776,134,1240,28.04,1174,450
2023,6820,4142,4150,8,4142,2520,158,834,20.14,777,406
2024,6537,3856,3863,7,3856,2509,172,455,11.8,397,397
