accession,feature_year,eligible_observation_count,eligible_ciks,eligible_names,accession_registrant_count,xbrl_expected,statement_entity_ciks,audit_scope_cik_groups,heading_only_statement_ciks,statement_evidence_by_cik,audit_opinion_phrase_count,normalized_name_collision_ciks,xbrl_context_files,xbrl_entity_ciks,xbrl_non_cik_identifiers,xbrl_entity_names,xbrl_entity_count,xbrl_context_count,xbrl_fact_reference_count,unresolved_multi_cik_audit_groups,scope_status,scope_reason,manual_evidence,manual_series_id,non_operating_issuer_ciks,statement_entity_count,joint_scope_structure
0000006201-14-000004,2013,2,0000004515;0000006201,AMERICAN AIRLINES GROUP INC. | AMERICAN AIRLINES INC,2,True,0000004515;0000006201,"[[""0000004515""], [""0000006201""]]",,"{""0000004515"": {""audit_opinion_window_matches"": 2, ""balance_sheet_heading_matches"": 2, ""cash_flow_heading_matches"": 1, ""name"": ""AMERICAN AIRLINES INC"", ""operations_heading_matches"": 4}, ""0000006201"": {""audit_opinion_window_matches"": 2, ""balance_sheet_heading_matches"": 2, ""cash_flow_heading_matches"": 1, ""name"": ""American Airlines Group Inc."", ""operations_heading_matches"": 4}}",5,,aag-20131231.xml,0000006201,,AMERICAN AIRLINES INC;American Airlines Group Inc.,1.0,1092.0,3727.0,[],resolved,primary_10k_distinct_statement_sets_mapped,,,,2,multiple_distinct_statement_scopes
0000006201-18-000009,2017,2,0000004515;0000006201,AMERICAN AIRLINES GROUP INC. | AMERICAN AIRLINES INC,2,True,0000004515;0000006201,"[[""0000004515""], [""0000006201""]]",,"{""0000004515"": {""audit_opinion_window_matches"": 2, ""balance_sheet_heading_matches"": 4, ""cash_flow_heading_matches"": 1, ""name"": ""AMERICAN AIRLINES INC"", ""operations_heading_matches"": 7}, ""0000006201"": {""audit_opinion_window_matches"": 2, ""balance_sheet_heading_matches"": 5, ""cash_flow_heading_matches"": 1, ""name"": ""American Airlines Group Inc."", ""operations_heading_matches"": 7}}",4,,aal-20171231.xml,0000006201,,AMERICAN AIRLINES INC;American Airlines Group Inc.,1.0,982.0,3051.0,[],resolved,primary_10k_distinct_statement_sets_mapped,,,,2,multiple_distinct_statement_scopes
0000006201-19-000009,2018,2,0000004515;0000006201,AMERICAN AIRLINES GROUP INC. | AMERICAN AIRLINES INC,2,True,0000004515;0000006201,"[[""0000004515""], [""0000006201""]]",,"{""0000004515"": {""audit_opinion_window_matches"": 2, ""balance_sheet_heading_matches"": 3, ""cash_flow_heading_matches"": 1, ""name"": ""AMERICAN AIRLINES INC"", ""operations_heading_matches"": 8}, ""0000006201"": {""audit_opinion_window_matches"": 2, ""balance_sheet_heading_matches"": 5, ""cash_flow_heading_matches"": 1, ""name"": ""American Airlines Group Inc."", ""operations_heading_matches"": 8}}",4,,aal-20181231.xml,0000006201,,AMERICAN AIRLINES INC;American Airlines Group Inc.,1.0,1223.0,3387.0,[],resolved,primary_10k_distinct_statement_sets_mapped,,,,2,multiple_distinct_statement_scopes
0000006201-20-000023,2019,2,0000004515;0000006201,"AMERICAN AIRLINES GROUP INC. | AMERICAN AIRLINES, INC.",2,True,0000004515;0000006201,"[[""0000004515""], [""0000006201""]]",,"{""0000004515"": {""audit_opinion_window_matches"": 2, ""balance_sheet_heading_matches"": 5, ""cash_flow_heading_matches"": 1, ""name"": ""AMERICAN AIRLINES, INC."", ""operations_heading_matches"": 5}, ""0000006201"": {""audit_opinion_window_matches"": 2, ""balance_sheet_heading_matches"": 4, ""cash_flow_heading_matches"": 1, ""name"": ""American Airlines Group Inc."", ""operations_heading_matches"": 5}}",4,,a10k123119.htm,0000006201,,"American Airlines Group Inc.;American Airlines, Inc.",1.0,1116.0,3528.0,[],resolved,primary_10k_distinct_statement_sets_mapped,,,,2,multiple_distinct_statement_scopes
0000006201-21-000014,2020,2,0000004515;0000006201,"AMERICAN AIRLINES GROUP INC. | AMERICAN AIRLINES, INC.",2,True,0000004515;0000006201,"[[""0000004515""], [""0000006201""]]",,"{""0000004515"": {""audit_opinion_window_matches"": 2, ""balance_sheet_heading_matches"": 3, ""cash_flow_heading_matches"": 1, ""name"": ""AMERICAN AIRLINES, INC."", ""operations_heading_matches"": 5}, ""0000006201"": {""audit_opinion_window_matches"": 2, ""balance_sheet_heading_matches"": 3, ""cash_flow_heading_matches"": 1, ""name"": ""American Airlines Group Inc."", ""operations_heading_matches"": 5}}",4,,aal-20201231.htm,0000006201,,"American Airlines Group Inc.;American Airlines, Inc.",1.0,1267.0,4142.0,[],resolved,primary_10k_distinct_statement_sets_mapped,,,,2,multiple_distinct_statement_scopes
0000006201-22-000026,2021,2,0000004515;0000006201,"AMERICAN AIRLINES GROUP INC. | AMERICAN AIRLINES, INC.",2,True,0000004515;0000006201,"[[""0000004515""], [""0000006201""]]",,"{""0000004515"": {""audit_opinion_window_matches"": 2, ""balance_sheet_heading_matches"": 3, ""cash_flow_heading_matches"": 1, ""name"": ""AMERICAN AIRLINES, INC."", ""operations_heading_matches"": 7}, ""0000006201"": {""audit_opinion_window_matches"": 2, ""balance_sheet_heading_matches"": 5, ""cash_flow_heading_matches"": 1, ""name"": ""American Airlines Group Inc."", ""operations_heading_matches"": 6}}",4,,aal-20211231.htm,0000006201,,"American Airlines Group Inc.;American Airlines, Inc.",1.0,1287.0,4016.0,[],resolved,primary_10k_distinct_statement_sets_mapped,,,,2,multiple_distinct_statement_scopes
0000006201-23-000018,2022,2,0000004515;0000006201,"AMERICAN AIRLINES GROUP INC. | AMERICAN AIRLINES, INC.",2,True,0000004515;0000006201,"[[""0000004515""], [""0000006201""]]",,"{""0000004515"": {""audit_opinion_window_matches"": 2, ""balance_sheet_heading_matches"": 3, ""cash_flow_heading_matches"": 1, ""name"": ""AMERICAN AIRLINES, INC."", ""operations_heading_matches"": 5}, ""0000006201"": {""audit_opinion_window_matches"": 2, ""balance_sheet_heading_matches"": 4, ""cash_flow_heading_matches"": 1, ""name"": ""American Airlines Group Inc."", ""operations_heading_matches"": 5}}",4,,aal-20221231.htm,0000006201,,"American Airlines Group Inc.;American Airlines, Inc.",1.0,899.0,3367.0,[],resolved,primary_10k_distinct_statement_sets_mapped,,,,2,multiple_distinct_statement_scopes
0000006201-24-000010,2023,2,0000004515;0000006201,"AMERICAN AIRLINES GROUP INC. | AMERICAN AIRLINES, INC.",2,True,0000004515;0000006201,"[[""0000004515""], [""0000006201""]]",,"{""0000004515"": {""audit_opinion_window_matches"": 2, ""balance_sheet_heading_matches"": 4, ""cash_flow_heading_matches"": 1, ""name"": ""AMERICAN AIRLINES, INC."", ""operations_heading_matches"": 7}, ""0000006201"": {""audit_opinion_window_matches"": 2, ""balance_sheet_heading_matches"": 4, ""cash_flow_heading_matches"": 2, ""name"": ""American Airlines Group Inc."", ""operations_heading_matches"": 5}}",4,,aal-20231231.htm,0000006201,,"American Airlines Group Inc.;American Airlines, Inc.",1.0,924.0,3354.0,[],resolved,primary_10k_distinct_statement_sets_mapped,,,,2,multiple_distinct_statement_scopes
0000006201-25-000010,2024,2,0000004515;0000006201,"AMERICAN AIRLINES GROUP INC. | AMERICAN AIRLINES, INC.",2,True,0000004515;0000006201,"[[""0000004515""], [""0000006201""]]",,"{""0000004515"": {""audit_opinion_window_matches"": 2, ""balance_sheet_heading_matches"": 4, ""cash_flow_heading_matches"": 1, ""name"": ""AMERICAN AIRLINES, INC."", ""operations_heading_matches"": 6}, ""0000006201"": {""audit_opinion_window_matches"": 2, ""balance_sheet_heading_matches"": 4, ""cash_flow_heading_matches"": 1, ""name"": ""American Airlines Group Inc."", ""operations_heading_matches"": 7}}",4,,aal-20241231.htm,0000006201,,"American Airlines Group Inc.;American Airlines, Inc.",1.0,927.0,3295.0,[],resolved,primary_10k_distinct_statement_sets_mapped,,,,2,multiple_distinct_statement_scopes
0000030697-12-000007,2011,2,0000030697;0001467974,"WENDY'S CO | Wendy's Restaurants, LLC",2,True,0000030697;0001467974,"[[""0000030697""], [""0000030697"", ""0001467974""], [""0001467974""]]",,"{""0000030697"": {""audit_opinion_window_matches"": 3, ""balance_sheet_heading_matches"": 6, ""cash_flow_heading_matches"": 6, ""name"": ""Wendy's Co"", ""operations_heading_matches"": 9}, ""0001467974"": {""audit_opinion_window_matches"": 2, ""balance_sheet_heading_matches"": 5, ""cash_flow_heading_matches"": 5, ""name"": ""Wendy's Restaurants, LLC"", ""operations_heading_matches"": 6}}",5,,wen-20120101.xml,0000030697,,"WENDY'S CO;WENDY'S RESTAURANTS, LLC",1.0,745.0,4013.0,[],resolved,primary_10k_distinct_statement_sets_mapped,,,,2,multiple_distinct_statement_scopes
