research_universe_company_year_id,accession,feature_year,cik10,company_name_historical,historical_sic,research_sector,registrant_role,registrant_role_resolved,joint_filing_flag,accession_registrant_count,eligible_observation_count,xbrl_instance,scope_status,scope_reason,statement_entity_ciks,manual_series_id,manual_evidence,non_operating_issuer_ciks,economic_entity_status,recommended_membership_action,economic_entity_reason,economic_group_id,economic_statement_scope_id,potential_non_operating_finance_registrant
0000004457-2011,0000004457-11-000059,2011,0000004457,AMERCO /NV/,7510.0,Extended_Candidate,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0000004457,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0000004457,0000004457-11-000059:0000004457,False
0000006885-2011,0000006885-11-000031,2011,0000006885,STAGE STORES INC,5651.0,Retail,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0000006885,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0000006885,0000006885-11-000031:0000006885,False
0000008328-2011,0000008328-12-000018,2011,0000008328,"Applied Minerals, Inc.",1040.0,Extended_Candidate,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0000008328,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0000008328,0000008328-12-000018:0000008328,False
0000008947-2011,0000008947-11-000016,2011,0000008947,AZZ INC,3640.0,Industrials_Manufacturing,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0000008947,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0000008947,0000008947-11-000016:0000008947,False
0000014707-2011,0000014707-11-000026,2011,0000014707,BROWN SHOE CO INC,3140.0,Industrials_Manufacturing,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0000014707,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0000014707,0000014707-11-000026:0000014707,False
0000015847-2011,0000015847-11-000027,2011,0000015847,BUTLER NATIONAL CORP,3721.0,Industrials_Manufacturing,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0000015847,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0000015847,0000015847-11-000027:0000015847,False
0000018255-2011,0000018255-11-000005,2011,0000018255,CATO CORP,5621.0,Retail,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0000018255,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0000018255,0000018255-11-000005:0000018255,False
0000019149-2011,0000019149-11-000007,2011,0000019149,CHAMPION INDUSTRIES INC,2750.0,Industrials_Manufacturing,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0000019149,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0000019149,0000019149-11-000007:0000019149,False
0000021510-2011,0000021510-11-000008,2011,0000021510,COHERENT INC,3826.0,Technology,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0000021510,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0000021510,0000021510-11-000008:0000021510,False
0000025354-2011,0000025354-11-000041,2011,0000025354,CPI CORP,7200.0,Extended_Candidate,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0000025354,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0000025354,0000025354-11-000041:0000025354,False
