historical_sic,historical_sic_description,eligible_company_years,available,missing,ambiguous,hard_exclude,not_computable,positive,target_coverage,positive_rate_among_available
1000.0,METAL MINING,1181,98,709,125,8,241,38,0.0829805249788315,0.3877551020408163
1040.0,GOLD AND SILVER ORES,681,86,346,97,5,147,31,0.1262848751835536,0.36046511627906974
1090.0,MISCELLANEOUS METAL ORES,113,16,46,15,2,34,8,0.1415929203539823,0.5
1220.0,BITUMINOUS COAL & LIGNITE MINING,84,16,12,45,0,11,7,0.19047619047619047,0.4375
1221.0,BITUMINOUS COAL & LIGNITE SURFACE MINING,131,46,24,51,1,9,13,0.3511450381679389,0.2826086956521739
1311.0,CRUDE PETROLEUM & NATURAL GAS,2604,499,933,818,12,342,168,0.19162826420890938,0.3366733466933868
1381.0,DRILLING OIL & GAS WELLS,360,83,136,102,0,39,16,0.23055555555555557,0.1927710843373494
1382.0,OIL & GAS FIELD EXPLORATION SERVICES,344,96,162,63,0,23,45,0.27906976744186046,0.46875
1389.0,"OIL & GAS FIELD SERVICES, NEC",389,124,76,160,0,29,36,0.31876606683804626,0.2903225806451613
1400.0,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),318,93,118,76,1,30,22,0.29245283018867924,0.23655913978494625
1520.0,GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS,79,29,23,20,0,7,2,0.3670886075949367,0.06896551724137931
1531.0,OPERATIVE BUILDERS,305,4,112,180,0,9,2,0.013114754098360656,0.5
1540.0,GENERAL BLDG CONTRACTORS - NONRESIDENTIAL BLDGS,44,12,23,4,1,4,1,0.2727272727272727,0.08333333333333333
1600.0,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,139,76,18,36,0,9,9,0.5467625899280576,0.11842105263157894
1623.0,"WATER, SEWER, PIPELINE, COMM & POWER LINE CONSTRUCTION",110,60,9,36,1,4,5,0.5454545454545454,0.08333333333333333
1700.0,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,196,114,36,28,2,16,14,0.5816326530612245,0.12280701754385964
1731.0,ELECTRICAL WORK,60,50,1,8,0,1,1,0.8333333333333334,0.02
2000.0,FOOD AND KINDRED PRODUCTS,204,128,43,23,1,9,13,0.6274509803921569,0.1015625
2011.0,MEAT PACKING PLANTS,29,17,3,6,1,2,0,0.5862068965517241,0.0
2013.0,SAUSAGES & OTHER PREPARED MEAT PRODUCTS,27,16,1,9,0,1,1,0.5925925925925926,0.0625
2015.0,POULTRY SLAUGHTERING AND PROCESSING,43,35,2,5,0,1,2,0.813953488372093,0.05714285714285714
2020.0,DAIRY PRODUCTS,66,23,22,14,0,7,6,0.3484848484848485,0.2608695652173913
2024.0,ICE CREAM & FROZEN DESSERTS,27,15,5,4,0,3,2,0.5555555555555556,0.13333333333333333
2030.0,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES",117,79,16,6,1,15,16,0.6752136752136753,0.20253164556962025
2033.0,"CANNED, FRUITS, VEG, PRESERVES, JAMS & JELLIES",39,27,3,4,0,5,2,0.6923076923076923,0.07407407407407407
2040.0,GRAIN MILL PRODUCTS,126,78,28,12,0,8,6,0.6190476190476191,0.07692307692307693
2050.0,BAKERY PRODUCTS,51,15,24,6,1,5,3,0.29411764705882354,0.2
2052.0,COOKIES & CRACKERS,21,15,1,5,0,0,1,0.7142857142857143,0.06666666666666667
2060.0,SUGAR & CONFECTIONERY PRODUCTS,111,47,18,29,0,17,6,0.42342342342342343,0.1276595744680851
2070.0,FATS & OILS,66,39,15,10,1,1,3,0.5909090909090909,0.07692307692307693
2080.0,BEVERAGES,335,114,66,115,1,39,24,0.3402985074626866,0.21052631578947367
2082.0,MALT BEVERAGES,74,8,19,47,0,0,3,0.10810810810810811,0.375
