feature_year,eligible_company_years,available,missing,ambiguous,hard_exclude,not_computable,positive,target_coverage,positive_rate_among_available
2011,5662,1926,1271,866,10,1589,364,0.34016248675379723,0.18899273104880582
2012,5364,2317,1470,1053,32,492,370,0.4319537658463833,0.15968925334484246
2013,5262,2397,1556,879,35,395,424,0.45553021664766247,0.1768877763871506
2014,5148,2301,1564,868,20,395,488,0.44696969696969696,0.21208170360712733
2015,4851,2245,1458,779,24,345,508,0.4627911770768914,0.22628062360801782
2016,4592,2203,1266,774,22,327,361,0.4797473867595819,0.16386745347253745
2017,4408,1550,1014,1489,18,337,257,0.35163339382940106,0.16580645161290322
2018,4295,1514,946,1502,15,318,328,0.35250291036088477,0.2166446499339498
2019,4150,1642,848,1383,15,262,327,0.3956626506024096,0.19914738124238734
2020,4206,1689,821,1408,17,271,220,0.4015691868758916,0.13025458851391356
2021,4542,1806,991,1481,19,245,442,0.39762219286657857,0.24473975636766335
2022,4423,1742,1040,1400,9,232,390,0.39385032783178836,0.22388059701492538
2023,4142,1684,925,1316,11,206,343,0.4065668759053597,0.20368171021377673
2024,3856,1586,906,1188,8,168,233,0.4113070539419087,0.14691046658259774
