target_status,reason,observation_count,share_of_status
missing,revenues:primitive_not_reported_for_both_periods,6977,0.43400099527245584
missing,anchor_t1_missing,6375,0.39655386912167206
missing,current_assets:primitive_not_reported_for_both_periods,1578,0.09815874595670565
missing,current_liabilities:primitive_not_reported_for_both_periods,1418,0.0882060213983578
missing,reason_not_recorded,1096,0.06817616322468276
missing,net_income:primitive_not_reported_for_both_periods,841,0.052314008459815875
missing,liabilities:primitive_not_reported_for_both_periods,493,0.030666832545409306
missing,operating_cash_flow:primitive_not_reported_for_both_periods,407,0.02531724309529734
missing,assets:primitive_not_reported_for_both_periods,379,0.023575516297586464
ambiguous,revenues:multiple_primary_statement_revenue_rows,8100,0.49432442328817283
ambiguous,revenues:primary_statement_revenue_not_confirmed,4272,0.2607103625045771
ambiguous,revenues:primary_statement_revenue_annual_values_not_confirmed,1944,0.11863786158916148
ambiguous,reporting_entity_continuity_material_rebasing_unresolved,863,0.052666910777492984
ambiguous,net_income:no_common_semantic_strategy,604,0.03686073477358721
ambiguous,operating_cash_flow:no_common_semantic_strategy,589,0.035945319174905406
ambiguous,revenues:component_revenue_without_confirmed_consolidated_total,525,0.032039545953863054
ambiguous,revenues:primary_statement_revenue_fact_context_not_confirmed,214,0.01305992920786037
ambiguous,net_income:higher_priority_context_ambiguous,123,0.007506407909190773
ambiguous,liabilities:no_common_semantic_strategy,109,0.006652020017087758
ambiguous,revenues:primary_statement_revenue_concept_not_admissible,106,0.006468936897351398
ambiguous,net_income:cross_vintage_exact_sign_inversion,88,0.005370438178933235
ambiguous,operating_cash_flow:cross_vintage_exact_sign_inversion,67,0.0040888563407787135
ambiguous,revenues:component_revenue_without_absent_complement,25,0.0015256926644696693
ambiguous,liabilities:higher_priority_context_ambiguous,3,0.0001830831197363603
ambiguous,revenues:primary_statement_evidence_unavailable,2,0.00012205541315757354
ambiguous,operating_cash_flow:higher_priority_context_ambiguous,1,6.102770657878677e-05
hard_exclude,fiscal_period_transition_or_nonannual_gap,238,0.9333333333333333
hard_exclude,fiscal_period_ambiguous_multiple_anchor_t1,30,0.11764705882352941
hard_exclude,fiscal_period_ambiguous_multiple_anchor_t,8,0.03137254901960784
hard_exclude,reverse_acquisition_accounting_predecessor_change,2,0.00784313725490196
hard_exclude,reverse_recapitalization_accounting_predecessor_change,2,0.00784313725490196
hard_exclude,retrospective_common_control_combination_reporting_entity_change,1,0.00392156862745098
hard_exclude,reverse_asset_acquisition_accounting_predecessor_change,1,0.00392156862745098
hard_exclude,reverse_merger_accounting_predecessor_change,1,0.00392156862745098
not_computable,anchor_t_not_reconstructable_by_frozen_target_policy,3226,0.5779290576854174
not_computable,universe_anchor_target_anchor_mismatch,1522,0.2726621282694375
not_computable,companyfacts_unavailable,834,0.1494088140451451
