severity,check_name,warning_count,company_count,company_year_count,first_warning_id
high,liabilities_absurdly_above_assets,258,127,258,1
high,liabilities_and_equity_negative,8,8,8,259
medium,net_loss_abs_large_relative_to_revenues,3951,1088,3951,4009
medium,net_loss_abs_large_relative_to_assets,3255,911,3255,754
medium,revenues_missing_for_majority_of_years,327,327,327,8399
medium,net_profit_large_relative_to_revenues,196,157,196,8110
medium,net_profit_large_relative_to_assets,150,118,150,7960
medium,capex_negative,139,83,139,293
medium,cost_of_revenue_above_operating_costs,116,83,116,444
medium,ppe_above_assets,90,73,90,8309
medium,mixed_source_period_ends,69,65,69,662
medium,current_liabilities_above_liabilities,46,32,46,569
medium,equity_missing_for_majority_of_years,25,25,25,615
medium,net_income_missing_for_majority_of_years,23,23,23,731
medium,assets_differs_from_liabilities_and_equity,18,17,18,274
medium,revenues_negative,16,13,16,8726
medium,cash_above_assets,10,10,10,432
medium,current_assets_above_assets,9,9,9,560
medium,accounts_receivable_above_assets,7,7,7,267
medium,liabilities_missing_for_majority_of_years,7,7,7,651
medium,goodwill_above_assets,6,5,6,640
medium,inventory_above_assets,5,5,5,646
medium,liabilities_negative,4,3,4,658
medium,operating_cash_flow_missing_for_majority_of_years,3,3,3,8306
medium,cash_negative,2,2,2,442
medium,assets_missing_for_majority_of_years,1,1,1,292
low,flow_source_fp_not_fy,920,52,97,8773
low,large_assets_liabilities_equity_gap,704,369,704,9693
low,mixed_source_accessions,51,51,51,10397
low,cost_of_revenue_negative,31,20,31,8742
low,sparse_company_year,14,12,14,10455
low,operating_costs_negative,7,5,7,10448
