review_id,cik10,feature_year,statement_file,statement_short_name,statement_role,row_label,row_concepts,row_class,scale,scale_label,amounts_json
0,0000202058,2011,R2.htm,Consolidated Statement of Income,http://harris.com/role/ConsolidatedStatementOfIncome,Revenue from product sales and services,us-gaap:SalesRevenueNetAbstract,re,1000000.0,millions,"{""2012-06-29"":null,""2011-07-01"":null,""2010-07-02"":null}"
0,0000202058,2011,R2.htm,Consolidated Statement of Income,http://harris.com/role/ConsolidatedStatementOfIncome,Revenue from product sales,us-gaap:SalesRevenueGoodsNet,ro,1000000.0,millions,"{""2012-06-29"":3364700000.0,""2011-07-01"":3691500000.0,""2010-07-02"":3502300000.0}"
0,0000202058,2011,R2.htm,Consolidated Statement of Income,http://harris.com/role/ConsolidatedStatementOfIncome,Revenue from services,us-gaap:SalesRevenueServicesNet,re,1000000.0,millions,"{""2012-06-29"":2086600000.0,""2011-07-01"":1726900000.0,""2010-07-02"":1222700000.0}"
0,0000202058,2011,R2.htm,Consolidated Statement of Income,http://harris.com/role/ConsolidatedStatementOfIncome,Total Revenue,us-gaap:SalesRevenueNet,rou,1000000.0,millions,"{""2012-06-29"":5451300000.0,""2011-07-01"":5418400000.0,""2010-07-02"":4725000000.0}"
0,0000202058,2011,R2.htm,Consolidated Statement of Income,http://harris.com/role/ConsolidatedStatementOfIncome,Cost of product sales and services,us-gaap:CostOfGoodsAndServicesSoldAbstract,re,1000000.0,millions,"{""2012-06-29"":null,""2011-07-01"":null,""2010-07-02"":null}"
0,0000202058,2011,R2.htm,Consolidated Statement of Income,http://harris.com/role/ConsolidatedStatementOfIncome,Cost of product sales,us-gaap:CostOfGoodsSold,ro,1000000.0,millions,"{""2012-06-29"":-1945200000.0,""2011-07-01"":-2141199999.9999998,""2010-07-02"":-2082800000.0000002}"
1,0000813672,2011,R3.htm,Consolidated Income Statements,http://www.cadence.com/role/ConsolidatedIncomeStatements,Revenue:,us-gaap:RevenuesAbstract,re,1000.0,thousands,"{""2012-12-29"":null,""2011-12-31"":null,""2011-01-01"":null}"
1,0000813672,2011,R3.htm,Consolidated Income Statements,http://www.cadence.com/role/ConsolidatedIncomeStatements,Total revenue,us-gaap:SalesRevenueNet,reu,1000.0,thousands,"{""2012-12-29"":1326424000.0,""2011-12-31"":1149835000.0,""2011-01-01"":935954000.0}"
1,0000813672,2011,R3.htm,Consolidated Income Statements,http://www.cadence.com/role/ConsolidatedIncomeStatements,Marketing and sales,us-gaap:SellingAndMarketingExpense,ro,1000.0,thousands,"{""2012-12-29"":342278000.0,""2011-12-31"":323798000.0,""2011-01-01"":305558000.0}"
2,0001232524,2011,R4.htm,Consolidated Statements of Income,http://www.jazzpharma.com/role/ConsolidatedStatementsOfIncome,Revenues:,us-gaap:RevenuesAbstract,re,1000.0,thousands,"{""2012-12-31"":null,""2011-12-31"":null,""2010-12-31"":null}"
2,0001232524,2011,R4.htm,Consolidated Statements of Income,http://www.jazzpharma.com/role/ConsolidatedStatementsOfIncome,"Product sales, net",us-gaap:SalesRevenueGoodsNet,ro,1000.0,thousands,"{""2012-12-31"":580527000.0,""2011-12-31"":266518000.0,""2010-12-31"":170006000.0}"
2,0001232524,2011,R4.htm,Consolidated Statements of Income,http://www.jazzpharma.com/role/ConsolidatedStatementsOfIncome,Royalties and contract revenues,jazz:RoyaltiesAndContractRevenues,re,1000.0,thousands,"{""2012-12-31"":5452000.0,""2011-12-31"":5759000.0,""2010-12-31"":3775000.0}"
2,0001232524,2011,R4.htm,Consolidated Statements of Income,http://www.jazzpharma.com/role/ConsolidatedStatementsOfIncome,Total revenues,us-gaap:Revenues,rou,1000.0,thousands,"{""2012-12-31"":585979000.0,""2011-12-31"":272277000.0,""2010-12-31"":173781000.0}"
2,0001232524,2011,R4.htm,Consolidated Statements of Income,http://www.jazzpharma.com/role/ConsolidatedStatementsOfIncome,Cost of product sales (excluding amortization of acquired developed technologies),jazz:CostOfProductSalesExcludingAmortizationOfAcquiredDevelopedTechnology,ro,1000.0,thousands,"{""2012-12-31"":78425000.0,""2011-12-31"":13942000.0,""2010-12-31"":13559000.0}"
3,0001520262,2011,R4.htm,CONSOLIDATED STATEMENTS OF OPERATIONS AND COMPREHENSIVE INCOME (LOSS),http://www.alkermes.com/role/StatementOfIncome,REVENUES:,us-gaap:SalesRevenueNetAbstract,re,1000.0,thousands,"{""2013-03-31"":null,""2012-03-31"":null,""2011-03-31"":null}"
3,0001520262,2011,R4.htm,CONSOLIDATED STATEMENTS OF OPERATIONS AND COMPREHENSIVE INCOME (LOSS),http://www.alkermes.com/role/StatementOfIncome,Manufacturing and royalty revenues,alks:ManufacturingAndRoyaltyRevenues,ro,1000.0,thousands,"{""2013-03-31"":510900000.0,""2012-03-31"":326444000.0,""2011-03-31"":156840000.0}"
3,0001520262,2011,R4.htm,CONSOLIDATED STATEMENTS OF OPERATIONS AND COMPREHENSIVE INCOME (LOSS),http://www.alkermes.com/role/StatementOfIncome,"Product sales, net",us-gaap:SalesRevenueGoodsNet,re,1000.0,thousands,"{""2013-03-31"":58107000.0,""2012-03-31"":41184000.0,""2011-03-31"":28920000.0}"
3,0001520262,2011,R4.htm,CONSOLIDATED STATEMENTS OF OPERATIONS AND COMPREHENSIVE INCOME (LOSS),http://www.alkermes.com/role/StatementOfIncome,Research and development revenue,us-gaap:ContractsRevenue,ro,1000.0,thousands,"{""2013-03-31"":6541000.0,""2012-03-31"":22349000.0,""2011-03-31"":880000.0}"
3,0001520262,2011,R4.htm,CONSOLIDATED STATEMENTS OF OPERATIONS AND COMPREHENSIVE INCOME (LOSS),http://www.alkermes.com/role/StatementOfIncome,Total revenues,us-gaap:SalesRevenueNet,reu,1000.0,thousands,"{""2013-03-31"":575548000.0,""2012-03-31"":389977000.0,""2011-03-31"":186640000.0}"
