cik10,feature_year,company_name,split,research_sector,sic,target_status,D5_revenues,anchor_t1_accn,B_revenues_reason,B_revenues_strategy,B_comparative_t_revenues_value,B_current_t1_revenues_value,B_comparative_t_revenues_tag,B_current_t1_revenues_tag,B_comparative_t_revenues_accn,B_current_t1_revenues_accn,B_comparative_t_revenues_start,B_comparative_t_revenues_end,B_current_t1_revenues_start,B_current_t1_revenues_end,B_comparative_t_revenues_statement_file,B_comparative_t_revenues_statement_short_name,B_comparative_t_revenues_statement_long_name,B_comparative_t_revenues_statement_role_uri,B_comparative_t_revenues_statement_label,B_comparative_t_revenues_statement_concepts,B_comparative_t_revenues_statement_row_class,B_comparative_t_revenues_statement_priority,B_comparative_t_revenues_statement_scale,B_comparative_t_revenues_statement_scale_label,B_revenues_statement_candidate_count,B_revenues_statement_candidates_json,year_band,old_concept_pair,revision_delta,scaled_revision_delta,abs_revenue_revision_delta,abs_scaled_revision_delta,review_category,statement_url,local_statement_path,manual_review_outcome,manual_statement_is_primary_consolidated,manual_row_is_total_revenue,manual_current_value_matches,manual_comparative_value_matches,manual_provenance_matches,manual_selection_error,manual_notes
0000202058,2011,"L3HARRIS TECHNOLOGIES, INC. /DE/",train,Technology,3812,available,0.0,0001193125-12-369967,primary_statement_consolidated_revenue_confirmed,sales_revenue_net,5418400000.0,5451300000.0,SalesRevenueNet,SalesRevenueNet,0001193125-12-369967,0001193125-12-369967,2010-07-03,2011-07-01,2011-07-02,2012-06-29,R2.htm,Consolidated Statement of Income,111000 - Statement - Consolidated Statement of Income,http://harris.com/role/ConsolidatedStatementOfIncome,Total Revenue,us-gaap:SalesRevenueNet,rou,0.0,1000000.0,millions,1.0,"[{""statement_file"":""R2.htm"",""short_name"":""Consolidated Statement of Income"",""long_name"":""111000 - Statement - Consolidated Statement of Income"",""role"":""http://harris.com/role/ConsolidatedStatementOfIncome"",""label"":""Total Revenue"",""concepts"":""us-gaap:SalesRevenueNet"",""row_class"":""rou"",""scale"":1000000.0,""scale_label"":""millions"",""statement_priority"":""0"",""comparative_end"":""2011-07-01"",""comparative_value"":5418400000.0,""current_end"":""2012-06-29"",""current_value"":5451300000.0}]",2011-2014,sales_revenue_net -> revenues_general,,,,,historical_concept_conflict,https://www.sec.gov/Archives/edgar/data/202058/000119312512369967/R2.htm,data/raw/sec_filings/revenue_statement_evidence/0000202058/000119312512369967/R2.htm,pending,,,,,,,
0000813672,2011,CADENCE DESIGN SYSTEMS INC,train,Technology,7372,available,0.0,0000813672-13-000007,primary_statement_consolidated_revenue_confirmed,sales_revenue_net,1149835000.0,1326424000.0,SalesRevenueNet,SalesRevenueNet,0000813672-13-000007,0000813672-13-000007,2011-01-02,2011-12-31,2012-01-01,2012-12-29,R3.htm,Consolidated Income Statements,1001000 - Statement - Consolidated Income Statements,http://www.cadence.com/role/ConsolidatedIncomeStatements,Total revenue,us-gaap:SalesRevenueNet,reu,0.0,1000.0,thousands,1.0,"[{""statement_file"":""R3.htm"",""short_name"":""Consolidated Income Statements"",""long_name"":""1001000 - Statement - Consolidated Income Statements"",""role"":""http://www.cadence.com/role/ConsolidatedIncomeStatements"",""label"":""Total revenue"",""concepts"":""us-gaap:SalesRevenueNet"",""row_class"":""reu"",""scale"":1000.0,""scale_label"":""thousands"",""statement_priority"":""0"",""comparative_end"":""2011-12-31"",""comparative_value"":1149835000.0,""current_end"":""2012-12-29"",""current_value"":1326424000.0}]",2011-2014,sales_revenue_net -> goods_revenue_only,,,,,historical_concept_conflict,https://www.sec.gov/Archives/edgar/data/813672/000081367213000007/R3.htm,data/raw/sec_filings/revenue_statement_evidence/0000813672/000081367213000007/R3.htm,pending,,,,,,,
0001232524,2011,Jazz Pharmaceuticals plc,train,Industrials_Manufacturing,2834,available,0.0,0001232524-13-000010,primary_statement_consolidated_revenue_confirmed,revenues_general,272277000.0,585979000.0,Revenues,Revenues,0001232524-13-000010,0001232524-13-000010,2011-01-01,2011-12-31,2012-01-01,2012-12-31,R4.htm,Consolidated Statements of Income,1002000 - Statement - Consolidated Statements of Income,http://www.jazzpharma.com/role/ConsolidatedStatementsOfIncome,Total revenues,us-gaap:Revenues,rou,0.0,1000.0,thousands,1.0,"[{""statement_file"":""R4.htm"",""short_name"":""Consolidated Statements of Income"",""long_name"":""1002000 - Statement - Consolidated Statements of Income"",""role"":""http://www.jazzpharma.com/role/ConsolidatedStatementsOfIncome"",""label"":""Total revenues"",""concepts"":""us-gaap:Revenues"",""row_class"":""rou"",""scale"":1000.0,""scale_label"":""thousands"",""statement_priority"":""0"",""comparative_end"":""2011-12-31"",""comparative_value"":272277000.0,""current_end"":""2012-12-31"",""current_value"":585979000.0}]",2011-2014,revenues_general -> goods_revenue_only,,,,,historical_concept_conflict,https://www.sec.gov/Archives/edgar/data/1232524/000123252413000010/R4.htm,data/raw/sec_filings/revenue_statement_evidence/0001232524/000123252413000010/R4.htm,pending,,,,,,,
0001520262,2011,Alkermes plc.,train,Industrials_Manufacturing,2834,available,0.0,0001047469-13-006422,primary_statement_consolidated_revenue_confirmed,sales_revenue_net,389977000.0,575548000.0,SalesRevenueNet,SalesRevenueNet,0001047469-13-006422,0001047469-13-006422,2011-04-01,2012-03-31,2012-04-01,2013-03-31,R4.htm,CONSOLIDATED STATEMENTS OF OPERATIONS AND COMPREHENSIVE INCOME (LOSS),0020 - Statement - CONSOLIDATED STATEMENTS OF OPERATIONS AND COMPREHENSIVE INCOME (LOSS),http://www.alkermes.com/role/StatementOfIncome,Total revenues,us-gaap:SalesRevenueNet,reu,0.0,1000.0,thousands,1.0,"[{""statement_file"":""R4.htm"",""short_name"":""CONSOLIDATED STATEMENTS OF OPERATIONS AND COMPREHENSIVE INCOME (LOSS)"",""long_name"":""0020 - Statement - CONSOLIDATED STATEMENTS OF OPERATIONS AND COMPREHENSIVE INCOME (LOSS)"",""role"":""http://www.alkermes.com/role/StatementOfIncome"",""label"":""Total revenues"",""concepts"":""us-gaap:SalesRevenueNet"",""row_class"":""reu"",""scale"":1000.0,""scale_label"":""thousands"",""statement_priority"":""0"",""comparative_end"":""2012-03-31"",""comparative_value"":389977000.0,""current_end"":""2013-03-31"",""current_value"":575548000.0}]",2011-2014,sales_revenue_net -> goods_revenue_only,,,,,historical_concept_conflict,https://www.sec.gov/Archives/edgar/data/1520262/000104746913006422/R4.htm,data/raw/sec_filings/revenue_statement_evidence/0001520262/000104746913006422/R4.htm,pending,,,,,,,
0000863894,2012,VERU INC.,train,Industrials_Manufacturing,2834,available,1.0,0001171843-13-004893,primary_statement_consolidated_revenue_confirmed,sales_revenue_net,35033897.0,31456778.0,SalesRevenueNet,SalesRevenueNet,0001171843-13-004893,0001171843-13-004893,2011-10-01,2012-09-30,2012-10-01,2013-09-30,R4.htm,Consolidated Statements Of Income,003 - Statement - Consolidated Statements Of Income,http://www.femalehealth.com/role/ConsolidatedComprehensiveIncome,Net revenues,us-gaap:SalesRevenueNet,re,1.0,1.0,units,1.0,"[{""statement_file"":""R4.htm"",""short_name"":""Consolidated Statements Of Income"",""long_name"":""003 - Statement - Consolidated Statements Of Income"",""role"":""http://www.femalehealth.com/role/ConsolidatedComprehensiveIncome"",""label"":""Net revenues"",""concepts"":""us-gaap:SalesRevenueNet"",""row_class"":""re"",""scale"":1.0,""scale_label"":""units"",""statement_priority"":""1"",""comparative_end"":""2012-09-30"",""comparative_value"":35033897.0,""current_end"":""2013-09-30"",""current_value"":31456778.0}]",2011-2014,sales_revenue_net -> revenues_general,,,,,historical_concept_conflict,https://www.sec.gov/Archives/edgar/data/863894/000117184313004893/R4.htm,data/raw/sec_filings/revenue_statement_evidence/0000863894/000117184313004893/R4.htm,pending,,,,,,,
0001438231,2012,Digimarc CORP,train,Technology,7373,available,1.0,0001193125-14-062441,primary_statement_consolidated_revenue_confirmed,revenues_general,44375000.0,34964000.0,Revenues,Revenues,0001193125-14-062441,0001193125-14-062441,2012-01-01,2012-12-31,2013-01-01,2013-12-31,R4.htm,Consolidated Statements of Operations,105 - Statement - Consolidated Statements of Operations,http://www.digimarc.com/taxonomy/role/StatementOfIncome,Total revenue,us-gaap:Revenues,reu,0.0,1000.0,thousands,1.0,"[{""statement_file"":""R4.htm"",""short_name"":""Consolidated Statements of Operations"",""long_name"":""105 - Statement - Consolidated Statements of Operations"",""role"":""http://www.digimarc.com/taxonomy/role/StatementOfIncome"",""label"":""Total revenue"",""concepts"":""us-gaap:Revenues"",""row_class"":""reu"",""scale"":1000.0,""scale_label"":""thousands"",""statement_priority"":""0"",""comparative_end"":""2012-12-31"",""comparative_value"":44375000.0,""current_end"":""2013-12-31"",""current_value"":34964000.0}]",2011-2014,revenues_general -> services_revenue_only,,,,,historical_concept_conflict,https://www.sec.gov/Archives/edgar/data/1438231/000119312514062441/R4.htm,data/raw/sec_filings/revenue_statement_evidence/0001438231/000119312514062441/R4.htm,pending,,,,,,,
0000056679,2013,KORN FERRY,train,Extended_Candidate,7361,available,0.0,0001193125-14-253292,primary_statement_consolidated_revenue_confirmed,revenues_general,849701000.0,995559000.0,Revenues,Revenues,0001193125-14-253292,0001193125-14-253292,2012-05-01,2013-04-30,2013-05-01,2014-04-30,R4.htm,CONSOLIDATED STATEMENTS OF INCOME,105 - Statement - CONSOLIDATED STATEMENTS OF INCOME,http://www.kornferry.com/taxonomy/role/StatementOfIncomeAlternative,Total revenue,us-gaap:Revenues,reu,0.0,1000.0,thousands,1.0,"[{""statement_file"":""R4.htm"",""short_name"":""CONSOLIDATED STATEMENTS OF INCOME"",""long_name"":""105 - Statement - CONSOLIDATED STATEMENTS OF INCOME"",""role"":""http://www.kornferry.com/taxonomy/role/StatementOfIncomeAlternative"",""label"":""Total revenue"",""concepts"":""us-gaap:Revenues"",""row_class"":""reu"",""scale"":1000.0,""scale_label"":""thousands"",""statement_priority"":""0"",""comparative_end"":""2013-04-30"",""comparative_value"":849701000.0,""current_end"":""2014-04-30"",""current_value"":995559000.0}]",2011-2014,revenues_general -> services_revenue_only,,,,,historical_concept_conflict,https://www.sec.gov/Archives/edgar/data/56679/000119312514253292/R4.htm,data/raw/sec_filings/revenue_statement_evidence/0000056679/000119312514253292/R4.htm,pending,,,,,,,
0000857005,2013,PTC INC.,train,Technology,7372,available,0.0,0000857005-14-000032,primary_statement_consolidated_revenue_confirmed,sales_revenue_net,1293541000.0,1356967000.0,SalesRevenueNet,SalesRevenueNet,0000857005-14-000032,0000857005-14-000032,2012-10-01,2013-09-30,2013-10-01,2014-09-30,R4.htm,Consolidated Statements Of Operations,1002000 - Statement - Consolidated Statements Of Operations,http://www.ptc.com/role/ConsolidatedStatementsOfOperations,Total revenue,us-gaap:SalesRevenueNet,reu,0.0,1000.0,thousands,1.0,"[{""statement_file"":""R4.htm"",""short_name"":""Consolidated Statements Of Operations"",""long_name"":""1002000 - Statement - Consolidated Statements Of Operations"",""role"":""http://www.ptc.com/role/ConsolidatedStatementsOfOperations"",""label"":""Total revenue"",""concepts"":""us-gaap:SalesRevenueNet"",""row_class"":""reu"",""scale"":1000.0,""scale_label"":""thousands"",""statement_priority"":""0"",""comparative_end"":""2013-09-30"",""comparative_value"":1293541000.0,""current_end"":""2014-09-30"",""current_value"":1356967000.0}]",2011-2014,sales_revenue_net -> services_revenue_only,,,,,historical_concept_conflict,https://www.sec.gov/Archives/edgar/data/857005/000085700514000032/R4.htm,data/raw/sec_filings/revenue_statement_evidence/0000857005/000085700514000032/R4.htm,pending,,,,,,,
0001041061,2013,YUM BRANDS INC,train,Retail,5812,available,0.0,0001041061-15-000007,primary_statement_consolidated_revenue_confirmed,revenues_general,13084000000.0,13279000000.0,Revenues,Revenues,0001041061-15-000007,0001041061-15-000007,2012-12-30,2013-12-28,2013-12-29,2014-12-27,R2.htm,Consolidated Statements of Income,1001000 - Statement - Consolidated Statements of Income,http://www.yum.com/role/ConsolidatedStatementsOfIncome,Total revenues,us-gaap:Revenues,rou,0.0,1000000.0,millions,1.0,"[{""statement_file"":""R2.htm"",""short_name"":""Consolidated Statements of Income"",""long_name"":""1001000 - Statement - Consolidated Statements of Income"",""role"":""http://www.yum.com/role/ConsolidatedStatementsOfIncome"",""label"":""Total revenues"",""concepts"":""us-gaap:Revenues"",""row_class"":""rou"",""scale"":1000000.0,""scale_label"":""millions"",""statement_priority"":""0"",""comparative_end"":""2013-12-28"",""comparative_value"":13084000000.0,""current_end"":""2014-12-27"",""current_value"":13279000000.0}]",2011-2014,revenues_general -> goods_revenue_only,,,,,historical_concept_conflict,https://www.sec.gov/Archives/edgar/data/1041061/000104106115000007/R2.htm,data/raw/sec_filings/revenue_statement_evidence/0001041061/000104106115000007/R2.htm,pending,,,,,,,
0000724910,2014,NVE CORP /NEW/,train,Technology,3674,available,0.0,0000724910-16-000052,primary_statement_consolidated_revenue_confirmed,revenues_general,30584088.0,27717278.0,Revenues,Revenues,0000724910-16-000052,0000724910-16-000052,2014-04-01,2015-03-31,2015-04-01,2016-03-31,R4.htm,Statements of Income,003 - Statement - Statements of Income,http://www.nve.com/20160331/role/statement-statements-of-income,Total revenue,us-gaap:Revenues,rou,0.0,1.0,units,1.0,"[{""statement_file"":""R4.htm"",""short_name"":""Statements of Income"",""long_name"":""003 - Statement - Statements of Income"",""role"":""http://www.nve.com/20160331/role/statement-statements-of-income"",""label"":""Total revenue"",""concepts"":""us-gaap:Revenues"",""row_class"":""rou"",""scale"":1.0,""scale_label"":""units"",""statement_priority"":""0"",""comparative_end"":""2015-03-31"",""comparative_value"":30584088.0,""current_end"":""2016-03-31"",""current_value"":27717278.0}]",2011-2014,revenues_general -> goods_revenue_only,,,,,historical_concept_conflict,https://www.sec.gov/Archives/edgar/data/724910/000072491016000052/R4.htm,data/raw/sec_filings/revenue_statement_evidence/0000724910/000072491016000052/R4.htm,pending,,,,,,,
