feature_year,observations,x_t_available_core,x_t_available_core_rate,L_complete,L_complete_rate,D_complete,D_complete_rate,R_complete,R_complete_rate,current_assets_coverage,pair_assets_coverage,current_liabilities_coverage,pair_liabilities_coverage,current_current_assets_coverage,pair_current_assets_coverage,current_current_liabilities_coverage,pair_current_liabilities_coverage,current_revenues_coverage,pair_revenues_coverage,current_net_income_coverage,pair_net_income_coverage,current_operating_cash_flow_coverage,pair_operating_cash_flow_coverage,feature_log_assets_t_coverage,feature_roa_t_coverage,feature_ocf_to_assets_t_coverage,feature_current_ratio_t_coverage,feature_liabilities_to_assets_t_coverage,feature_working_capital_to_assets_t_coverage,feature_accruals_to_assets_t_coverage,feature_asset_growth_1y_coverage,feature_delta_roa_1y_coverage,feature_delta_ocf_to_assets_1y_coverage,feature_current_ratio_change_1y_coverage,feature_delta_liabilities_to_assets_1y_coverage,feature_log1p_revenues_t_coverage,feature_profit_margin_t_coverage,feature_ocf_margin_t_coverage,feature_asset_turnover_t_coverage,feature_revenue_growth_1y_coverage
2011,5662,3406,0.6015542211232779,3406,0.6015542211232779,3282,0.5796538325679972,2304,0.4069233486400565,0.7050512186506535,0.6953373366301661,0.694101024373013,0.6843871423525256,0.6739667961850936,0.6642529141646062,0.6699046273401625,0.6603673613564112,0.4486047333097845,0.4392440833627693,0.6753797244789826,0.653655951960438,0.6972801130342635,0.6734369480748852,0.699222889438361,0.6631932179441893,0.6866831508300953,0.6545390321441187,0.6850936064994702,0.6520664076298128,0.6571882726951607,0.6865065347933592,0.636700812433769,0.6594842811727305,0.6398799010950195,0.6722006358177323,0.4484281172730484,0.4198163193217944,0.4390674673260332,0.4473684210526316,0.43129636170964325
2012,5364,3730,0.6953765846383296,3730,0.6953765846383296,3424,0.6383296047725578,2266,0.4224459358687547,0.9017524235645041,0.7802013422818792,0.8881431767337807,0.7667785234899329,0.8570096942580164,0.7375093214019388,0.8495525727069351,0.7315436241610739,0.4906785980611484,0.4541387024608501,0.7882177479492916,0.732289336316182,0.8137583892617449,0.7537285607755406,0.8916853094705444,0.7734899328859061,0.802013422818792,0.8297912005965697,0.8758389261744967,0.8260626398210291,0.7656599552572707,0.7678970917225951,0.7127143922445935,0.738255033557047,0.7073079791200596,0.7526099925428784,0.4906785980611484,0.4597315436241611,0.48340790454884414,0.48956002982848623,0.44780014914243105
2013,5262,4077,0.7748004561003421,4077,0.7748004561003421,3372,0.6408209806157354,2234,0.42455340174838463,0.9213226909920182,0.8245914101102243,0.9082098061573546,0.8124287343215507,0.8726719878373242,0.7765108323831242,0.8719118206005321,0.7767008741923224,0.5520714557202585,0.4549600912200684,0.8734321550741163,0.7352717597871532,0.9023185100722159,0.7559863169897377,0.9106803496769289,0.8555682250095021,0.8861649562903838,0.8500570125427594,0.8937666286583048,0.846826301786393,0.8472063854047891,0.8105283162295706,0.7124667426833904,0.7373622196883315,0.749714937286203,0.7943747624477385,0.5520714557202585,0.5180539718738122,0.5431394906879513,0.5501710376282782,0.44773850247054353
2014,5148,4076,0.7917637917637917,4076,0.7917637917637917,3545,0.6886169386169386,2433,0.4726107226107226,0.9269619269619269,0.8242035742035742,0.9151126651126651,0.8144910644910645,0.8817016317016317,0.7791375291375291,0.8809246309246309,0.7816627816627817,0.6017871017871018,0.5192307692307693,0.8838383838383839,0.7781662781662781,0.9079254079254079,0.7964257964257965,0.9186091686091686,0.8673271173271173,0.8937451437451438,0.8611111111111112,0.9026806526806527,0.8589743589743589,0.8601398601398601,0.8131313131313131,0.7562160062160063,0.778943278943279,0.756021756021756,0.7972027972027972,0.6015928515928516,0.5559440559440559,0.5769230769230769,0.5994560994560995,0.49572649572649574
2015,4851,3926,0.8093176664605236,3926,0.8093176664605236,3444,0.70995670995671,2315,0.4772211915069058,0.9311482168625026,0.8453927025355596,0.922284065141208,0.8365285508142651,0.8862090290661719,0.7996289424860853,0.886002886002886,0.8008658008658008,0.6002886002886003,0.5229849515563801,0.8958977530406101,0.7977736549165121,0.9158936301793444,0.8138528138528138,0.922077922077922,0.8800247371675943,0.9029066171923315,0.8682745825602969,0.9086786229643372,0.865388579674294,0.873015873015873,0.8324056895485467,0.7763347763347763,0.7971552257266543,0.7763347763347763,0.81859410430839,0.6002886002886003,0.5586477015048443,0.5755514326942899,0.5982271696557411,0.4982477839620697
2016,4592,3649,0.7946428571428571,3649,0.7946428571428571,3191,0.694904181184669,2165,0.47147212543554007,0.9091898954703833,0.8107578397212544,0.9037456445993032,0.8057491289198606,0.8689024390243902,0.7695993031358885,0.8699912891986062,0.773301393728223,0.5975609756097561,0.5143728222996515,0.8752177700348432,0.7739547038327527,0.8935104529616724,0.7902874564459931,0.9015679442508711,0.859102787456446,0.8808797909407665,0.8523519163763066,0.8913327526132404,0.8510452961672473,0.8521341463414634,0.8003048780487805,0.7545731707317073,0.7756968641114983,0.7502177700348432,0.7896341463414634,0.5975609756097561,0.5566202090592335,0.5742595818815331,0.5953832752613241,0.4932491289198606
2017,4408,3702,0.8398366606170599,3702,0.8398366606170599,3304,0.7495462794918331,2282,0.5176950998185118,0.9407894736842105,0.860480943738657,0.9373865698729582,0.8586660617059891,0.8990471869328494,0.8182849364791288,0.897912885662432,0.8207803992740472,0.6234119782214156,0.552858439201452,0.9194646098003629,0.8303085299455535,0.9244555353901996,0.8337114337568058,0.9326225045372051,0.9051724137931034,0.9142468239564429,0.8806715063520871,0.9237749546279492,0.8781760435571688,0.9004083484573503,0.8470961887477314,0.808983666061706,0.8180580762250453,0.7985480943738656,0.8377949183303085,0.6234119782214156,0.5898366606170599,0.5984573502722323,0.6197822141560798,0.5306261343012704
2018,4295,3684,0.8577415599534343,3684,0.8577415599534343,3285,0.7648428405122235,1592,0.3706635622817229,0.9464493597206054,0.8651920838183935,0.9443538998835855,0.8651920838183935,0.9089639115250291,0.8274738067520373,0.9080325960419092,0.830034924330617,0.4675203725261933,0.40651920838183936,0.930384167636787,0.8407450523864959,0.9329452852153667,0.8442374854481955,0.9373690337601862,0.9145518044237485,0.920139697322468,0.8908032596041909,0.9308498253783469,0.8887077997671712,0.9091967403958091,0.8528521536670547,0.820256111757858,0.8281722933643771,0.8055878928987195,0.8458672875436554,0.46728754365541325,0.43608847497089637,0.44167636786961584,0.46332945285215366,0.380209545983702
2019,4150,3653,0.8802409638554217,3653,0.8802409638554217,3223,0.7766265060240963,1523,0.36698795180722893,0.9604819277108434,0.8703614457831326,0.9597590361445784,0.8698795180722891,0.9274698795180722,0.8368674698795181,0.927710843373494,0.8392771084337349,0.4674698795180723,0.40289156626506023,0.9474698795180723,0.8465060240963855,0.9491566265060241,0.8501204819277108,0.9501204819277108,0.930843373493976,0.936144578313253,0.911566265060241,0.944578313253012,0.9081927710843374,0.9262650602409639,0.8583132530120482,0.8265060240963855,0.8344578313253012,0.8183132530120482,0.8513253012048193,0.4674698795180723,0.4380722891566265,0.4412048192771084,0.46265060240963857,0.3783132530120482
2020,4206,3719,0.8842130290061816,3719,0.8842130290061816,3307,0.7862577270565858,1647,0.39158345221112695,0.9640989063242986,0.8711364717070851,0.9586305278174037,0.864717070851165,0.9339039467427485,0.8411792677127913,0.9322396576319544,0.8414170233000475,0.49072753209700426,0.42510699001426533,0.9436519258202568,0.8464098906324299,0.9443651925820257,0.8490252020922492,0.9500713266761769,0.927960057061341,0.9308131241084165,0.9198763670946267,0.9436519258202568,0.9144079885877318,0.9241559676652401,0.854493580599144,0.8288159771754636,0.833808844507846,0.8214455539705183,0.8473609129814551,0.49072753209700426,0.4629101283880171,0.4638611507370423,0.4847836424155968,0.3984783642415597
2021,4542,4111,0.9051078819903127,4111,0.9051078819903127,3664,0.8066930867459269,1821,0.4009247027741083,0.9709379128137384,0.8890356671070013,0.9711580801409071,0.8894760017613386,0.9425363276089829,0.8601937472479084,0.9456186701893439,0.8639365918097754,0.49383531483927784,0.43174812857771905,0.9634522236900044,0.8654777630999559,0.9627917217084985,0.8628357551739322,0.9621312197269926,0.947380008806693,0.9491413474240423,0.9310876265962131,0.9579480405107882,0.9262439453985029,0.944297666226332,0.876706296785557,0.8461030383091149,0.8476442095992954,0.8412593571114046,0.8725231175693527,0.4936151475121092,0.4707177454865698,0.4713782474680757,0.4889916336415676,0.40841039189784234
2022,4423,4064,0.9188333710151481,4064,0.9188333710151481,3636,0.82206647072123,1807,0.40854623558670583,0.9749039113723716,0.8912502826136107,0.9746778204838346,0.8919285552792222,0.9518426407415781,0.8679629210942799,0.9516165498530409,0.8686411937598915,0.5007913181098802,0.437033687542392,0.9674429120506444,0.874067375084784,0.9676690029391816,0.874067375084784,0.9685733664933304,0.9561383676237848,0.9579470947320823,0.9412163689803301,0.9645037304996609,0.9369206420981234,0.95410354962695,0.8813022835179742,0.8582410128871807,0.860954103549627,0.8503278317883789,0.8774587384128419,0.500565227221343,0.47637350214786345,0.4777300474790866,0.49785213655889665,0.4155550531313588
