company_year_id,accession,primitive,selected_value_before,outcome,action,reason,primary_10_k_file,primary_10_k_sha256,statement_file,statement_sha256,direct_statement_label,direct_statement_value,evidence_note,current_status_after,current_value_after,current_reason_after,selected_tag_before,pair_status_after,dependent_features_recalculated,dependent_feature_statuses_after,primary_10_k_path,statement_path
0000925535-2011,0001096906-12-000638,current_assets,-62602,unresolved,ambiguous_na,negative_current_assets_presentation_not_economically_resolved,caap10k20111231.htm,a825c94c484b4437afc60d329f9ded7e484cb14bb2ecfa14a4ff605bf4670d20,R2.htm,d1b2a4c3903a398e53745bd2137256d736bad5525fd0d1544809f454d57cc564,Total current assets,-62602,Primary balance sheet presents negative cash and negative total current assets; conservative economic classification is unresolved.,ambiguous,,manual_primary_statement_sign_review:negative_current_assets_presentation_not_economically_resolved,AssetsCurrent,ambiguous,current_ratio_t;working_capital_to_assets_t;current_ratio_change_1y,current_ratio_t:ambiguous;working_capital_to_assets_t:ambiguous;current_ratio_change_1y:ambiguous,data/raw/sec_filings/revenue_statement_evidence/0000925535/000109690612000638/caap10k20111231.htm,data/raw/sec_filings/revenue_statement_evidence/0000925535/000109690612000638/R2.htm
0001024520-2011,0001193125-12-143629,revenues,-143061,reported_economically_valid,retain,negative_net_revenue_supported_by_sales_returns_and_allowances,d281196d10k.htm,97e9ea66162890819c22f6dd2b1186cf5a6e59b129800b405f5157741128dffc,R4.htm,2f71043d52413acc5c689318b10e0c05d98d2926abf2d81679cdf98dc033017c,"Revenue, net",-143061,"Primary statement and revenue detail show product revenue offset by 332,000 of sales returns and allowances.",selected,-143061.0,primary_statement_consolidated_revenue_confirmed,SalesRevenueNet,selected,log1p_revenues_t;profit_margin_t;ocf_margin_t;asset_turnover_t;revenue_growth_1y,log1p_revenues_t:not_computable;profit_margin_t:not_computable;ocf_margin_t:not_computable;asset_turnover_t:available;revenue_growth_1y:not_computable,data/raw/sec_filings/revenue_statement_evidence/0001024520/000119312512143629/d281196d10k.htm,data/raw/sec_filings/revenue_statement_evidence/0001024520/000119312512143629/R4.htm
0001067286-2012,0001017386-13-000021,current_assets,-284,unresolved,ambiguous_na,negative_current_assets_presentation_not_economically_resolved,cellynx_2012sept30-10k.htm,bf49d5749e03654fd6416fdb6778b7077b8f9855a836144abcc3206270332f0f,R2.htm,8d8b6cf44fb6b3a6c491981cafd4288e27ee85b0bacda507a5c6af834305bd10,TOTAL CURRENT ASSETS,-284,Primary balance sheet presents negative cash and negative total current assets; conservative economic classification is unresolved.,ambiguous,,manual_primary_statement_sign_review:negative_current_assets_presentation_not_economically_resolved,AssetsCurrent,ambiguous,current_ratio_t;working_capital_to_assets_t;current_ratio_change_1y,current_ratio_t:ambiguous;working_capital_to_assets_t:ambiguous;current_ratio_change_1y:ambiguous,data/raw/sec_filings/revenue_statement_evidence/0001067286/000101738613000021/cellynx_2012sept30-10k.htm,data/raw/sec_filings/revenue_statement_evidence/0001067286/000101738613000021/R2.htm
0001089319-2014,0001121781-14-000282,current_liabilities,-289411,xbrl_semantic_or_context_error,ambiguous_na,xbrl_sign_disagrees_with_primary_statement,fsnr10k63014.htm,a82d10dfd0729bda47a7fcb8b93a1b86cdab7cf1991b9a3a02fb5c7b1ad01730,R2.htm,958777dec03a2713fe17d7c79c41ba683c37d9567ee4555e9cb8041242f1cffe,Total current liabilities,289411,Primary 10-K presents positive current liabilities; the XBRL-rendered sign is inverted.,ambiguous,,manual_primary_statement_sign_review:xbrl_sign_disagrees_with_primary_statement,LiabilitiesCurrent,ambiguous,current_ratio_t;working_capital_to_assets_t;current_ratio_change_1y,current_ratio_t:ambiguous;working_capital_to_assets_t:ambiguous;current_ratio_change_1y:ambiguous,data/raw/sec_filings/revenue_statement_evidence/0001089319/000112178114000282/fsnr10k63014.htm,data/raw/sec_filings/revenue_statement_evidence/0001089319/000112178114000282/R2.htm
0001089319-2014,0001121781-14-000282,liabilities,-303881,xbrl_semantic_or_context_error,ambiguous_na,xbrl_sign_disagrees_with_primary_statement,fsnr10k63014.htm,a82d10dfd0729bda47a7fcb8b93a1b86cdab7cf1991b9a3a02fb5c7b1ad01730,R2.htm,958777dec03a2713fe17d7c79c41ba683c37d9567ee4555e9cb8041242f1cffe,TOTAL LIABILITIES,303881,Primary 10-K presents positive liabilities; the XBRL-rendered sign is inverted.,ambiguous,,manual_primary_statement_sign_review:xbrl_sign_disagrees_with_primary_statement,Liabilities,ambiguous,liabilities_to_assets_t;delta_liabilities_to_assets_1y,liabilities_to_assets_t:ambiguous;delta_liabilities_to_assets_1y:ambiguous,data/raw/sec_filings/revenue_statement_evidence/0001089319/000112178114000282/fsnr10k63014.htm,data/raw/sec_filings/revenue_statement_evidence/0001089319/000112178114000282/R2.htm
0001326190-2022,0001326190-23-000008,revenues,-68000,reported_economically_valid,retain,negative_revenue_supported_by_prior_year_cost_reimbursement_adjustment,alt-20221231x10k.htm,44e0c32090098c74d6abc55aceeef6eaa5e95a84340bf84a061e4a86fd6b89a9,R4.htm,c209e8e46c0708b0400dc38bc3e5efae5383bb7f3e957c9a7609448b97d9b4f0,Revenues,-68000,The filing attributes negligible negative revenue to adjustments of prior-year BARDA cost reimbursements.,selected,-68000.0,primary_statement_consolidated_revenue_confirmed,Revenues,selected,log1p_revenues_t;profit_margin_t;ocf_margin_t;asset_turnover_t;revenue_growth_1y,log1p_revenues_t:not_computable;profit_margin_t:not_computable;ocf_margin_t:not_computable;asset_turnover_t:available;revenue_growth_1y:not_computable,data/raw/sec_filings/revenue_statement_evidence/0001326190/000132619023000008/alt-20221231x10k.htm,data/raw/sec_filings/revenue_statement_evidence/0001326190/000132619023000008/R4.htm
0001484674-2012,0001294606-13-000171,current_liabilities,-492652,xbrl_semantic_or_context_error,ambiguous_na,xbrl_sign_disagrees_with_primary_statement,toron-form10kjan3113.htm,49c090ac9f927b374c7df13b5033a110512529641cd42f8eef4be8a74a4c9752,R2.htm,7e3f5a5a38592dee16455717a75da0ac6af0923d621c4ecdfa58092380cf0a96,Total Liabilities,492652,Primary 10-K presents positive current/total liabilities; XBRL fact sign is inverted.,ambiguous,,manual_primary_statement_sign_review:xbrl_sign_disagrees_with_primary_statement,LiabilitiesCurrent,ambiguous,current_ratio_t;working_capital_to_assets_t;current_ratio_change_1y,current_ratio_t:ambiguous;working_capital_to_assets_t:ambiguous;current_ratio_change_1y:ambiguous,data/raw/sec_filings/revenue_statement_evidence/0001484674/000129460613000171/toron-form10kjan3113.htm,data/raw/sec_filings/revenue_statement_evidence/0001484674/000129460613000171/R2.htm
0001499735-2012,0001469299-12-000330,liabilities,-12785,xbrl_semantic_or_context_error,ambiguous_na,non_balance_sheet_liabilities_assumed_context_selected,aedcform10k063012.htm,93eb194fd6c52c9dd73401b7e9bab06842f6c09d12c76278522952db8ffff4c0,R2.htm,1e7500701d74333e56d96f6bb240375f97835171f8841861105f3fd693d30e6c,Total current liabilities,211707,"The -12,785 fact corresponds to liabilities assumed in an acquisition disclosure, not consolidated balance-sheet liabilities.",ambiguous,,manual_primary_statement_sign_review:non_balance_sheet_liabilities_assumed_context_selected,Liabilities,ambiguous,liabilities_to_assets_t;delta_liabilities_to_assets_1y,liabilities_to_assets_t:ambiguous;delta_liabilities_to_assets_1y:ambiguous,data/raw/sec_filings/revenue_statement_evidence/0001499735/000146929912000330/aedcform10k063012.htm,data/raw/sec_filings/revenue_statement_evidence/0001499735/000146929912000330/R2.htm
0001514514-2014,0001415889-15-001115,revenues,-128995,reported_economically_valid,retain,negative_net_sales_supported_by_credits_and_slotting_fees,jala10k_dec312014.htm,5d153c41487836297398bbf25e2ea64f67c0f2204d05498b67b1243637e1b142,R4.htm,ba1a9d41ed453c2b04addfd3a4f08c9da5287922b7d4acd80418fe8493c853fd,Net Sales,-128995,"Gross sales of 74,856 are exceeded by credits and 173,000 of slotting fees, producing reported negative net sales.",selected,-128995.0,primary_statement_consolidated_revenue_confirmed,SalesRevenueNet,selected,log1p_revenues_t;profit_margin_t;ocf_margin_t;asset_turnover_t;revenue_growth_1y,log1p_revenues_t:not_computable;profit_margin_t:not_computable;ocf_margin_t:not_computable;asset_turnover_t:available;revenue_growth_1y:not_computable,data/raw/sec_filings/revenue_statement_evidence/0001514514/000141588915001115/jala10k_dec312014.htm,data/raw/sec_filings/revenue_statement_evidence/0001514514/000141588915001115/R4.htm
0001617351-2018,0001617351-18-000020,liabilities,-10806,xbrl_semantic_or_context_error,ambiguous_na,liabilities_tag_attached_to_equity_deficit_line,lepota_10k2018.htm,55d42d6856f22225960b6088788241a272de0a262f9f8d274b22d5606fc6e5d9,R2.htm,b3c4a2801212f5a06c77f319b032b634e30b6e32b9e9cfab30073c1023907e86,Total Liabilities,12185,"Liabilities tag is attached to Total Stockholders' Equity (deficit), while primary liabilities are 12,185.",ambiguous,,manual_primary_statement_sign_review:liabilities_tag_attached_to_equity_deficit_line,Liabilities,ambiguous,liabilities_to_assets_t;delta_liabilities_to_assets_1y,liabilities_to_assets_t:ambiguous;delta_liabilities_to_assets_1y:ambiguous,data/raw/sec_filings/revenue_statement_evidence/0001617351/000161735118000020/lepota_10k2018.htm,data/raw/sec_filings/revenue_statement_evidence/0001617351/000161735118000020/R2.htm
