research_universe_company_year_id,cik10,feature_year,anchor_accession,primitive,tag,value,start,end,review_outcome
0001620533-2020,0001620533,2020,0001620533-21-000027,assets,Assets,1145348000.0,,2020-12-30,PASS_exact_companyfacts_record
0001620533-2020,0001620533,2020,0001620533-21-000027,liabilities,Liabilities,710855000.0,,2020-12-30,PASS_exact_companyfacts_record
0001620533-2020,0001620533,2020,0001620533-21-000027,current_assets,AssetsCurrent,203186000.0,,2020-12-30,PASS_exact_companyfacts_record
0001620533-2020,0001620533,2020,0001620533-21-000027,current_liabilities,LiabilitiesCurrent,109705000.0,,2020-12-30,PASS_exact_companyfacts_record
0001620533-2020,0001620533,2020,0001620533-21-000027,net_income,NetIncomeLoss,-42158000.0,2019-12-26,2020-12-30,PASS_exact_companyfacts_record
0001620533-2020,0001620533,2020,0001620533-21-000027,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,37350000.0,2019-12-26,2020-12-30,PASS_exact_companyfacts_record
0001381341-2011,0001381341,2011,0001072588-12-000058,assets,Assets,342553.0,,2011-12-31,PASS_exact_companyfacts_record
0001381341-2011,0001381341,2011,0001072588-12-000058,liabilities,Liabilities,3673631.0,,2011-12-31,PASS_exact_companyfacts_record
0001381341-2011,0001381341,2011,0001072588-12-000058,current_assets,AssetsCurrent,6453.0,,2011-12-31,PASS_exact_companyfacts_record
0001381341-2011,0001381341,2011,0001072588-12-000058,net_income,NetIncomeLoss,-4894497.0,2011-01-01,2011-12-31,PASS_exact_companyfacts_record
0001381341-2011,0001381341,2011,0001072588-12-000058,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,-131882.0,2011-01-01,2011-12-31,PASS_exact_companyfacts_record
0001054274-2015,0001054274,2015,0001144204-16-083794,assets,Assets,89751528.0,,2015-12-31,PASS_exact_companyfacts_record
0001054274-2015,0001054274,2015,0001144204-16-083794,liabilities,Liabilities,37326685.0,,2015-12-31,PASS_exact_companyfacts_record
0001054274-2015,0001054274,2015,0001144204-16-083794,current_assets,AssetsCurrent,32671745.0,,2015-12-31,PASS_exact_companyfacts_record
0001054274-2015,0001054274,2015,0001144204-16-083794,current_liabilities,LiabilitiesCurrent,11775183.0,,2015-12-31,PASS_exact_companyfacts_record
0001054274-2015,0001054274,2015,0001144204-16-083794,net_income,NetIncomeLoss,-26016815.0,2015-01-01,2015-12-31,PASS_exact_companyfacts_record
0001054274-2015,0001054274,2015,0001144204-16-083794,operating_cash_flow,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-21617689.0,2015-01-01,2015-12-31,PASS_exact_companyfacts_record
0001484565-2020,0001484565,2020,0001564590-21-010569,assets,Assets,64982000.0,,2020-12-31,PASS_exact_companyfacts_record
0001484565-2020,0001484565,2020,0001564590-21-010569,liabilities,Liabilities,19435000.0,,2020-12-31,PASS_exact_companyfacts_record
0001484565-2020,0001484565,2020,0001564590-21-010569,current_assets,AssetsCurrent,50243000.0,,2020-12-31,PASS_exact_companyfacts_record
0001484565-2020,0001484565,2020,0001564590-21-010569,current_liabilities,LiabilitiesCurrent,8618000.0,,2020-12-31,PASS_exact_companyfacts_record
0001484565-2020,0001484565,2020,0001564590-21-010569,net_income,NetIncomeLoss,-24639000.0,2020-01-01,2020-12-31,PASS_exact_companyfacts_record
0001484565-2020,0001484565,2020,0001564590-21-010569,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,-25224000.0,2020-01-01,2020-12-31,PASS_exact_companyfacts_record
0000089800-2017,0000089800,2017,0000089800-18-000004,assets,Assets,19958427000.0,,2017-12-31,PASS_exact_companyfacts_record
0000089800-2017,0000089800,2017,0000089800-18-000004,liabilities,derived:LiabilitiesAndStockholdersEquity-StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,16266239000.0,,2017-12-31,PASS_derived_sources_recorded
0000089800-2017,0000089800,2017,0000089800-18-000004,current_assets,AssetsCurrent,4465840000.0,,2017-12-31,PASS_exact_companyfacts_record
0000089800-2017,0000089800,2017,0000089800-18-000004,current_liabilities,LiabilitiesCurrent,3987180000.0,,2017-12-31,PASS_exact_companyfacts_record
0000089800-2017,0000089800,2017,0000089800-18-000004,net_income,NetIncomeLoss,1772262000.0,2017-01-01,2017-12-31,PASS_exact_companyfacts_record
0000089800-2017,0000089800,2017,0000089800-18-000004,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,1883968000.0,2017-01-01,2017-12-31,PASS_exact_companyfacts_record
0001458962-2017,0001458962,2017,0001458962-18-000003,assets,Assets,301313000.0,,2017-12-31,PASS_exact_companyfacts_record
0001458962-2017,0001458962,2017,0001458962-18-000003,liabilities,Liabilities,49377000.0,,2017-12-31,PASS_exact_companyfacts_record
0001458962-2017,0001458962,2017,0001458962-18-000003,current_assets,AssetsCurrent,248548000.0,,2017-12-31,PASS_exact_companyfacts_record
0001458962-2017,0001458962,2017,0001458962-18-000003,current_liabilities,LiabilitiesCurrent,28693000.0,,2017-12-31,PASS_exact_companyfacts_record
0001458962-2017,0001458962,2017,0001458962-18-000003,net_income,NetIncomeLoss,-14792000.0,2017-01-01,2017-12-31,PASS_exact_companyfacts_record
0001458962-2017,0001458962,2017,0001458962-18-000003,operating_cash_flow,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,11110000.0,2017-01-01,2017-12-31,PASS_exact_companyfacts_record
0000896878-2011,0000896878,2011,0000896878-11-000093,assets,Assets,5110000000.0,,2011-07-31,PASS_exact_companyfacts_record
0000896878-2011,0000896878,2011,0000896878-11-000093,liabilities,Liabilities,2494000000.0,,2011-07-31,PASS_exact_companyfacts_record
0000896878-2011,0000896878,2011,0000896878-11-000093,current_assets,AssetsCurrent,2254000000.0,,2011-07-31,PASS_exact_companyfacts_record
0000896878-2011,0000896878,2011,0000896878-11-000093,current_liabilities,LiabilitiesCurrent,1805000000.0,,2011-07-31,PASS_exact_companyfacts_record
0000896878-2011,0000896878,2011,0000896878-11-000093,net_income,NetIncomeLoss,634000000.0,2010-08-01,2011-07-31,PASS_exact_companyfacts_record
0000896878-2011,0000896878,2011,0000896878-11-000093,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,1013000000.0,2010-08-01,2011-07-31,PASS_exact_companyfacts_record
0001670592-2018,0001670592,2018,0001558370-19-002297,assets,Assets,514213000.0,,2018-12-29,PASS_exact_companyfacts_record
0001670592-2018,0001670592,2018,0001558370-19-002297,liabilities,Liabilities,485242000.0,,2018-12-29,PASS_exact_companyfacts_record
0001670592-2018,0001670592,2018,0001558370-19-002297,current_assets,AssetsCurrent,297013000.0,,2018-12-29,PASS_exact_companyfacts_record
0001670592-2018,0001670592,2018,0001558370-19-002297,current_liabilities,LiabilitiesCurrent,187338000.0,,2018-12-29,PASS_exact_companyfacts_record
0001670592-2018,0001670592,2018,0001558370-19-002297,net_income,NetIncomeLoss,57763000.0,2017-12-31,2018-12-29,PASS_exact_companyfacts_record
0001670592-2018,0001670592,2018,0001558370-19-002297,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,176068000.0,2017-12-31,2018-12-29,PASS_exact_companyfacts_record
0001672773-2021,0001672773,2021,0001493152-22-008307,assets,Assets,24712208.0,,2021-12-31,PASS_exact_companyfacts_record
0001672773-2021,0001672773,2021,0001493152-22-008307,liabilities,Liabilities,9390124.0,,2021-12-31,PASS_exact_companyfacts_record
0001672773-2021,0001672773,2021,0001493152-22-008307,net_income,NetIncomeLoss,240851.0,2021-01-01,2021-12-31,PASS_exact_companyfacts_record
0001672773-2021,0001672773,2021,0001493152-22-008307,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,3023860.0,2021-01-01,2021-12-31,PASS_exact_companyfacts_record
0001575048-2015,0001575048,2015,0001144204-16-091096,assets,Assets,43270000.0,,2015-12-31,PASS_exact_companyfacts_record
0001575048-2015,0001575048,2015,0001144204-16-091096,liabilities,Liabilities,10315000.0,,2015-12-31,PASS_exact_companyfacts_record
0001575048-2015,0001575048,2015,0001144204-16-091096,net_income,NetIncomeLoss,-452000.0,2015-01-01,2015-12-31,PASS_exact_companyfacts_record
0001575048-2015,0001575048,2015,0001144204-16-091096,operating_cash_flow,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,2003000.0,2015-01-01,2015-12-31,PASS_exact_companyfacts_record
0000074046-2022,0000074046,2022,0000074046-22-000072,assets,Assets,249611000.0,,2022-07-31,PASS_exact_companyfacts_record
0000074046-2022,0000074046,2022,0000074046-22-000072,liabilities,Liabilities,99262000.0,,2022-07-31,PASS_exact_companyfacts_record
0000074046-2022,0000074046,2022,0000074046-22-000072,current_assets,AssetsCurrent,114681000.0,,2022-07-31,PASS_exact_companyfacts_record
0000074046-2022,0000074046,2022,0000074046-22-000072,current_liabilities,LiabilitiesCurrent,48515000.0,,2022-07-31,PASS_exact_companyfacts_record
0000074046-2022,0000074046,2022,0000074046-22-000072,net_income,NetIncomeLoss,5674000.0,2021-08-01,2022-07-31,PASS_exact_companyfacts_record
0000074046-2022,0000074046,2022,0000074046-22-000072,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,9838000.0,2021-08-01,2022-07-31,PASS_exact_companyfacts_record
0001604416-2017,0001604416,2017,0001628280-17-012179,assets,Assets,2253500000.0,,2017-09-30,PASS_exact_companyfacts_record
0001604416-2017,0001604416,2017,0001628280-17-012179,liabilities,Liabilities,1475900000.0,,2017-09-30,PASS_exact_companyfacts_record
0001604416-2017,0001604416,2017,0001628280-17-012179,current_assets,AssetsCurrent,990000000.0,,2017-09-30,PASS_exact_companyfacts_record
0001604416-2017,0001604416,2017,0001628280-17-012179,current_liabilities,LiabilitiesCurrent,509400000.0,,2017-09-30,PASS_exact_companyfacts_record
0001604416-2017,0001604416,2017,0001628280-17-012179,net_income,NetIncomeLoss,14400000.0,2016-10-01,2017-09-30,PASS_exact_companyfacts_record
0001604416-2017,0001604416,2017,0001628280-17-012179,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,78600000.0,2016-10-01,2017-09-30,PASS_exact_companyfacts_record
0000027093-2020,0000027093,2020,0001493152-20-013170,assets,Assets,9834233.0,,2020-04-30,PASS_exact_companyfacts_record
0000027093-2020,0000027093,2020,0001493152-20-013170,liabilities,Liabilities,326232.0,,2020-04-30,PASS_exact_companyfacts_record
0000027093-2020,0000027093,2020,0001493152-20-013170,current_assets,AssetsCurrent,3181747.0,,2020-04-30,PASS_exact_companyfacts_record
