research_universe_company_year_id,cik10,feature_year,research_sector,anchor_accession,review_categories,resolver_status,resolver_reason,tag,statement_file,statement_label,statement_concepts,resolver_current_value,resolver_current_end,direct_statement_value,direct_value_matches,exact_accession,review_outcome
0000002969-2011,0000002969,2011,Industrials_Manufacturing,0001193125-11-319887,distinct_tag_label_pair,selected,primary_statement_consolidated_revenue_confirmed,SalesRevenueNet,R2.htm,Sales,us-gaap:SalesRevenueNet,10082000000.0,2011-09-30,10082000000.0,True,0001193125-11-319887,PASS_primary_statement_value_confirmed
0000006951-2016,0000006951,2016,Technology,0000006951-16-000068,available_sector_Technology,selected,primary_statement_consolidated_revenue_confirmed,SalesRevenueNet,R2.htm,Net sales,us-gaap:SalesRevenueNet,10825000000.0,2016-10-30,10825000000.0,True,0000006951-16-000068,PASS_primary_statement_value_confirmed
0000007431-2018,0000007431,2018,Industrials_Manufacturing,0001564590-19-003978,available_year_2018,selected,primary_statement_consolidated_revenue_confirmed,RevenueFromContractWithCustomerExcludingAssessedTax,R2.htm,Net sales,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,975300000.0,2018-12-31,975300000.0,True,0001564590-19-003978,PASS_primary_statement_value_confirmed
0000015511-2014,0000015511,2014,Extended_Candidate,0000015511-15-000004,missing_statement_evidence,ambiguous,primary_statement_evidence_unavailable,,,,,,,,False,0000015511-15-000004,PASS_fail_closed_no_value
0000021344-2016,0000021344,2016,Industrials_Manufacturing,0000021344-17-000009,ambiguous_primary_statement_revenue_not_confirmed,ambiguous,primary_statement_revenue_not_confirmed,,,,,,,,False,0000021344-17-000009,PASS_fail_closed_no_value
0000023194-2018,0000023194,2018,Extended_Candidate,0001564590-19-005805,ambiguous_primary_statement_revenue_not_confirmed,ambiguous,primary_statement_revenue_not_confirmed,,,,,,,,False,0001564590-19-005805,PASS_fail_closed_no_value
0000026172-2017,0000026172,2017,Industrials_Manufacturing,0000026172-18-000011,ambiguous_component_revenue_without_confirmed_consolidated_total,ambiguous,component_revenue_without_confirmed_consolidated_total,,,,,,,,False,0000026172-18-000011,PASS_fail_closed_no_value
0000038264-2011,0000038264,2011,Industrials_Manufacturing,0001003297-11-000378,available_year_2011,selected,primary_statement_consolidated_revenue_confirmed,SalesRevenueGoodsNet,R4.htm,Net sales,us-gaap:SalesRevenueGoodsNet,22777040.0,2011-09-30,22777040.0,True,0001003297-11-000378,PASS_primary_statement_value_confirmed
0000039273-2011,0000039273,2011,Extended_Candidate,0000039273-12-000014,distinct_tag_label_pair,selected,primary_statement_consolidated_revenue_confirmed,SalesRevenueGoodsNet,R4.htm,Total operating revenue,us-gaap:SalesRevenueGoodsNet,388461000.0,2011-12-31,388461000.0,True,0000039273-12-000014,PASS_primary_statement_value_confirmed
0000039368-2022,0000039368,2022,Industrials_Manufacturing,0001437749-23-001663,ambiguous_frozen_and_xbrl_period_end_materially_disagree,ambiguous,frozen_and_xbrl_period_end_materially_disagree,,,,,,,,False,0001437749-23-001663,PASS_fail_closed_no_value
0000049826-2011,0000049826,2011,Industrials_Manufacturing,0001193125-12-067004,distinct_tag_label_pair,selected,primary_statement_consolidated_revenue_confirmed,SalesRevenueNet,R2.htm,Operating Revenues,us-gaap:SalesRevenueNet,17786583000.0,2011-12-31,17786583000.0,True,0001193125-12-067004,PASS_primary_statement_value_confirmed
0000051143-2018,0000051143,2018,Technology,0001047469-19-000712,ambiguous_multiple_primary_statement_revenue_rows,ambiguous,multiple_primary_statement_revenue_rows,,,,,,,,False,0001047469-19-000712,PASS_fail_closed_no_value
0000065759-2020,0000065759,2020,Technology,0001010549-21-000006,available_year_2020,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,NET SALES,us-gaap:Revenues,22274000.0,2020-11-30,22274000.0,True,0001010549-21-000006,PASS_primary_statement_value_confirmed
0000075677-2011,0000075677,2011,Industrials_Manufacturing,0001193125-12-070269,available_year_2011,selected,primary_statement_consolidated_revenue_confirmed,SalesRevenueNet,R4.htm,Net sales,us-gaap:SalesRevenueNet,2620111000.0,2011-12-31,2620111000.0,True,0001193125-12-070269,PASS_primary_statement_value_confirmed
0000103872-2012,0000103872,2012,Extended_Candidate,0001193125-13-444053,distinct_tag_label_pair,selected,primary_statement_consolidated_revenue_confirmed,SalesRevenueServicesNet,R2.htm,NET REVENUE,us-gaap:SalesRevenueServicesNet,2246127000.0,2012-10-28,2246127000.0,True,0001193125-13-444053,PASS_primary_statement_value_confirmed
0000278165-2014,0000278165,2014,Technology,0001493152-15-001313,largest_revenue_change,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,Total Revenues,us-gaap:Revenues,37309973.0,2014-12-31,37309973.0,True,0001493152-15-001313,PASS_primary_statement_value_confirmed
0000356590-2020,0000356590,2020,Extended_Candidate,0001493152-21-008327,distinct_tag_label_pair,selected,primary_statement_consolidated_revenue_confirmed,RevenueFromContractWithCustomerExcludingAssessedTax,R4.htm,"REVENUES, net",us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,8500.0,2020-12-31,8500.0,True,0001493152-21-008327,PASS_primary_statement_value_confirmed
0000732834-2012,0000732834,2012,Extended_Candidate,0001193125-13-080751,available_year_2012,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,Total revenues,us-gaap:Revenues,2572520000.0,2012-12-31,2572520000.0,True,0001193125-13-080751,PASS_primary_statement_value_confirmed
0000744825-2011,0000744825,2011,Extended_Candidate,0001144204-12-018468,ambiguous_component_revenue_without_absent_complement,ambiguous,component_revenue_without_absent_complement,,,,,,,,False,0001144204-12-018468,PASS_fail_closed_no_value
0000744825-2013,0000744825,2013,Extended_Candidate,0001144204-14-019552,ambiguous_component_revenue_without_absent_complement,ambiguous,component_revenue_without_absent_complement,,,,,,,,False,0001144204-14-019552,PASS_fail_closed_no_value
0000789570-2014,0000789570,2014,Extended_Candidate,0001564590-15-001180,distinct_tag_label_pair,selected,primary_statement_consolidated_revenue_confirmed,SalesRevenueNet,R4.htm,"Total revenues, net",us-gaap:SalesRevenueNet,10081984000.0,2014-12-31,10081984000.0,True,0001564590-15-001180,PASS_primary_statement_value_confirmed
0000800240-2013,0000800240,2013,Retail,0001193125-14-065991,available_sector_Retail,selected,primary_statement_consolidated_revenue_confirmed,SalesRevenueNet,R2.htm,Sales,us-gaap:SalesRevenueNet,11242000000.0,2013-12-28,11242000000.0,True,0001193125-14-065991,PASS_primary_statement_value_confirmed
0000806517-2022,0000806517,2022,Extended_Candidate,0001171843-23-001908,available_year_2022,selected,primary_statement_consolidated_revenue_confirmed,RevenueFromContractWithCustomerIncludingAssessedTax,R4.htm,Revenues,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,25240000.0,2022-12-31,25240000.0,True,0001171843-23-001908,PASS_primary_statement_value_confirmed
0000812906-2012,0000812906,2012,Retail,0001437749-13-004793,ambiguous_primary_statement_revenue_fact_context_not_confirmed,ambiguous,primary_statement_revenue_fact_context_not_confirmed,,,,,,,,False,0001437749-13-004793,PASS_fail_closed_no_value
0000814586-2015,0000814586,2015,Industrials_Manufacturing,0001072613-16-000724,ambiguous_component_revenue_without_confirmed_consolidated_total,ambiguous,component_revenue_without_confirmed_consolidated_total,,,,,,,,False,0001072613-16-000724,PASS_fail_closed_no_value
0000864240-2021,0000864240,2021,Technology,0001437749-22-006515,available_year_2021,selected,primary_statement_consolidated_revenue_confirmed,RevenueFromContractWithCustomerIncludingAssessedTax,R2.htm,Net revenue,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,97434000.0,2021-12-31,97434000.0,True,0001437749-22-006515,PASS_primary_statement_value_confirmed
0000886346-2015,0000886346,2015,Industrials_Manufacturing,0000886346-16-000221,distinct_tag_label_pair,selected,primary_statement_consolidated_revenue_confirmed,SalesRevenueNet,R4.htm,Revenues (Note 11),us-gaap:SalesRevenueNet,390107000.0,2016-01-02,390107000.0,True,0000886346-16-000221,PASS_primary_statement_value_confirmed
0000887359-2014,0000887359,2014,Industrials_Manufacturing,0001104659-15-022712,largest_revenue_change,selected,primary_statement_consolidated_revenue_confirmed,SalesRevenueNet,R4.htm,Total revenues,us-gaap:SalesRevenueNet,28796000.0,2014-12-31,28796000.0,True,0001104659-15-022712,PASS_primary_statement_value_confirmed
0000889353-2022,0000889353,2022,Extended_Candidate,0001096906-23-002268,largest_revenue_change,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,Net sales,us-gaap:Revenues,4063122.0,2022-12-31,4063122.0,True,0001096906-23-002268,PASS_primary_statement_value_confirmed
0000899460-2013,0000899460,2013,Industrials_Manufacturing,0001193125-14-080324,ambiguous_primary_statement_revenue_annual_values_not_confirmed,ambiguous,primary_statement_revenue_annual_values_not_confirmed,,,,,,,,False,0001193125-14-080324,PASS_fail_closed_no_value
0000914329-2012,0000914329,2012,Technology,0000914329-13-000010,available_year_2012,selected,primary_statement_consolidated_revenue_confirmed,SalesRevenueNet,R4.htm,Total net sales,us-gaap:SalesRevenueNet,891738000.0,2012-12-31,891738000.0,True,0000914329-13-000010,PASS_primary_statement_value_confirmed
0000917470-2011,0000917470,2011,Extended_Candidate,0001193125-12-075260,available_sector_Extended_Candidate,selected,primary_statement_consolidated_revenue_confirmed,SalesRevenueGoodsNet,R2.htm,Net sales,us-gaap:SalesRevenueGoodsNet,1261872000.0,2011-12-31,1261872000.0,True,0001193125-12-075260,PASS_primary_statement_value_confirmed
0000925645-2015,0000925645,2015,Extended_Candidate,0000925645-16-000045,available_sector_Extended_Candidate,selected,primary_statement_consolidated_revenue_confirmed,SalesRevenueServicesNet,R4.htm,Net revenues,us-gaap:SalesRevenueServicesNet,605841000.0,2015-12-31,605841000.0,True,0000925645-16-000045,PASS_primary_statement_value_confirmed
0000927003-2017,0000927003,2017,Technology,0000927003-18-000005,ambiguous_exact_anchor_annual_current_context_unresolved,ambiguous,exact_anchor_annual_current_context_unresolved,,,,,,,,False,0000927003-18-000005,PASS_fail_closed_no_value
0000933972-2014,0000933972,2014,Industrials_Manufacturing,0001575705-15-000022,ambiguous_primary_statement_revenue_annual_values_not_confirmed,ambiguous,primary_statement_revenue_annual_values_not_confirmed,,,,,,,,False,0001575705-15-000022,PASS_fail_closed_no_value
0000948072-2011,0000948072,2011,Extended_Candidate,0001140361-12-018260,distinct_tag_label_pair,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,REVENUE:,us-gaap:Revenues,63120607.0,2011-12-31,63120607.0,True,0001140361-12-018260,PASS_primary_statement_value_confirmed
0001001838-2013,0001001838,2013,Extended_Candidate,0001104659-14-014124,ambiguous_primary_statement_revenue_concept_not_admissible,ambiguous,primary_statement_revenue_concept_not_admissible,,,,,,,,False,0001104659-14-014124,PASS_fail_closed_no_value
0001001838-2017,0001001838,2017,Extended_Candidate,0001047469-18-001211,ambiguous_primary_statement_revenue_concept_not_admissible,ambiguous,primary_statement_revenue_concept_not_admissible,,,,,,,,False,0001047469-18-001211,PASS_fail_closed_no_value
0001005731-2017,0001005731,2017,Extended_Candidate,0001213900-17-010610,available_year_2017,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,REVENUES,us-gaap:Revenues,1501729000.0,2017-07-31,1501729000.0,True,0001213900-17-010610,PASS_primary_statement_value_confirmed
0001031203-2014,0001031203,2014,Retail,0001031203-15-000009,available_sector_Retail,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,Total revenues,us-gaap:Revenues,9937889000.0,2014-12-31,9937889000.0,True,0001031203-15-000009,PASS_primary_statement_value_confirmed
0001037016-2016,0001037016,2016,Extended_Candidate,0001037016-17-000006,ambiguous_frozen_and_xbrl_period_end_materially_disagree,ambiguous,frozen_and_xbrl_period_end_materially_disagree,,,,,,,,False,0001037016-17-000006,PASS_fail_closed_no_value
0001046257-2011,0001046257,2011,Industrials_Manufacturing,0001104659-12-013085,ambiguous_component_revenue_without_confirmed_consolidated_total,ambiguous,component_revenue_without_confirmed_consolidated_total,,,,,,,,False,0001104659-12-013085,PASS_fail_closed_no_value
