kind,name,stage,status,reason,observations
feature,accruals_to_assets_t,derived,available,validated_exact_anchor_feature,48976
feature,accruals_to_assets_t,derived,not_available_non_xbrl,frozen_universe_anchor_has_no_xbrl_submission,3697
feature,accruals_to_assets_t,derived,missing,single_period_primitive_missing,2024
feature,accruals_to_assets_t,derived,ambiguous,single_period_context_ambiguous,1147
feature,accruals_to_assets_t,derived,not_computable,nonpositive_denominator:assets,405
feature,accruals_to_assets_t,derived,missing,exact_anchor_companyfacts_records_unavailable,236
feature,accruals_to_assets_t,derived,not_available_non_xbrl,separate_statement_scope_not_tagged_in_joint_xbrl_instance,230
feature,accruals_to_assets_t,derived,ambiguous,exact_anchor_annual_current_context_unresolved,171
feature,accruals_to_assets_t,derived,ambiguous,frozen_and_xbrl_period_end_materially_disagree,14
feature,accruals_to_assets_t,derived,ambiguous,manual_primary_statement_sign_review:liabilities_and_equity_tag_attached_to_equity_deficit_line,2
feature,accruals_to_assets_t,derived,ambiguous,manual_primary_statement_sign_review:negative_asset_presentation_not_economically_resolved,1
feature,asset_growth_1y,derived,available,validated_exact_anchor_feature,46603
feature,asset_growth_1y,derived,missing,primitive_not_reported_for_both_periods,4372
feature,asset_growth_1y,derived,not_available_non_xbrl,frozen_universe_anchor_has_no_xbrl_submission,3697
feature,asset_growth_1y,derived,ambiguous,transition_or_nonannual_comparative_gap,767
feature,asset_growth_1y,derived,not_computable,nonpositive_denominator:comparative_assets,503
feature,asset_growth_1y,derived,missing,exact_anchor_companyfacts_records_unavailable,236
feature,asset_growth_1y,derived,not_available_non_xbrl,separate_statement_scope_not_tagged_in_joint_xbrl_instance,230
feature,asset_growth_1y,derived,not_computable,economic_domain_condition_not_met,187
feature,asset_growth_1y,derived,ambiguous,exact_anchor_annual_current_context_unresolved,171
feature,asset_growth_1y,derived,missing,comparative_period_end_unresolved,120
feature,asset_growth_1y,derived,ambiguous,frozen_and_xbrl_period_end_materially_disagree,14
feature,asset_growth_1y,derived,ambiguous,manual_primary_statement_sign_review:liabilities_and_equity_tag_attached_to_equity_deficit_line,2
feature,asset_growth_1y,derived,ambiguous,manual_primary_statement_sign_review:negative_asset_presentation_not_economically_resolved,1
feature,asset_turnover_t,derived,available,validated_exact_anchor_feature,29880
feature,asset_turnover_t,derived,missing,primitive_not_reported_for_required_periods,7467
feature,asset_turnover_t,derived,ambiguous,multiple_primary_statement_revenue_rows,6219
feature,asset_turnover_t,derived,ambiguous,primary_statement_revenue_not_confirmed,4470
feature,asset_turnover_t,derived,not_available_non_xbrl,frozen_universe_anchor_has_no_xbrl_submission,3697
feature,asset_turnover_t,derived,ambiguous,primary_statement_revenue_annual_values_not_confirmed,2727
feature,asset_turnover_t,derived,ambiguous,component_revenue_without_confirmed_consolidated_total,572
feature,asset_turnover_t,derived,ambiguous,primary_statement_revenue_fact_context_not_confirmed,554
feature,asset_turnover_t,derived,missing,primitive_not_reported_for_required_periods;single_period_primitive_missing,348
feature,asset_turnover_t,derived,missing,exact_anchor_companyfacts_records_unavailable,236
feature,asset_turnover_t,derived,not_available_non_xbrl,separate_statement_scope_not_tagged_in_joint_xbrl_instance,230
feature,asset_turnover_t,derived,ambiguous,exact_anchor_annual_current_context_unresolved,171
feature,asset_turnover_t,derived,not_computable,nonpositive_denominator:assets,135
feature,asset_turnover_t,derived,ambiguous,primary_statement_revenue_concept_not_admissible,119
feature,asset_turnover_t,derived,missing,single_period_primitive_missing,31
feature,asset_turnover_t,derived,ambiguous,component_revenue_without_absent_complement,29
feature,asset_turnover_t,derived,ambiguous,frozen_and_xbrl_period_end_materially_disagree,14
feature,asset_turnover_t,derived,ambiguous,manual_primary_statement_sign_review:liabilities_and_equity_tag_attached_to_equity_deficit_line,2
feature,asset_turnover_t,derived,ambiguous,manual_primary_statement_sign_review:negative_asset_presentation_not_economically_resolved,1
feature,asset_turnover_t,derived,ambiguous,primary_statement_evidence_unavailable,1
feature,current_ratio_change_1y,derived,available,validated_exact_anchor_feature,43878
feature,current_ratio_change_1y,derived,missing,primitive_not_reported_for_both_periods,7520
feature,current_ratio_change_1y,derived,not_available_non_xbrl,frozen_universe_anchor_has_no_xbrl_submission,3697
feature,current_ratio_change_1y,derived,ambiguous,transition_or_nonannual_comparative_gap,766
feature,current_ratio_change_1y,derived,missing,exact_anchor_companyfacts_records_unavailable,236
feature,current_ratio_change_1y,derived,not_available_non_xbrl,separate_statement_scope_not_tagged_in_joint_xbrl_instance,230
feature,current_ratio_change_1y,derived,not_computable,nonpositive_denominator:comparative_current_assets,210
