variable,tier,tag_priority,namespace,tag,selected_observations,companies_with_selected_value,company_years_with_selected_value,units,forms
assets,tier_1,1,us-gaap,Assets,36419,3636,36419,USD,10-K
liabilities,tier_1,1,us-gaap,Liabilities,28534,3219,28534,USD,10-K
liabilities_and_equity,tier_1,1,us-gaap,LiabilitiesAndStockholdersEquity,36533,3640,36533,USD,10-K
current_assets,tier_1,1,us-gaap,AssetsCurrent,35645,3588,35645,USD,10-K
current_liabilities,tier_1,1,us-gaap,LiabilitiesCurrent,35505,3587,35505,USD,10-K
revenues,tier_1,1,us-gaap,Revenues,12945,2249,12945,USD,10-K
revenues,tier_1,2,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,10781,2050,10781,USD,10-K
revenues,tier_2,3,us-gaap,SalesRevenueNet,4875,1030,4875,USD,10-K
revenues,tier_2,4,us-gaap,SalesRevenueGoodsNet,1311,378,1311,USD,10-K
revenues,tier_2,5,us-gaap,SalesRevenueServicesNet,512,144,512,USD,10-K
revenues,tier_3,6,us-gaap,RevenueFromContractWithCustomerIncludingAssessedTax,1851,482,1851,USD,10-K
net_income,tier_1,1,us-gaap,NetIncomeLoss,33027,3596,33027,USD,10-K
net_income,tier_2,2,us-gaap,ProfitLoss,2848,1375,2848,USD,10-K
equity,tier_1,1,us-gaap,StockholdersEquity,34437,3569,34437,USD,10-K
equity,tier_2,2,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1855,599,1855,USD,10-K
cash,tier_1,1,us-gaap,CashAndCashEquivalentsAtCarryingValue,32435,3504,32435,USD,10-K
cash,tier_2,2,us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,1971,784,1971,USD,10-K
cash,tier_2,3,us-gaap,Cash,1859,673,1859,USD,10-K
accounts_receivable,tier_1,1,us-gaap,AccountsReceivableNetCurrent,24083,2716,24083,USD,10-K
accounts_receivable,tier_2,2,us-gaap,ReceivablesNetCurrent,3063,417,3063,USD,10-K
accounts_receivable,tier_2,3,us-gaap,AccountsReceivableNet,1053,325,1053,USD,10-K
accounts_receivable,tier_2,4,us-gaap,AccountsAndOtherReceivablesNetCurrent,725,209,725,USD,10-K
inventory,tier_1,1,us-gaap,InventoryNet,21722,2299,21722,USD,10-K
cost_of_revenue,tier_1,1,us-gaap,CostOfGoodsAndServicesSold,11670,1718,11670,USD,10-K
cost_of_revenue,tier_1,2,us-gaap,CostOfRevenue,7934,1358,7934,USD,10-K
cost_of_revenue,tier_2,3,us-gaap,CostOfGoodsSold,3723,826,3723,USD,10-K
operating_costs,tier_1,1,us-gaap,CostsAndExpenses,1042,222,1042,USD,10-K
ppe,tier_1,1,us-gaap,PropertyPlantAndEquipmentNet,30679,3344,30679,USD,10-K
ppe,tier_2,2,us-gaap,PropertyPlantAndEquipmentGross,1192,1038,1192,USD,10-K
intangible_assets,tier_1,1,us-gaap,IntangibleAssetsNetExcludingGoodwill,14213,2001,14213,USD,10-K
intangible_assets,tier_1,2,us-gaap,FiniteLivedIntangibleAssetsNet,8477,1596,8477,USD,10-K
intangible_assets,tier_2,3,us-gaap,IntangibleAssetsNetIncludingGoodwill,445,165,445,USD,10-K
goodwill,tier_1,1,us-gaap,Goodwill,21291,2320,21291,USD,10-K
depreciation_amortization,tier_1,1,us-gaap,DepreciationDepletionAndAmortization,20264,2427,20264,USD,10-K
depreciation_amortization,tier_2,2,us-gaap,DepreciationAndAmortization,6735,1223,6735,USD,10-K
long_term_investments,tier_1,1,us-gaap,LongTermInvestments,2321,453,2321,USD,10-K
long_term_debt,tier_1,1,us-gaap,LongTermDebtNoncurrent,12146,1786,12146,USD,10-K
long_term_debt,tier_2,2,us-gaap,LongTermDebt,5233,1435,5233,USD,10-K
long_term_debt,tier_2,3,us-gaap,LongTermDebtAndCapitalLeaseObligations,2383,433,2383,USD,10-K
long_term_debt,tier_3,4,us-gaap,ConvertibleDebtNoncurrent,609,218,609,USD,10-K
long_term_debt,tier_3,5,us-gaap,OtherLongTermDebtNoncurrent,226,104,226,USD,10-K
short_term_debt,tier_1,1,us-gaap,DebtCurrent,3014,522,3014,USD,10-K
short_term_debt,tier_2,2,us-gaap,LongTermDebtCurrent,9812,1662,9812,USD,10-K
short_term_debt,tier_2,3,us-gaap,ShortTermBorrowings,1589,501,1589,USD,10-K
short_term_debt,tier_3,4,us-gaap,NotesPayableCurrent,2362,718,2362,USD,10-K
