variable,configured_tag_count,selected_observations,companies_with_value,company_years_with_value,company_coverage_ratio,company_year_coverage_ratio,units,forms
assets,1,36557,3640,36557,0.975871,0.997082,USD,10-K
liabilities,1,36481,3632,36481,0.973727,0.995009,USD,10-K
liabilities_and_equity,1,36533,3640,36533,0.975871,0.996427,USD,10-K
current_assets,1,35645,3588,35645,0.96193,0.972207,USD,10-K
current_liabilities,1,35505,3587,35505,0.961662,0.968389,USD,10-K
revenues,6,32275,3404,32275,0.912601,0.880291,USD,10-K
net_income,2,35875,3640,35875,0.975871,0.97848,USD,10-K
equity,2,36292,3615,36292,0.969169,0.989854,USD,10-K
cash,3,36265,3636,36265,0.974799,0.989117,USD,10-K
accounts_receivable,4,28924,3094,28924,0.829491,0.788894,USD,10-K
inventory,1,21722,2299,21722,0.616354,0.592461,USD,10-K
cost_of_revenue,3,23327,2689,23327,0.720912,0.636237,USD,10-K
operating_costs,1,30791,3317,30791,0.889276,0.839816,USD,10-K
ppe,2,31871,3377,31871,0.905362,0.869272,USD,10-K
intangible_assets,3,23135,2688,23135,0.720643,0.631,USD,10-K
goodwill,1,21291,2320,21291,0.621984,0.580706,USD,10-K
depreciation_amortization,2,26999,2971,26999,0.796515,0.73639,USD,10-K
long_term_investments,1,2321,453,2321,0.121448,0.063305,USD,10-K
long_term_debt,5,20597,2588,20597,0.693834,0.561777,USD,10-K
short_term_debt,6,19512,2721,19512,0.729491,0.532184,USD,10-K
ebit,1,33373,3472,33373,0.930831,0.910239,USD,10-K
interest_expense,3,21641,2826,21641,0.757641,0.590252,USD,10-K
capex,2,30063,3259,30063,0.873727,0.81996,USD,10-K
retained_earnings,2,35770,3605,35770,0.966488,0.975616,USD,10-K
operating_cash_flow,2,36334,3636,36334,0.974799,0.990999,USD,10-K
investing_cash_flow,2,34200,3565,34200,0.955764,0.932795,USD,10-K
financing_cash_flow,2,35872,3634,35872,0.974263,0.978398,USD,10-K
