kolumna,dtype
research_universe_company_year_id,string
company_id,string
feature_year,int64
target,int64
research_sector,str
x_t_status,str
xbrl_status,string
current_t_assets_value,float64
log_assets_t,float64
roa_t,float64
ocf_to_assets_t,float64
current_ratio_t,float64
liabilities_to_assets_t,float64
working_capital_to_assets_t,float64
accruals_to_assets_t,float64
asset_growth_1y,float64
delta_roa_1y,float64
delta_ocf_to_assets_1y,float64
current_ratio_change_1y,float64
delta_liabilities_to_assets_1y,float64
log1p_revenues_t,float64
profit_margin_t,float64
ocf_margin_t,float64
asset_turnover_t,float64
revenue_growth_1y,float64
