cecha,blok,dtype,n_obserwacji,n_dostepnych_non_na,n_nan,missingness_pct,n_finite,n_pos_inf,n_neg_inf,n_zer,n_ujemnych
log_assets_t,L,float64,19671,19666,5,0.025418128209038687,19666,0,0,0,0
roa_t,L,float64,19671,19261,410,2.0842865131411723,19261,0,0,2,8346
ocf_to_assets_t,L,float64,19671,19376,295,1.4996695643332825,19376,0,0,1,5775
current_ratio_t,L,float64,19671,19596,75,0.3812719231355803,19596,0,0,0,0
liabilities_to_assets_t,L,float64,19671,19637,34,0.17284327182146306,19637,0,0,1,0
working_capital_to_assets_t,L,float64,19671,19594,77,0.3914391744191958,19594,0,0,1,3759
accruals_to_assets_t,L,float64,19671,19229,442,2.24696253367902,19229,0,0,3,16218
asset_growth_1y,D,float64,19671,17555,2116,10.756951858065172,17555,0,0,2,6487
delta_roa_1y,D,float64,19671,17107,2564,13.034416145595037,17107,0,0,2,8790
delta_ocf_to_assets_1y,D,float64,19671,17200,2471,12.561638960906919,17200,0,0,0,8653
current_ratio_change_1y,D,float64,19671,17474,2197,11.1687255350516,17474,0,0,0,9130
delta_liabilities_to_assets_1y,D,float64,19671,17513,2158,10.970464135021098,17513,0,0,3,8092
log1p_revenues_t,R,float64,19671,18177,1494,7.59493670886076,18177,0,0,1,0
profit_margin_t,R,float64,19671,18037,1634,8.306644298713843,18037,0,0,2,7676
ocf_margin_t,R,float64,19671,18155,1516,7.70677647298053,18155,0,0,1,5312
asset_turnover_t,R,float64,19671,18172,1499,7.620354837069798,18172,0,0,1,0
revenue_growth_1y,R,float64,19671,15892,3779,19.21102130039144,15892,0,0,15,5186
