feature_year,n,unique_cik,unique_economic_groups,target_0_n,target_1_n,target_1_pct
2011,1907,1907,1905,1550,357,18.720503408495016
2012,2311,2311,2310,1943,368,15.92384249242752
2013,2393,2393,2392,1969,424,17.71834517342248
2014,2300,2300,2299,1812,488,21.217391304347828
2015,2241,2241,2239,1735,506,22.579205711735835
2016,2133,2133,2131,1782,351,16.455696202531644
2017,1549,1549,1549,1292,257,16.591349257585538
2018,1511,1511,1511,1184,327,21.641297154202515
2019,1638,1638,1637,1312,326,19.902319902319903
2020,1688,1688,1688,1469,219,12.9739336492891
