company_id,observations,observed_years,first_year,last_year,positive_observations
0000001750,7,7,2011,2017,0
0000001800,9,9,2012,2020,0
0000002034,6,6,2012,2017,1
0000002098,10,10,2011,2020,0
0000002178,6,6,2011,2016,0
0000002186,9,9,2012,2020,2
0000002488,8,8,2011,2020,2
0000002491,3,3,2011,2013,0
0000002969,10,10,2011,2020,0
0000003116,6,6,2011,2017,2
0000003197,9,9,2011,2020,1
0000003453,6,6,2011,2016,0
0000004127,10,10,2011,2020,0
0000004281,1,1,2020,2020,0
0000004515,1,1,2011,2011,0
0000005981,10,10,2011,2020,1
0000006176,9,9,2011,2020,1
0000006201,2,2,2011,2013,0
0000006281,9,9,2011,2020,1
0000006284,4,4,2012,2015,0
0000006314,1,1,2012,2012,0
0000006494,9,9,2011,2020,5
0000006845,9,9,2012,2020,0
0000006885,5,5,2012,2016,0
0000006951,10,10,2011,2020,2
0000006955,2,2,2014,2017,1
0000007032,1,1,2011,2011,0
0000007039,6,6,2011,2016,2
0000007084,7,7,2014,2020,0
0000007332,4,4,2011,2016,1
0000007431,10,10,2011,2020,0
0000007536,7,7,2011,2019,0
0000007623,10,10,2011,2020,3
0000008063,10,10,2011,2020,0
0000008146,9,9,2012,2020,1
0000008328,8,8,2013,2020,5
0000008411,4,4,2012,2015,0
0000008504,3,3,2018,2020,2
0000008670,7,7,2011,2017,0
0000008818,3,3,2017,2020,0
0000008855,2,2,2011,2012,1
0000008858,6,6,2012,2020,0
0000008947,8,8,2013,2020,0
0000009092,10,10,2011,2020,0
0000009326,10,10,2011,2020,1
0000009389,6,6,2011,2020,0
0000009892,5,5,2011,2015,0
0000009984,10,10,2011,2020,0
0000010048,6,6,2011,2016,0
0000010254,3,3,2012,2016,0
0000010329,3,3,2011,2013,0
0000010456,9,9,2011,2020,0
0000010795,10,10,2011,2020,1
0000011199,7,7,2011,2017,0
0000012208,9,9,2011,2019,0
0000012239,1,1,2012,2012,0
0000012659,7,7,2011,2017,0
0000012927,6,6,2011,2016,0
0000012978,1,1,2011,2011,0
0000013156,6,6,2014,2020,1
0000013239,7,7,2011,2017,1
0000013573,4,4,2013,2016,0
0000014177,9,9,2011,2020,0
0000014195,6,6,2012,2018,1
0000014272,6,6,2011,2016,1
0000014693,5,5,2011,2015,0
0000014707,4,4,2017,2020,2
0000014930,10,10,2011,2020,0
0000015357,7,7,2012,2020,1
0000015511,3,3,2014,2016,0
0000015615,4,4,2014,2020,0
0000015847,5,5,2012,2016,0
0000016058,9,9,2011,2020,0
0000016099,4,4,2014,2017,1
0000016732,9,9,2011,2020,2
0000017485,2,2,2011,2014,0
0000017843,9,9,2011,2020,0
0000018172,6,6,2011,2019,2
0000018255,8,8,2013,2020,3
0000018396,5,5,2011,2015,1
0000018498,6,6,2015,2020,1
0000018926,9,9,2011,2020,0
0000019002,2,2,2011,2012,0
0000019149,3,3,2012,2014,1
0000019446,5,5,2012,2016,0
0000019584,10,10,2011,2020,1
0000019871,10,10,2011,2020,0
0000020212,8,8,2011,2018,0
0000020232,2,2,2011,2012,1
0000020520,7,7,2011,2019,0
0000020629,6,6,2012,2017,2
0000020740,5,5,2011,2015,0
0000021076,8,8,2011,2020,1
0000021344,3,3,2017,2019,0
0000021510,9,9,2012,2020,1
0000021535,10,10,2011,2020,2
0000021665,10,10,2011,2020,0
0000021828,1,1,2011,2011,0
0000022252,1,1,2012,2012,1
0000022444,10,10,2011,2020,0
0000022701,8,8,2011,2020,4
0000023082,5,5,2011,2015,0
0000023111,8,8,2013,2020,1
0000023194,3,3,2011,2013,0
0000023197,10,10,2011,2020,1
0000023217,10,10,2011,2020,0
0000023666,2,2,2012,2013,0
0000023675,3,3,2011,2013,0
0000024104,3,3,2016,2018,1
0000024491,8,8,2011,2019,1
0000024741,10,10,2011,2020,1
0000025445,10,10,2011,2020,0
0000025743,7,7,2011,2017,2
0000025895,9,9,2012,2020,1
0000026058,10,10,2011,2020,0
0000026076,6,6,2012,2017,1
0000026172,5,5,2011,2015,0
0000026324,6,6,2011,2016,0
0000026780,10,10,2011,2020,1
0000027093,1,1,2016,2016,1
0000027904,5,5,2012,2016,0
0000027996,6,6,2011,2016,0
0000028561,4,4,2012,2015,1
0000028823,6,6,2011,2016,0
0000029002,10,10,2011,2020,2
0000029332,10,10,2011,2020,0
0000029534,5,5,2016,2020,1
0000029644,9,9,2011,2020,0
0000029669,8,8,2011,2020,1
0000029834,3,3,2011,2013,0
0000029905,10,10,2011,2020,0
0000029915,7,7,2011,2017,0
0000029989,10,10,2011,2020,0
0000030302,1,1,2012,2012,0
0000030305,8,8,2011,2020,0
0000030554,5,5,2011,2015,0
0000030625,9,9,2011,2020,0
0000030822,1,1,2011,2011,0
0000030828,2,2,2011,2012,0
0000030831,7,7,2012,2018,1
0000031107,9,9,2012,2020,1
0000031235,1,1,2011,2011,1
0000031347,3,3,2011,2014,1
0000031791,6,6,2011,2016,0
0000032604,10,10,2011,2020,0
0000032621,5,5,2012,2016,2
0000033002,8,8,2012,2020,0
0000033185,10,10,2011,2020,2
0000033213,4,4,2017,2020,0
0000033488,10,10,2011,2020,1
0000033533,8,8,2012,2020,2
0000033619,3,3,2013,2017,0
0000033769,5,5,2011,2016,0
0000034067,9,9,2011,2020,2
0000034408,3,3,2011,2013,0
0000034563,6,6,2014,2020,1
0000034956,2,2,2013,2014,0
0000035214,10,10,2011,2020,1
0000036047,9,9,2011,2019,0
0000037472,9,9,2012,2020,2
0000037785,10,10,2011,2020,0
0000038079,4,4,2011,2014,3
0000038264,9,9,2012,2020,2
0000038725,10,10,2011,2020,0
0000038984,3,3,2014,2016,3
0000039020,9,9,2012,2020,1
0000039092,9,9,2012,2020,3
0000039273,1,1,2011,2011,0
0000039368,8,8,2012,2020,1
0000039648,1,1,2012,2012,0
0000039899,3,3,2013,2020,0
0000039911,10,10,2011,2020,2
0000040533,5,5,2011,2016,0
0000040570,7,7,2011,2017,1
0000040704,8,8,2011,2018,0
0000040888,7,7,2011,2020,0
0000040987,10,10,2011,2020,0
0000041719,4,4,2017,2020,0
0000042228,3,3,2012,2015,0
0000042316,6,6,2011,2016,1
0000042582,8,8,2011,2020,0
0000042682,10,10,2011,2020,0
0000042888,5,5,2016,2020,0
0000043196,7,7,2011,2017,0
0000043920,9,9,2012,2020,0
0000045012,6,6,2011,2016,2
0000045621,1,1,2011,2011,0
0000045876,6,6,2011,2016,0
0000045919,4,4,2017,2020,1
0000046080,7,7,2011,2020,0
0000046129,5,5,2016,2020,0
0000046619,10,10,2011,2020,0
0000046640,2,2,2011,2012,0
0000046765,10,10,2011,2020,3
0000047111,9,9,2011,2020,0
0000047217,8,8,2011,2020,0
0000047307,6,6,2013,2020,1
0000047518,9,9,2011,2019,0
0000048287,10,10,2011,2020,0
0000048465,10,10,2011,2020,0
0000048898,10,10,2011,2020,0
0000049728,6,6,2014,2019,1
0000049754,4,4,2014,2020,0
0000049826,10,10,2011,2020,0
0000050292,1,1,2018,2018,0
0000050471,4,4,2012,2020,0
0000050493,10,10,2011,2020,0
0000050725,8,8,2011,2020,0
0000050863,10,10,2011,2020,0
0000050957,1,1,2011,2011,0
0000051253,10,10,2011,2020,0
0000051434,7,7,2011,2018,0
0000051548,6,6,2011,2016,0
0000051644,6,6,2011,2016,0
0000052795,7,7,2011,2018,0
0000052988,9,9,2011,2020,0
0000053669,5,5,2011,2015,0
0000054381,10,10,2011,2020,0
0000054441,3,3,2011,2013,0
0000054480,10,10,2011,2020,0
0000054681,3,3,2011,2014,0
0000055067,10,10,2011,2020,0
0000055242,10,10,2011,2020,1
0000055529,8,8,2012,2020,0
0000055604,1,1,2011,2011,0
0000055772,8,8,2012,2020,1
0000055785,10,10,2011,2020,0
0000056047,6,6,2011,2016,0
0000056679,7,7,2011,2017,1
0000056701,8,8,2013,2020,0
0000056868,10,10,2011,2020,4
0000056873,1,1,2020,2020,0
0000056978,10,10,2011,2020,2
0000057131,9,9,2012,2020,0
0000057515,9,9,2012,2020,0
0000057528,2,2,2013,2016,0
0000057725,5,5,2012,2020,2
0000058361,7,7,2011,2017,0
0000058492,8,8,2011,2018,0
0000059440,4,4,2011,2014,0
0000059478,10,10,2011,2020,1
0000059527,10,10,2011,2020,1
0000059860,1,1,2016,2016,0
0000060519,10,10,2011,2020,1
0000060714,10,10,2011,2020,2
0000060849,1,1,2011,2011,0
0000060977,8,8,2011,2019,1
0000061004,10,10,2011,2020,1
0000061986,8,8,2011,2020,1
0000062234,4,4,2012,2020,0
0000062996,10,10,2011,2020,0
0000063276,9,9,2011,2020,1
0000063296,10,10,2011,2020,0
0000063754,10,10,2011,2020,1
0000063908,10,10,2011,2020,2
0000064040,4,4,2011,2020,0
0000064279,1,1,2011,2011,1
0000064463,1,1,2011,2011,1
0000064472,9,9,2012,2020,0
0000064670,3,3,2011,2013,0
0000064803,7,7,2011,2019,0
0000065011,7,7,2011,2017,1
0000065270,9,9,2012,2020,1
0000065312,5,5,2015,2020,0
0000065759,6,6,2012,2020,2
0000065770,7,7,2011,2020,2
0000066382,10,10,2011,2020,0
0000066570,6,6,2015,2020,0
0000066600,1,1,2020,2020,1
0000066740,10,10,2011,2020,0
0000067279,3,3,2013,2015,0
0000067347,9,9,2012,2020,0
0000067472,2,2,2011,2012,0
0000067517,2,2,2011,2012,0
0000067716,1,1,2011,2011,0
0000067887,10,10,2011,2020,0
0000068270,2,2,2015,2016,1
0000068709,5,5,2012,2016,1
0000069488,10,10,2011,2020,1
0000069633,7,7,2012,2019,0
0000069891,9,9,2012,2020,0
0000070415,6,6,2011,2016,0
0000070487,10,10,2011,2020,1
0000070866,5,5,2011,2016,0
0000071557,6,6,2011,2016,0
0000071691,5,5,2012,2016,0
0000071829,6,6,2011,2016,1
0000072162,10,10,2011,2020,0
0000072170,3,3,2011,2013,1
0000072205,10,10,2011,2020,0
0000072207,6,6,2011,2016,1
0000072316,1,1,2011,2011,1
0000072331,10,10,2011,2020,1
0000072444,3,3,2013,2015,2
0000072573,9,9,2012,2020,0
0000073048,1,1,2012,2012,0
0000073290,8,8,2012,2020,4
0000073309,10,10,2011,2020,0
0000073605,1,1,2015,2015,1
0000073756,10,10,2011,2020,3
0000074046,9,9,2012,2020,0
0000074303,6,6,2011,2020,1
0000074688,1,1,2011,2011,0
0000074818,2,2,2011,2012,1
0000075252,10,10,2011,2020,0
0000075288,3,3,2018,2020,0
0000075340,10,10,2011,2020,1
0000075439,4,4,2011,2016,3
0000075677,9,9,2011,2019,1
0000075679,5,5,2013,2018,0
0000075829,3,3,2011,2013,0
0000076149,6,6,2011,2017,0
0000076267,9,9,2012,2020,1
0000076282,9,9,2011,2020,0
0000076321,6,6,2011,2016,1
0000076334,10,10,2011,2020,0
0000076605,9,9,2011,2020,0
0000077159,6,6,2011,2019,2
0000077360,8,8,2011,2020,0
0000077476,10,10,2011,2020,0
0000077543,3,3,2018,2020,0
0000077597,1,1,2011,2011,0
0000077877,2,2,2011,2015,0
0000078003,10,10,2011,2020,0
0000078749,3,3,2012,2015,0
0000078814,4,4,2013,2016,0
0000078890,10,10,2011,2020,0
0000079879,10,10,2011,2020,0
0000079958,2,2,2011,2012,0
0000080035,10,10,2011,2020,0
0000080172,10,10,2011,2020,0
0000080420,4,4,2017,2020,0
0000080424,10,10,2011,2020,0
0000081318,1,1,2014,2014,1
0000081362,10,10,2011,2020,1
0000082020,4,4,2016,2020,0
0000082166,6,6,2012,2017,0
0000082628,1,1,2012,2012,0
0000082811,10,10,2011,2020,0
0000083350,3,3,2017,2019,2
0000084112,2,2,2019,2020,0
0000084129,2,2,2018,2020,0
0000084748,10,10,2011,2020,0
0000085408,7,7,2011,2017,1
0000085704,2,2,2011,2012,0
0000085961,6,6,2011,2016,0
0000086264,7,7,2011,2017,2
0000087050,10,10,2011,2020,4
0000087347,6,6,2011,2016,2
0000087565,5,5,2012,2016,0
0000087802,9,9,2012,2020,3
0000088000,10,10,2011,2020,4
0000088205,9,9,2012,2020,1
0000088790,10,10,2011,2020,0
0000088941,8,8,2013,2020,1
0000088948,9,9,2012,2020,0
0000089089,2,2,2013,2016,0
0000089140,9,9,2011,2020,1
0000089270,4,4,2011,2014,0
0000089439,8,8,2011,2020,1
0000089800,10,10,2011,2020,0
0000090168,9,9,2012,2020,1
0000090185,3,3,2011,2013,0
0000090721,2,2,2011,2012,0
0000090896,5,5,2012,2016,0
0000091142,10,10,2011,2020,0
0000091388,2,2,2011,2012,0
0000091419,10,10,2011,2020,1
0000091668,5,5,2012,2020,1
0000091767,10,10,2011,2020,0
0000092380,6,6,2011,2016,0
0000092679,5,5,2012,2017,1
0000093205,2,2,2013,2017,2
0000093314,2,2,2019,2020,1
0000093389,10,10,2011,2020,0
0000093456,1,1,2012,2012,0
0000093556,10,10,2011,2020,0
0000094049,10,10,2011,2020,0
0000094845,1,1,2020,2020,0
0000095029,1,1,2013,2013,1
0000095047,4,4,2011,2014,0
0000095052,4,4,2012,2015,2
0000095521,6,6,2011,2016,1
0000095552,9,9,2011,2020,2
0000095574,9,9,2011,2020,1
0000095953,9,9,2012,2020,1
0000096536,8,8,2012,2020,2
0000096699,8,8,2011,2020,3
0000096763,3,3,2011,2013,0
0000096793,3,3,2018,2020,0
0000096831,3,3,2011,2013,0
0000096885,9,9,2012,2020,3
0000096943,10,10,2011,2020,1
0000097134,10,10,2011,2020,1
0000097210,1,1,2012,2012,1
0000097216,10,10,2011,2020,0
0000097472,2,2,2011,2012,0
0000097476,9,9,2011,2020,0
0000097745,2,2,2011,2012,0
0000098222,5,5,2011,2015,1
0000098246,8,8,2011,2018,0
0000098338,5,5,2012,2019,1
0000098362,6,6,2011,2020,1
0000098618,1,1,2013,2013,0
0000098677,4,4,2013,2016,0
0000098752,8,8,2012,2019,2
0000099106,6,6,2011,2016,1
0000099302,4,4,2012,2015,0
0000099359,2,2,2012,2013,0
0000100378,7,7,2013,2020,1
0000100493,10,10,2011,2020,0
0000100517,5,5,2011,2016,0
0000100591,4,4,2017,2020,1
0000100625,7,7,2011,2017,0
0000100726,1,1,2012,2012,0
0000100790,2,2,2019,2020,1
0000100885,6,6,2011,2016,0
0000101295,10,10,2011,2020,2
0000101462,1,1,2015,2015,1
0000101538,9,9,2011,2019,1
0000101829,6,6,2011,2016,0
0000101830,1,1,2011,2011,0
0000101984,10,10,2011,2020,2
0000102109,2,2,2017,2018,0
0000102729,6,6,2011,2016,0
0000102741,5,5,2011,2015,0
0000102752,6,6,2011,2016,0
0000103145,4,4,2017,2020,1
0000103595,8,8,2013,2020,0
0000103730,10,10,2011,2020,1
0000103872,3,3,2016,2020,1
0000104207,2,2,2011,2012,0
0000104777,2,2,2011,2013,1
0000104889,1,1,2012,2012,0
0000104897,4,4,2012,2016,0
0000105016,10,10,2011,2020,0
0000105132,9,9,2012,2020,0
0000105319,4,4,2013,2016,2
0000105418,10,10,2011,2020,0
0000105608,6,6,2011,2016,1
0000105634,10,10,2011,2020,0
0000105744,4,4,2016,2020,1
0000105770,9,9,2012,2020,0
0000106040,7,7,2011,2020,1
0000106455,5,5,2011,2016,0
0000106532,10,10,2011,2020,0
0000106618,5,5,2011,2015,0
0000106640,10,10,2011,2020,0
0000107140,10,10,2011,2020,0
0000107687,9,9,2012,2020,1
0000108312,9,9,2011,2020,0
0000108516,10,10,2011,2020,0
0000109177,2,2,2019,2020,0
0000109198,10,10,2011,2020,1
0000109563,10,10,2011,2020,1
0000109657,3,3,2012,2014,1
0000109758,1,1,2011,2011,0
0000110471,6,6,2015,2020,1
0000110621,10,10,2011,2020,0
0000202058,5,5,2011,2015,1
0000203077,4,4,2011,2014,1
0000203527,6,6,2011,2016,0
0000205402,10,10,2011,2020,0
0000215419,3,3,2011,2014,1
0000215466,3,3,2013,2020,1
0000216085,2,2,2019,2020,0
0000216228,8,8,2012,2020,0
0000225211,8,8,2013,2020,5
0000225263,3,3,2012,2014,0
0000225628,10,10,2011,2020,4
0000230211,3,3,2012,2014,0
0000230498,1,1,2011,2011,0
0000275053,6,6,2015,2020,0
0000275880,2,2,2019,2020,0
0000276283,8,8,2011,2018,3
0000277135,9,9,2012,2020,0
0000277509,9,9,2011,2020,0
0000277595,5,5,2011,2016,1
0000277948,10,10,2011,2020,0
0000278041,3,3,2012,2014,1
0000278130,6,6,2012,2017,2
0000278165,8,8,2013,2020,2
0000278166,8,8,2012,2019,0
0000310056,7,7,2011,2017,2
0000310142,10,10,2011,2020,0
0000310158,10,10,2011,2020,0
0000310354,8,8,2013,2020,0
0000310568,6,6,2011,2016,1
0000310764,10,10,2011,2020,0
0000311471,2,2,2011,2012,0
0000312257,10,10,2011,2020,4
0000313143,10,10,2011,2020,1
0000313478,2,2,2012,2013,1
0000313616,10,10,2011,2020,0
0000313716,6,6,2011,2016,0
0000313927,10,10,2011,2020,0
0000314203,3,3,2018,2020,1
0000314227,9,9,2012,2020,1
0000314606,1,1,2011,2011,1
0000314712,3,3,2011,2013,1
0000314808,3,3,2017,2019,1
0000315131,5,5,2012,2016,1
0000315261,2,2,2011,2012,0
0000315449,3,3,2012,2014,1
0000315958,10,10,2011,2020,0
0000316206,4,4,2011,2014,0
0000316253,8,8,2012,2020,2
0000316736,7,7,2011,2017,4
0000317540,9,9,2012,2020,0
0000317771,1,1,2011,2011,0
0000317889,2,2,2011,2012,1
0000318154,7,7,2011,2019,0
0000318306,7,7,2011,2020,4
0000318833,7,7,2012,2020,1
0000318996,1,1,2018,2018,1
0000319016,5,5,2015,2020,1
0000319156,2,2,2012,2013,1
0000319201,7,7,2011,2017,0
0000319458,4,4,2011,2014,0
0000319815,6,6,2012,2017,1
0000320017,4,4,2011,2015,1
0000320121,6,6,2011,2016,2
0000320187,10,10,2011,2020,1
0000320193,7,7,2011,2017,0
0000320340,6,6,2011,2016,1
0000320345,3,3,2011,2013,0
0000320431,1,1,2012,2012,0
0000320575,2,2,2017,2018,0
0000350077,2,2,2011,2012,0
0000350403,6,6,2011,2017,1
0000350644,2,2,2011,2012,0
0000350737,6,6,2015,2020,0
0000350832,2,2,2011,2012,0
0000350868,1,1,2016,2016,0
0000350917,2,2,2011,2012,0
0000351231,2,2,2012,2013,1
0000351789,10,10,2011,2020,0
0000351817,5,5,2011,2018,2
0000351834,8,8,2012,2020,1
0000351998,7,7,2011,2019,3
0000352363,2,2,2013,2014,0
0000352747,1,1,2011,2011,1
0000352825,5,5,2012,2016,2
0000352915,4,4,2017,2020,0
0000352955,10,10,2011,2020,2
0000352998,9,9,2011,2019,3
0000353020,9,9,2011,2019,0
0000353184,1,1,2013,2013,0
0000353569,10,10,2011,2020,0
0000353944,3,3,2011,2013,0
0000354260,2,2,2014,2015,1
0000354655,1,1,2013,2013,0
0000354813,2,2,2012,2013,1
0000354908,9,9,2011,2019,0
0000354950,10,10,2011,2020,0
0000354963,6,6,2011,2016,1
0000355019,8,8,2013,2020,1
0000355777,4,4,2011,2014,1
0000355811,10,10,2011,2020,0
0000355948,9,9,2012,2020,0
0000355999,6,6,2011,2016,0
0000356028,6,6,2011,2016,0
0000356037,7,7,2011,2017,0
0000356213,4,4,2011,2014,1
0000356590,3,3,2013,2020,0
0000357001,4,4,2011,2014,1
0000357020,4,4,2012,2015,1
0000357097,2,2,2014,2015,1
0000357108,1,1,2011,2011,1
0000700764,5,5,2012,2019,3
0000700841,9,9,2012,2020,1
0000701288,10,10,2011,2020,0
0000701374,6,6,2011,2016,1
0000701719,9,9,2011,2019,1
0000701811,5,5,2011,2015,0
0000701985,3,3,2011,2020,0
0000703351,6,6,2011,2017,0
0000703360,2,2,2011,2012,0
0000703361,6,6,2011,2016,1
0000703604,9,9,2011,2020,1
0000704366,1,1,2014,2014,1
0000704384,1,1,2011,2011,1
0000704415,9,9,2011,2020,1
0000704440,7,7,2012,2020,2
0000704532,7,7,2012,2020,1
0000704562,8,8,2012,2020,2
0000706698,10,10,2011,2020,0
0000707388,6,6,2011,2016,1
0000707511,6,6,2015,2020,2
0000707549,10,10,2011,2020,1
0000708717,1,1,2011,2011,1
0000708818,3,3,2011,2016,1
0000708819,8,8,2011,2018,3
0000708821,4,4,2013,2016,0
0000709005,8,8,2011,2020,1
0000709283,2,2,2012,2015,0
0000709804,4,4,2011,2014,0
0000711034,2,2,2019,2020,0
0000711065,3,3,2012,2014,0
0000711377,5,5,2012,2016,0
