cecha,blok,n,n_missing,missingness_pct,n_available
log_assets_t,L,19671,5,0.025418128209038687,19666
roa_t,L,19671,410,2.0842865131411723,19261
ocf_to_assets_t,L,19671,295,1.4996695643332825,19376
current_ratio_t,L,19671,75,0.3812719231355803,19596
liabilities_to_assets_t,L,19671,34,0.17284327182146306,19637
working_capital_to_assets_t,L,19671,77,0.3914391744191958,19594
accruals_to_assets_t,L,19671,442,2.24696253367902,19229
asset_growth_1y,D,19671,2116,10.756951858065172,17555
delta_roa_1y,D,19671,2564,13.034416145595037,17107
delta_ocf_to_assets_1y,D,19671,2471,12.561638960906919,17200
current_ratio_change_1y,D,19671,2197,11.1687255350516,17474
delta_liabilities_to_assets_1y,D,19671,2158,10.970464135021098,17513
log1p_revenues_t,R,19671,1494,7.59493670886076,18177
profit_margin_t,R,19671,1634,8.306644298713843,18037
ocf_margin_t,R,19671,1516,7.70677647298053,18155
asset_turnover_t,R,19671,1499,7.620354837069798,18172
revenue_growth_1y,R,19671,3779,19.21102130039144,15892
