cecha_1,log_assets_t,roa_t,ocf_to_assets_t,current_ratio_t,liabilities_to_assets_t,working_capital_to_assets_t,accruals_to_assets_t,asset_growth_1y,delta_roa_1y,delta_ocf_to_assets_1y,current_ratio_change_1y,delta_liabilities_to_assets_1y,log1p_revenues_t,profit_margin_t,ocf_margin_t,asset_turnover_t,revenue_growth_1y
log_assets_t,5,5,5,3,5,5,5,5,5,5,3,5,0,0,0,5,1
roa_t,5,410,263,5,6,7,410,265,410,286,264,266,266,405,266,271,289
ocf_to_assets_t,5,263,295,6,7,8,295,247,269,295,246,248,269,269,290,274,274
current_ratio_t,3,5,6,75,6,75,6,10,16,16,75,11,16,16,16,19,27
liabilities_to_assets_t,5,6,7,6,34,8,7,7,7,7,6,34,4,4,4,9,7
working_capital_to_assets_t,5,7,8,75,8,77,8,12,18,18,75,13,16,16,16,21,28
accruals_to_assets_t,5,410,295,6,7,8,442,269,416,318,268,270,277,416,298,282,304
asset_growth_1y,5,265,247,10,7,12,269,2116,2116,2116,2114,2116,354,375,357,359,2108
delta_roa_1y,5,410,269,16,7,18,416,2116,2564,2435,2126,2118,427,566,430,432,2434
delta_ocf_to_assets_1y,5,286,295,16,7,18,318,2116,2435,2471,2127,2118,431,453,452,436,2443
current_ratio_change_1y,3,264,246,75,6,75,268,2114,2126,2127,2197,2117,373,394,376,376,2140
delta_liabilities_to_assets_1y,5,266,248,11,34,13,270,2116,2118,2118,2117,2158,359,380,362,364,2115
log1p_revenues_t,0,266,269,16,4,16,277,354,427,431,373,359,1494,1494,1494,1494,1489
profit_margin_t,0,405,269,16,4,16,416,375,566,453,394,380,1494,1634,1495,1494,1512
ocf_margin_t,0,266,290,16,4,16,298,357,430,452,376,362,1494,1495,1516,1494,1494
asset_turnover_t,5,271,274,19,9,21,282,359,432,436,376,364,1494,1494,1494,1499,1490
revenue_growth_1y,1,289,274,27,7,28,304,2108,2434,2443,2140,2115,1489,1512,1494,1490,3779
