,log_assets_t,roa_t,ocf_to_assets_t,current_ratio_t,liabilities_to_assets_t,working_capital_to_assets_t,accruals_to_assets_t,asset_growth_1y,delta_roa_1y,delta_ocf_to_assets_1y,current_ratio_change_1y,delta_liabilities_to_assets_1y,log1p_revenues_t,profit_margin_t,ocf_margin_t,asset_turnover_t,revenue_growth_1y
log_assets_t,1.0,0.012195121951219513,0.01694915254237288,0.03896103896103896,0.14705882352941177,0.06493506493506493,0.011312217194570135,0.0023629489603024575,0.0019500780031201249,0.0020234722784297854,0.001364256480218281,0.0023169601482854493,0.0,0.0,0.0,0.00333555703802535,0.0002643404705260375
roa_t,0.012195121951219513,1.0,0.5950226244343891,0.010416666666666666,0.0136986301369863,0.014583333333333334,0.9276018099547512,0.1172047766475011,0.15990639625585024,0.11021194605009633,0.11267605633802817,0.1155516941789748,0.1623931623931624,0.2471018913971934,0.1602409638554217,0.16544566544566544,0.0741025641025641
ocf_to_assets_t,0.01694915254237288,0.5950226244343891,1.0,0.016483516483516484,0.021739130434782608,0.02197802197802198,0.667420814479638,0.11414048059149723,0.10386100386100386,0.11938486442735735,0.10952804986642921,0.11247165532879819,0.1769736842105263,0.16204819277108434,0.19066403681788296,0.18026315789473685,0.07210526315789474
current_ratio_t,0.03896103896103896,0.010416666666666666,0.016483516483516484,1.0,0.05825242718446602,0.974025974025974,0.011741682974559686,0.004585052728106373,0.006099885627144491,0.006324110671936759,0.03413746017296313,0.0049504950495049506,0.0103026400515132,0.009450679267572357,0.010158730158730159,0.012218649517684888,0.007055134570159394
liabilities_to_assets_t,0.14705882352941177,0.0136986301369863,0.021739130434782608,0.05825242718446602,1.0,0.07766990291262135,0.014925373134328358,0.0032664489034064394,0.002701659590891548,0.0028022417934347476,0.002696629213483146,0.015755329008341055,0.0026246719160104987,0.002403846153846154,0.00258732212160414,0.005905511811023622,0.0018392012611665792
working_capital_to_assets_t,0.06493506493506493,0.014583333333333334,0.02197802197802198,0.974025974025974,0.07766990291262135,1.0,0.015655577299412915,0.005502063273727648,0.006862371330537552,0.0071146245059288534,0.034106412005457026,0.0058505850585058505,0.010289389067524116,0.00943952802359882,0.010145846544071021,0.013504823151125401,0.0073145245559038665
accruals_to_assets_t,0.011312217194570135,0.9276018099547512,0.667420814479638,0.011741682974559686,0.014925373134328358,0.015655577299412915,1.0,0.11751856705985146,0.16061776061776062,0.12254335260115606,0.11303247574862928,0.11587982832618025,0.16696805304400242,0.25060240963855424,0.17951807228915662,0.16998191681735986,0.07761041613479704
asset_growth_1y,0.0023629489603024575,0.1172047766475011,0.11414048059149723,0.004585052728106373,0.0032664489034064394,0.005502063273727648,0.11751856705985146,1.0,0.8252730109204368,0.8563334682314853,0.9613460663938154,0.9805375347544022,0.10872235872235872,0.1111111111111111,0.10900763358778626,0.11025798525798526,0.5566411407446528
delta_roa_1y,0.0019500780031201249,0.15990639625585024,0.10386100386100386,0.006099885627144491,0.002701659590891548,0.006862371330537552,0.16061776061776062,0.8252730109204368,1.0,0.9365384615384615,0.8068311195445921,0.8133640552995391,0.11759845772514459,0.15583700440528633,0.1178082191780822,0.11897548884604792,0.6226656433870555
delta_ocf_to_assets_1y,0.0020234722784297854,0.11021194605009633,0.11938486442735735,0.006324110671936759,0.0028022417934347476,0.0071146245059288534,0.12254335260115606,0.8563334682314853,0.9365384615384615,1.0,0.8370720188902007,0.8434886499402628,0.12195812110922467,0.12404162102957283,0.12786421499292785,0.12337294850028296,0.641712634620436
current_ratio_change_1y,0.001364256480218281,0.11267605633802817,0.10952804986642921,0.03413746017296313,0.002696629213483146,0.034106412005457026,0.11303247574862928,0.9613460663938154,0.8068311195445921,0.8370720188902007,1.0,0.9459338695263628,0.11241711874623267,0.1146348559790515,0.11267605633802817,0.11325301204819277,0.5578727841501564
delta_liabilities_to_assets_1y,0.0023169601482854493,0.1155516941789748,0.11247165532879819,0.0049504950495049506,0.015755329008341055,0.0058505850585058505,0.11587982832618025,0.9805375347544022,0.8133640552995391,0.8434886499402628,0.9459338695263628,1.0,0.1090191314910416,0.11137162954279015,0.10929951690821256,0.11053750379593076,0.5533751962323391
log1p_revenues_t,0.0,0.1623931623931624,0.1769736842105263,0.0103026400515132,0.0026246719160104987,0.010289389067524116,0.16696805304400242,0.10872235872235872,0.11759845772514459,0.12195812110922467,0.11241711874623267,0.1090191314910416,1.0,0.9143206854345165,0.9854881266490765,0.9966644429619747,0.39349894291754756
profit_margin_t,0.0,0.2471018913971934,0.16204819277108434,0.009450679267572357,0.002403846153846154,0.00943952802359882,0.25060240963855424,0.1111111111111111,0.15583700440528633,0.12404162102957283,0.1146348559790515,0.11137162954279015,0.9143206854345165,1.0,0.9033232628398792,0.9115314215985357,0.38759292489105357
ocf_margin_t,0.0,0.1602409638554217,0.19066403681788296,0.010158730158730159,0.00258732212160414,0.010145846544071021,0.17951807228915662,0.10900763358778626,0.1178082191780822,0.12786421499292785,0.11267605633802817,0.10929951690821256,0.9854881266490765,0.9033232628398792,1.0,0.9822485207100592,0.3930544593528019
asset_turnover_t,0.00333555703802535,0.16544566544566544,0.18026315789473685,0.012218649517684888,0.005905511811023622,0.013504823151125401,0.16998191681735986,0.11025798525798526,0.11897548884604792,0.12337294850028296,0.11325301204819277,0.11053750379593076,0.9966644429619747,0.9115314215985357,0.9822485207100592,1.0,0.39334741288278774
revenue_growth_1y,0.0002643404705260375,0.0741025641025641,0.07210526315789474,0.007055134570159394,0.0018392012611665792,0.0073145245559038665,0.07761041613479704,0.5566411407446528,0.6226656433870555,0.641712634620436,0.5578727841501564,0.5533751962323391,0.39349894291754756,0.38759292489105357,0.3930544593528019,0.39334741288278774,1.0
