,log_assets_t,roa_t,ocf_to_assets_t,current_ratio_t,liabilities_to_assets_t,working_capital_to_assets_t,accruals_to_assets_t,asset_growth_1y,delta_roa_1y,delta_ocf_to_assets_1y,current_ratio_change_1y,delta_liabilities_to_assets_1y,log1p_revenues_t,profit_margin_t,ocf_margin_t,asset_turnover_t,revenue_growth_1y
log_assets_t,1.0,0.5075857683133,0.4993253063074854,0.05965904571899113,0.02012639877906325,-0.03286022295417547,0.2701114544944178,0.06859375660087891,0.014348582747674197,0.010387503924428736,0.04131617576548705,-0.045279324182896374,0.9565918528746997,0.5256413723226537,0.5761376081901186,-0.0794959080810739,-0.016084837202533644
roa_t,0.5075857683133,1.0,0.7522829567797318,0.21632078768922447,-0.252391291021661,0.16873607469316604,0.5490998129248563,0.22143697602065146,0.23861237850264103,0.08252427512538645,0.16379061786141474,-0.27501300543245094,0.559158554461466,0.9427217224940757,0.6570648727523867,0.22132449928812184,0.09250898614073497
ocf_to_assets_t,0.4993253063074854,0.7522829567797318,1.0,0.10086550150520293,-0.1676883498122355,0.044016510784707565,0.047175528893898734,0.11606952540584228,0.09377877124355684,0.2497372042015981,0.08253015818864924,-0.15293821248759357,0.5488779049341183,0.7152339297626273,0.8628346533890072,0.2171205251597029,0.03247028676864049
current_ratio_t,0.05965904571899113,0.21632078768922447,0.10086550150520293,1.0,-0.705351916503261,0.9152094001107215,0.28030102996592915,0.12364446057157193,0.031928876485354786,0.008949972474558424,0.2528400548210281,-0.18188229731945474,0.0015616046923088022,0.17948572097499596,0.08674825299698623,-0.13702181847342296,0.01758886207852854
liabilities_to_assets_t,0.02012639877906325,-0.252391291021661,-0.1676883498122355,-0.705351916503261,1.0,-0.6508766251678179,-0.23052394614743624,-0.11812766022710021,-0.03042265608868203,-0.011217615294831127,-0.13085923896225743,0.252864330163207,0.06839453890419638,-0.21743688310697773,-0.14841186169746606,0.13616035877044474,-0.02826602815420985
working_capital_to_assets_t,-0.03286022295417547,0.16873607469316604,0.044016510784707565,0.9152094001107215,-0.6508766251678179,1.0,0.2693818377023055,0.12195023734914995,0.0450378430923471,0.014355792024070996,0.22307734621652084,-0.1719312864154618,-0.04939577269609683,0.09969843471578038,-0.03684437100065677,-0.004226722339551877,0.025083106328655666
accruals_to_assets_t,0.2701114544944178,0.5490998129248563,0.047175528893898734,0.28030102996592915,-0.23052394614743624,0.2693818377023055,1.0,0.19883990575825738,0.2570929144355499,-0.15416769152484927,0.1809750582246436,-0.2563199061592861,0.27297149063494286,0.5190499627126596,0.06657846234661188,0.05923239524592968,0.07603906827211182
asset_growth_1y,0.06859375660087891,0.22143697602065146,0.11606952540584228,0.12364446057157193,-0.11812766022710021,0.12195023734914995,0.19883990575825738,1.0,0.2845284637956628,0.17289516766071675,0.2489544260705161,-0.2510820080186204,0.034386384504186254,0.20570718014288855,0.11781062102120157,-0.11527569360900575,0.42703466975449544
delta_roa_1y,0.014348582747674197,0.23861237850264103,0.09377877124355684,0.031928876485354786,-0.03042265608868203,0.0450378430923471,0.2570929144355499,0.2845284637956628,1.0,0.4082236770508317,0.2577097946127649,-0.3500324716119791,0.01914321484404658,0.2109666338144801,0.058783342259830354,0.01845631192069083,0.23125316718151948
delta_ocf_to_assets_1y,0.010387503924428736,0.08252427512538645,0.2497372042015981,0.008949972474558424,-0.011217615294831127,0.014355792024070996,-0.15416769152484927,0.17289516766071675,0.4082236770508317,1.0,0.12700400842933318,-0.1859540289748997,0.020044834138571853,0.06909118943842178,0.18648319892467963,0.020322313321548328,0.1726828861958972
