,log_assets_t,roa_t,ocf_to_assets_t,current_ratio_t,liabilities_to_assets_t,working_capital_to_assets_t,accruals_to_assets_t,asset_growth_1y,delta_roa_1y,delta_ocf_to_assets_1y,current_ratio_change_1y,delta_liabilities_to_assets_1y,log1p_revenues_t,profit_margin_t,ocf_margin_t,asset_turnover_t,revenue_growth_1y
log_assets_t,1.0,0.06477248651079638,0.12725557950211386,-0.031212297761385985,-0.06651179938559068,0.06396398384290077,0.05743580970303203,-0.02253537914603191,-0.011501252316828135,-0.016767938180065955,-0.03169215986922626,0.01597280881041599,0.9345050543952121,0.0806149135907071,0.06836045304487881,-0.2217785813417492,-0.02088769337055134
roa_t,0.06477248651079638,1.0,0.6776094193852915,0.00953448802931058,-0.9663178048832554,0.9672257239947317,0.9979184719700875,-5.454412632281318e-05,0.39922691695675977,0.3931437240054374,-3.730163072475568e-05,-0.4014139718751195,0.05171322118072264,0.09149813386952577,0.013775440810953245,-0.07595250175379882,-0.0002481746749810944
ocf_to_assets_t,0.12725557950211386,0.6776094193852915,1.0,0.016736992623476225,-0.6920823329818788,0.6881691962562688,0.6287729437124485,-0.000765711859361516,0.26494399119690504,0.598164297343002,-0.0005281863378514314,-0.27870393437930785,0.10531066244950625,0.06378140707106003,0.024566671438509026,-0.23625778029359232,-0.0016225381309322752
current_ratio_t,-0.031212297761385985,0.00953448802931058,0.016736992623476225,1.0,-0.01141863900040768,0.011256529274333434,0.008629584265980438,-0.0016292608654833076,-0.0024529759024172577,0.001582159481537238,0.33808300197791197,0.0033861239373680937,-0.10950168497892507,-0.014855281345064605,-0.058652003715841484,-0.1058454157388655,-0.004017389722414725
liabilities_to_assets_t,-0.06651179938559068,-0.9663178048832554,-0.6920823329818788,-0.01141863900040768,1.0,-0.9998181282634641,-0.9610358084564566,-0.0003191186775824295,-0.3748826652712344,-0.41136663275604834,-0.00046619885067098626,0.39804723443973244,-0.051112441021086336,-0.07165612873252357,-0.011495527407099632,0.08664921494335193,-1.0549117466803783e-06
working_capital_to_assets_t,0.06396398384290077,0.9672257239947317,0.6881691962562688,0.011256529274333434,-0.9998181282634641,1.0,0.9624127446439847,0.000251053490568398,0.3840079137871091,0.41019520500767687,0.0004529888975514984,-0.4078778764937189,0.049069897739256456,0.07214384989929574,0.011439223054595472,-0.08170900039144266,1.7311034024336714e-05
accruals_to_assets_t,0.05743580970303203,0.9979184719700875,0.6287729437124485,0.008629584265980438,-0.9610358084564566,0.9624127446439847,1.0,9.220222944120474e-06,0.3989499226081819,0.36340495456003286,6.52298018924174e-06,-0.40005015006455064,0.04551830603604939,0.0911528282961847,0.012415255786917906,-0.05963013149334391,-0.00012048978732593994
asset_growth_1y,-0.02253537914603191,-5.454412632281318e-05,-0.000765711859361516,-0.0016292608654833076,-0.0003191186775824295,0.000251053490568398,9.220222944120474e-06,1.0,0.09910974598604444,0.04299440580303732,0.1557309410601346,-0.13594632723072747,-0.022488216078754945,-0.0010292985533451005,0.00029695471157439694,-0.0059371629618630364,0.3924471548997117
delta_roa_1y,-0.011501252316828135,0.39922691695675977,0.26494399119690504,-0.0024529759024172577,-0.3748826652712344,0.3840079137871091,0.3989499226081819,0.09910974598604444,1.0,0.49863403200826734,0.019323128184543004,-0.9776035087451823,-0.01954709842239272,-0.013467516897849478,-0.003754500996883392,-0.036188529660988726,0.0024342072314273815
delta_ocf_to_assets_1y,-0.016767938180065955,0.3931437240054374,0.598164297343002,0.001582159481537238,-0.41136663275604834,0.41019520500767687,0.36340495456003286,0.04299440580303732,0.49863403200826734,1.0,0.06411808979987509,-0.5910720119252649,-0.030130288718206975,-0.13618993184764436,-0.008452027603703633,-0.1467533743796578,-0.0016134662114846384
current_ratio_change_1y,-0.03169215986922626,-3.730163072475568e-05,-0.0005281863378514314,0.33808300197791197,-0.00046619885067098626,0.0004529888975514984,6.52298018924174e-06,0.1557309410601346,0.019323128184543004,0.06411808979987509,1.0,-0.0632898570001,-0.047708096438078725,-0.014400836519078182,-0.03477249824704963,-0.011790093146478584,0.017405801381170108
delta_liabilities_to_assets_1y,0.01597280881041599,-0.4014139718751195,-0.27870393437930785,0.0033861239373680937,0.39804723443973244,-0.4078778764937189,-0.40005015006455064,-0.13594632723072747,-0.9776035087451823,-0.5910720119252649,-0.0632898570001,1.0,0.024849449970317947,0.0033476260780004406,0.003460951064926462,0.039462163832448424,-0.03389153386749668
log1p_revenues_t,0.9345050543952121,0.05171322118072264,0.10531066244950625,-0.10950168497892507,-0.051112441021086336,0.049069897739256456,0.04551830603604939,-0.022488216078754945,-0.01954709842239272,-0.030130288718206975,-0.047708096438078725,0.024849449970317947,1.0,0.16337150515066595,0.18509988901366337,0.004424788031740929,-0.019384903742542675
profit_margin_t,0.0806149135907071,0.09149813386952577,0.06378140707106003,-0.014855281345064605,-0.07165612873252357,0.07214384989929574,0.0911528282961847,-0.0010292985533451005,-0.013467516897849478,-0.13618993184764436,-0.014400836519078182,0.0033476260780004406,0.16337150515066595,1.0,0.559055381909431,0.03801044398463834,0.0003472152187975882
ocf_margin_t,0.06836045304487881,0.013775440810953245,0.024566671438509026,-0.058652003715841484,-0.011495527407099632,0.011439223054595472,0.012415255786917906,0.00029695471157439694,-0.003754500996883392,-0.008452027603703633,-0.03477249824704963,0.003460951064926462,0.18509988901366337,0.559055381909431,1.0,0.05157781525276068,0.0005144287974012822
asset_turnover_t,-0.2217785813417492,-0.07595250175379882,-0.23625778029359232,-0.1058454157388655,0.08664921494335193,-0.08170900039144266,-0.05963013149334391,-0.0059371629618630364,-0.036188529660988726,-0.1467533743796578,-0.011790093146478584,0.039462163832448424,0.004424788031740929,0.03801044398463834,0.05157781525276068,1.0,-0.0010183157526385178
revenue_growth_1y,-0.02088769337055134,-0.0002481746749810944,-0.0016225381309322752,-0.004017389722414725,-1.0549117466803783e-06,1.7311034024336714e-05,-0.00012048978732593994,0.3924471548997117,0.0024342072314273815,-0.0016134662114846384,0.017405801381170108,-0.03389153386749668,-0.019384903742542675,0.0003472152187975882,0.0005144287974012822,-0.0010183157526385178,1.0
