cecha_1,log_assets_t,roa_t,ocf_to_assets_t,current_ratio_t,liabilities_to_assets_t,working_capital_to_assets_t,accruals_to_assets_t,asset_growth_1y,delta_roa_1y,delta_ocf_to_assets_1y,current_ratio_change_1y,delta_liabilities_to_assets_1y,log1p_revenues_t,profit_margin_t,ocf_margin_t,asset_turnover_t,revenue_growth_1y
log_assets_t,19666,19261,19376,19594,19637,19594,19229,17555,17107,17200,17472,17513,18172,18032,18150,18172,15888
roa_t,19261,19261,19229,19191,19233,19191,19229,17410,17107,17076,17328,17369,18033,18032,18011,18033,15771
ocf_to_assets_t,19376,19229,19376,19307,19349,19307,19229,17507,17081,17200,17425,17466,18151,18011,18150,18151,15871
current_ratio_t,19594,19191,19307,19596,19568,19594,19160,17490,17048,17141,17474,17449,18118,17978,18096,18116,15844
liabilities_to_assets_t,19637,19233,19349,19568,19637,19568,19202,17528,17080,17173,17446,17513,18147,18007,18125,18147,15865
working_capital_to_assets_t,19594,19191,19307,19594,19568,19594,19160,17490,17048,17141,17472,17449,18116,17976,18094,18116,15843
accruals_to_assets_t,19229,19229,19229,19160,19202,19160,19229,17382,17081,17076,17300,17341,18012,18011,18011,18012,15754
asset_growth_1y,17555,17410,17507,17490,17528,17490,17382,17555,17107,17200,17472,17513,16415,16296,16396,16415,15884
delta_roa_1y,17107,17107,17081,17048,17080,17048,17081,17107,17107,17071,17036,17067,16040,16039,16021,16040,15762
delta_ocf_to_assets_1y,17200,17076,17200,17141,17173,17141,17076,17200,17071,17200,17130,17160,16137,16019,16136,16137,15864
current_ratio_change_1y,17472,17328,17425,17474,17446,17472,17300,17472,17036,17130,17474,17433,16353,16234,16334,16351,15835
delta_liabilities_to_assets_1y,17513,17369,17466,17449,17513,17449,17341,17513,17067,17160,17433,17513,16378,16259,16359,16378,15849
log1p_revenues_t,18172,18033,18151,18118,18147,18116,18012,16415,16040,16137,16353,16378,18177,18037,18155,18172,15887
profit_margin_t,18032,18032,18011,17978,18007,17976,18011,16296,16039,16019,16234,16259,18037,18037,18016,18032,15770
ocf_margin_t,18150,18011,18150,18096,18125,18094,18011,16396,16021,16136,16334,16359,18155,18016,18155,18150,15870
asset_turnover_t,18172,18033,18151,18116,18147,18116,18012,16415,16040,16137,16351,16378,18172,18032,18150,18172,15883
revenue_growth_1y,15888,15771,15871,15844,15865,15843,15754,15884,15762,15864,15835,15849,15887,15770,15870,15883,15892
