cecha_1,cecha_2,r,abs_r,n_wspolnych_obserwacji
log_assets_t,roa_t,0.06477248651079638,0.06477248651079638,19261
log_assets_t,ocf_to_assets_t,0.12725557950211386,0.12725557950211386,19376
log_assets_t,current_ratio_t,-0.031212297761385985,0.031212297761385985,19594
log_assets_t,liabilities_to_assets_t,-0.06651179938559068,0.06651179938559068,19637
log_assets_t,working_capital_to_assets_t,0.06396398384290077,0.06396398384290077,19594
log_assets_t,accruals_to_assets_t,0.05743580970303203,0.05743580970303203,19229
log_assets_t,asset_growth_1y,-0.02253537914603191,0.02253537914603191,17555
log_assets_t,delta_roa_1y,-0.011501252316828135,0.011501252316828135,17107
log_assets_t,delta_ocf_to_assets_1y,-0.016767938180065955,0.016767938180065955,17200
log_assets_t,current_ratio_change_1y,-0.03169215986922626,0.03169215986922626,17472
log_assets_t,delta_liabilities_to_assets_1y,0.01597280881041599,0.01597280881041599,17513
log_assets_t,log1p_revenues_t,0.9345050543952121,0.9345050543952121,18172
log_assets_t,profit_margin_t,0.0806149135907071,0.0806149135907071,18032
log_assets_t,ocf_margin_t,0.06836045304487881,0.06836045304487881,18150
log_assets_t,asset_turnover_t,-0.2217785813417492,0.2217785813417492,18172
log_assets_t,revenue_growth_1y,-0.02088769337055134,0.02088769337055134,15888
roa_t,ocf_to_assets_t,0.6776094193852915,0.6776094193852915,19229
roa_t,current_ratio_t,0.00953448802931058,0.00953448802931058,19191
roa_t,liabilities_to_assets_t,-0.9663178048832554,0.9663178048832554,19233
roa_t,working_capital_to_assets_t,0.9672257239947317,0.9672257239947317,19191
roa_t,accruals_to_assets_t,0.9979184719700875,0.9979184719700875,19229
roa_t,asset_growth_1y,-5.454412632281318e-05,5.454412632281318e-05,17410
roa_t,delta_roa_1y,0.39922691695675977,0.39922691695675977,17107
roa_t,delta_ocf_to_assets_1y,0.3931437240054374,0.3931437240054374,17076
roa_t,current_ratio_change_1y,-3.730163072475568e-05,3.730163072475568e-05,17328
roa_t,delta_liabilities_to_assets_1y,-0.4014139718751195,0.4014139718751195,17369
roa_t,log1p_revenues_t,0.05171322118072264,0.05171322118072264,18033
roa_t,profit_margin_t,0.09149813386952577,0.09149813386952577,18032
roa_t,ocf_margin_t,0.013775440810953245,0.013775440810953245,18011
roa_t,asset_turnover_t,-0.07595250175379882,0.07595250175379882,18033
roa_t,revenue_growth_1y,-0.0002481746749810944,0.0002481746749810944,15771
ocf_to_assets_t,current_ratio_t,0.016736992623476225,0.016736992623476225,19307
ocf_to_assets_t,liabilities_to_assets_t,-0.6920823329818788,0.6920823329818788,19349
ocf_to_assets_t,working_capital_to_assets_t,0.6881691962562688,0.6881691962562688,19307
ocf_to_assets_t,accruals_to_assets_t,0.6287729437124485,0.6287729437124485,19229
ocf_to_assets_t,asset_growth_1y,-0.000765711859361516,0.000765711859361516,17507
ocf_to_assets_t,delta_roa_1y,0.26494399119690504,0.26494399119690504,17081
ocf_to_assets_t,delta_ocf_to_assets_1y,0.598164297343002,0.598164297343002,17200
ocf_to_assets_t,current_ratio_change_1y,-0.0005281863378514314,0.0005281863378514314,17425
ocf_to_assets_t,delta_liabilities_to_assets_1y,-0.27870393437930785,0.27870393437930785,17466
ocf_to_assets_t,log1p_revenues_t,0.10531066244950625,0.10531066244950625,18151
ocf_to_assets_t,profit_margin_t,0.06378140707106003,0.06378140707106003,18011
ocf_to_assets_t,ocf_margin_t,0.024566671438509026,0.024566671438509026,18150
ocf_to_assets_t,asset_turnover_t,-0.23625778029359232,0.23625778029359232,18151
ocf_to_assets_t,revenue_growth_1y,-0.0016225381309322752,0.0016225381309322752,15871
current_ratio_t,liabilities_to_assets_t,-0.01141863900040768,0.01141863900040768,19568
current_ratio_t,working_capital_to_assets_t,0.011256529274333434,0.011256529274333434,19594
current_ratio_t,accruals_to_assets_t,0.008629584265980438,0.008629584265980438,19160
current_ratio_t,asset_growth_1y,-0.0016292608654833076,0.0016292608654833076,17490
current_ratio_t,delta_roa_1y,-0.0024529759024172577,0.0024529759024172577,17048
