cecha,n_finite,n_unique,unique_pct,dominant_share,variance_ddof0,constant,near_zero_variance
log_assets_t,19666,19569,99.50676294111665,0.00010169836265636123,8.72106054690703,False,False
roa_t,19261,19247,99.92731426198017,0.00010383676859976117,6929.05366478296,False,False
ocf_to_assets_t,19376,19363,99.93290668868704,0.00010322047894302229,47.37631292047105,False,False
current_ratio_t,19596,19585,99.94386609512145,0.00010206164523372117,32.38135143989447,False,False
liabilities_to_assets_t,19637,19625,99.93889086927739,0.00015277282680653867,7555.365235795255,False,False
working_capital_to_assets_t,19594,19583,99.94386036541799,0.00010207206287639073,7553.935635751455,False,False
accruals_to_assets_t,19229,19217,99.9375942586718,0.00015601435332050548,6208.241293700284,False,False
asset_growth_1y,17555,17534,99.88037596126459,0.00011392765593847907,117173.74670865275,False,False
delta_roa_1y,17107,17097,99.94154439703046,0.00011691120593908926,47519.82193349185,False,False
delta_ocf_to_assets_1y,17200,17191,99.94767441860465,0.00011627906976744187,131.8036281742532,False,False
current_ratio_change_1y,17474,17465,99.94849490671855,0.00011445576284765938,48994.225882161714,False,False
delta_liabilities_to_assets_1y,17513,17502,99.93718951635928,0.00017130131902015646,48719.95719727965,False,False
log1p_revenues_t,18177,17976,98.89420696484568,0.0002200583154535952,9.825706790990694,False,False
profit_margin_t,18037,18027,99.94455840771747,0.0001108831845650607,28521.812608312517,False,False
ocf_margin_t,18155,18147,99.95593500413109,0.0001101624896722666,3677.0986621334905,False,False
asset_turnover_t,18172,18156,99.91195245432533,0.00011005943209333039,1.9189250651781824,False,False
revenue_growth_1y,15892,15825,99.57840422854267,0.0009438711301283665,92661.76870764326,False,False
