cecha,VIF,R2_pomocniczej_regresji,n,n_imputowanych_technicznie,imputowane_technicznie_pct,status
log_assets_t,6.112233284885243,0.8363936791364182,19671,5,0.025418128209038687,ok
roa_t,839174.349498532,0.9999988083525186,19671,410,2.0842865131411723,ok
ocf_to_assets_t,5773.943352309371,0.9998268081380466,19671,295,1.4996695643332825,ok
current_ratio_t,1.1775205575840573,0.15075792642489383,19671,75,0.3812719231355803,ok
liabilities_to_assets_t,1919.3275305529808,0.9994789841837407,19671,34,0.17284327182146306,ok
working_capital_to_assets_t,1931.8571786430098,0.9994823633904953,19671,77,0.3914391744191958,ok
accruals_to_assets_t,750624.8961728804,0.9999986677766683,19671,442,2.24696253367902,ok
asset_growth_1y,1.0678501302099668,0.06353900073657881,19671,2116,10.756951858065172,ok
delta_roa_1y,24.80237309954329,0.9596812774331496,19671,2564,13.034416145595038,ok
delta_ocf_to_assets_1y,2.1543384221926973,0.5358203754347033,19671,2471,12.561638960906919,ok
current_ratio_change_1y,1.2176954962359638,0.17877662922207194,19671,2197,11.168725535051598,ok
delta_liabilities_to_assets_1y,24.871552076290246,0.9597934219411547,19671,2158,10.970464135021096,ok
log1p_revenues_t,6.115131930903808,0.8364712304985051,19671,1494,7.594936708860759,ok
profit_margin_t,1.5872236181962178,0.36996905254192314,19671,1634,8.306644298713843,ok
ocf_margin_t,1.5470944628790657,0.35362705769171343,19671,1516,7.70677647298053,ok
asset_turnover_t,1.3808708455306078,0.27581931124359127,19671,1499,7.620354837069798,ok
revenue_growth_1y,1.0079540556322533,0.007891287889371101,19671,3779,19.21102130039144,ok
