cecha,blok,feature_year,n,n_finite,n_pominiete,median,P25,P75,missingness_pct
log_assets_t,L,2011,1907,1906,1,19.75233934824734,17.645177705389226,21.43824658427629,0.05243838489774515
log_assets_t,L,2012,2311,2311,0,19.560259016773724,17.503813060551266,21.246672490378053,0.0
log_assets_t,L,2013,2393,2392,1,19.63935353744121,17.51614016770639,21.300155772112486,0.041788549937317176
log_assets_t,L,2014,2300,2299,1,19.64684743188789,17.625336223724446,21.35743155132607,0.043478260869565216
log_assets_t,L,2015,2241,2240,1,19.698175753618575,17.604614233338193,21.424649260865735,0.04462293618920125
log_assets_t,L,2016,2133,2133,0,19.78540922415769,17.63728057441486,21.464837400500297,0.0
log_assets_t,L,2017,1549,1549,0,19.713016012138873,17.340399411968978,21.443534385597896,0.0
log_assets_t,L,2018,1511,1511,0,19.805967097202984,17.41976302366067,21.536952861282423,0.0
log_assets_t,L,2019,1638,1638,0,20.02833616912187,17.497101643648087,21.757643668172612,0.0
log_assets_t,L,2020,1688,1687,1,20.144389754625728,17.717911947675006,21.786439349075334,0.05924170616113744
roa_t,L,2011,1907,1892,15,0.03412988400092515,-0.06387361411715523,0.08357472645507998,0.7865757734661771
roa_t,L,2012,2311,2090,221,0.026781742165464903,-0.1005851543552444,0.07263805184720824,9.562959757680657
roa_t,L,2013,2393,2353,40,0.0231860569979676,-0.1176171510888907,0.0690350307639983,1.671541997492687
roa_t,L,2014,2300,2272,28,0.0213806419480177,-0.1385197890469916,0.06806595792311125,1.2173913043478262
roa_t,L,2015,2241,2222,19,0.0135027401640387,-0.17213048917999535,0.06647480674711362,0.8478357875948238
roa_t,L,2016,2133,2090,43,0.0101759271267915,-0.1844984848336531,0.060976736089193274,2.0159399906235347
roa_t,L,2017,1549,1536,13,0.0165781369556919,-0.14624727516626546,0.06865071176469412,0.8392511297611362
roa_t,L,2018,1511,1506,5,0.0207041078981881,-0.16952962322823084,0.07515529440052605,0.3309066843150232
roa_t,L,2019,1638,1619,19,0.0115025020106242,-0.17931456217186764,0.0619418933372464,1.15995115995116
roa_t,L,2020,1688,1681,7,-0.0052683966579865,-0.1882225084670874,0.0539895420482002,0.4146919431279621
ocf_to_assets_t,L,2011,1907,1898,9,0.069846561901116,-0.009847496759396274,0.12815462163271452,0.47194546407970633
ocf_to_assets_t,L,2012,2311,2102,209,0.0719726090820006,-0.01530269375671745,0.12710077334879885,9.043704024231934
ocf_to_assets_t,L,2013,2393,2372,21,0.07136836753783896,-0.022188328889001876,0.12235350594967798,0.8775595486836606
ocf_to_assets_t,L,2014,2300,2286,14,0.0683036224251602,-0.04515799022823595,0.1201579886872059,0.6086956521739131
ocf_to_assets_t,L,2015,2241,2226,15,0.0667674290426542,-0.04479564872619433,0.12201938600381715,0.6693440428380187
ocf_to_assets_t,L,2016,2133,2126,7,0.06879998043920835,-0.04734457147036113,0.11825476476024668,0.32817627754336615
ocf_to_assets_t,L,2017,1549,1545,4,0.0602393697693833,-0.0391224943559606,0.1129303027445062,0.25823111684958033
ocf_to_assets_t,L,2018,1511,1508,3,0.061109718251162154,-0.06921467553792128,0.11499723509906465,0.1985440105890139
ocf_to_assets_t,L,2019,1638,1630,8,0.060435373697483,-0.06636795526675335,0.11087530830471773,0.4884004884004884
ocf_to_assets_t,L,2020,1688,1683,5,0.0622460860168123,-0.0721236096970567,0.12113623911693716,0.2962085308056872
current_ratio_t,L,2011,1907,1898,9,1.9263323704141593,1.2209373719157608,3.112532044464972,0.47194546407970633
current_ratio_t,L,2012,2311,2296,15,1.9161262036344242,1.2039120395571414,3.204970154698345,0.6490696668109044
current_ratio_t,L,2013,2393,2383,10,1.965612679182224,1.2023208091495168,3.2697908973609406,0.41788549937317176
current_ratio_t,L,2014,2300,2288,12,1.9784050677001372,1.192642500140611,3.289859859622349,0.5217391304347827
current_ratio_t,L,2015,2241,2233,8,2.0102762077782264,1.1807410027411795,3.2587933101204407,0.35698348951361
current_ratio_t,L,2016,2133,2131,2,1.863279304913368,1.159310381132148,3.094009338340575,0.09376465072667604
current_ratio_t,L,2017,1549,1546,3,1.919260191291103,1.1748386214577735,3.0230454828063196,0.19367333763718528
current_ratio_t,L,2018,1511,1505,6,1.9185833867938384,1.1865069257187024,3.0170455605134445,0.3970880211780278
current_ratio_t,L,2019,1638,1632,6,1.787139243828642,1.107256136023857,2.9514106838233616,0.3663003663003663
current_ratio_t,L,2020,1688,1684,4,1.930742795645781,1.2202488263186528,3.2616962373871066,0.23696682464454977
liabilities_to_assets_t,L,2011,1907,1902,5,0.5084042460277022,0.3183000714753915,0.7127954934128623,0.26219192448872575
liabilities_to_assets_t,L,2012,2311,2307,4,0.5109786464706924,0.3220630921968482,0.726780579337587,0.17308524448290782
liabilities_to_assets_t,L,2013,2393,2389,4,0.5090814783576718,0.3163697941202682,0.7292357440982506,0.1671541997492687
liabilities_to_assets_t,L,2014,2300,2292,8,0.5258091394616178,0.31945733354120204,0.7418041834116491,0.34782608695652173
liabilities_to_assets_t,L,2015,2241,2237,4,0.5390995260663507,0.3310367726404914,0.7700807358783408,0.178491744756805
liabilities_to_assets_t,L,2016,2133,2132,1,0.5557562950411542,0.35202411400503025,0.7694793690660751,0.04688232536333802
liabilities_to_assets_t,L,2017,1549,1547,2,0.5517028191902776,0.34603374866842507,0.7497197582187431,0.12911555842479017
liabilities_to_assets_t,L,2018,1511,1508,3,0.5486893457127919,0.33528878880634017,0.740195035625022,0.1985440105890139
liabilities_to_assets_t,L,2019,1638,1637,1,0.5755825202465517,0.3816885163000515,0.776358731850273,0.06105006105006105
liabilities_to_assets_t,L,2020,1688,1686,2,0.5684920129017803,0.3697564188116872,0.7865156599619748,0.11848341232227488
working_capital_to_assets_t,L,2011,1907,1898,9,0.20562311995732396,0.04522527896447378,0.39954273479407215,0.47194546407970633
working_capital_to_assets_t,L,2012,2311,2296,15,0.21627798738778214,0.04773139222598378,0.409859772720467,0.6490696668109044
working_capital_to_assets_t,L,2013,2393,2383,10,0.2191071082703854,0.04698631960776605,0.41554718356075454,0.41788549937317176
working_capital_to_assets_t,L,2014,2300,2287,13,0.2237543539489587,0.0426740856368078,0.427092523468137,0.5652173913043479
working_capital_to_assets_t,L,2015,2241,2233,8,0.2079878777868343,0.0393466169549537,0.4094483391165472,0.35698348951361
working_capital_to_assets_t,L,2016,2133,2131,2,0.1946787997982296,0.034860799530789854,0.3870017475109382,0.09376465072667604
working_capital_to_assets_t,L,2017,1549,1546,3,0.20269283859758885,0.045914712510886274,0.3926230586600076,0.19367333763718528
working_capital_to_assets_t,L,2018,1511,1505,6,0.2056835871638881,0.044349070100143,0.3971795989057053,0.3970880211780278
working_capital_to_assets_t,L,2019,1638,1632,6,0.17212159055453766,0.027741584283955924,0.3613439182232086,0.3663003663003663
working_capital_to_assets_t,L,2020,1688,1683,5,0.1951261271544343,0.0508691025688804,0.38484719679323237,0.2962085308056872
accruals_to_assets_t,L,2011,1907,1888,19,-0.051155862571765756,-0.11196329494649093,-0.00970338837793435,0.9963293130571578
accruals_to_assets_t,L,2012,2311,2083,228,-0.0575839766325891,-0.12866669096460082,-0.017162972719405,9.865858935525747
accruals_to_assets_t,L,2013,2393,2348,45,-0.06147700998337005,-0.12956028295793068,-0.022662437656283323,1.880484747179273
accruals_to_assets_t,L,2014,2300,2271,29,-0.0593239575260502,-0.12141936662171265,-0.020670081577758098,1.2608695652173914
accruals_to_assets_t,L,2015,2241,2220,21,-0.06575588129062815,-0.14077703377812964,-0.025127122867759526,0.9370816599732262
accruals_to_assets_t,L,2016,2133,2084,49,-0.0680425157022587,-0.14428012656047345,-0.0327997899571311,2.297233942803563
accruals_to_assets_t,L,2017,1549,1534,15,-0.05590032034631995,-0.1266830947035883,-0.01894057539995575,0.9683666881859263
accruals_to_assets_t,L,2018,1511,1506,5,-0.0557271497059349,-0.1232950444151429,-0.015699353131359776,0.3309066843150232
accruals_to_assets_t,L,2019,1638,1617,21,-0.0576719576719575,-0.127374616584066,-0.0212330794693075,1.282051282051282
accruals_to_assets_t,L,2020,1688,1678,10,-0.07454837217479329,-0.14657737189440165,-0.0356554866995898,0.5924170616113744
asset_growth_1y,D,2011,1907,1902,5,0.06477769080302255,-0.02772929934942605,0.20525906579522374,0.26219192448872575
asset_growth_1y,D,2012,2311,1971,340,0.0508615056025758,-0.048423136143392054,0.18400734442829714,14.712245781047164
asset_growth_1y,D,2013,2393,2109,284,0.0533204794941095,-0.0408999180802813,0.206106769458232,11.867948182198077
asset_growth_1y,D,2014,2300,2031,269,0.0554585014432461,-0.04257193822146485,0.24387395997208422,11.695652173913043
asset_growth_1y,D,2015,2241,2003,238,0.0159760261083943,-0.08278966827300535,0.1700980427879228,10.620258813029897
asset_growth_1y,D,2016,2133,1875,258,0.0192445011351707,-0.0837831010853753,0.1381948194310347,12.09563994374121
asset_growth_1y,D,2017,1549,1401,148,0.0589090262287395,-0.030512990491712,0.2177766305283084,9.554551323434474
asset_growth_1y,D,2018,1511,1348,163,0.03116502753827415,-0.0513538355081734,0.19413643405883407,10.787557908669756
asset_growth_1y,D,2019,1638,1433,205,0.0591060758407356,-0.0448310996159572,0.2242165273460241,12.515262515262515
asset_growth_1y,D,2020,1688,1482,206,0.06517000734837325,-0.03674744854169685,0.2678377673227622,12.203791469194313
delta_roa_1y,D,2011,1907,1877,30,0.0031376276277012,-0.0363239575726402,0.0356637281401981,1.5731515469323543
delta_roa_1y,D,2012,2311,1943,368,-0.0056303219602992,-0.061426243310641754,0.024627187041674,15.92384249242752
delta_roa_1y,D,2013,2393,1961,432,-0.0011619762040785,-0.0417706067830055,0.0431305715434215,18.05265357292102
delta_roa_1y,D,2014,2300,1988,312,-0.0003457127847093,-0.052217041549951874,0.03890037511606152,13.56521739130435
delta_roa_1y,D,2015,2241,1958,283,-0.0008439089383109,-0.0504085567944803,0.04086690344820358,12.628290941543954
delta_roa_1y,D,2016,2133,1814,319,-0.0038753788710917505,-0.06384494744921354,0.032865831004485625,14.955461790904828
delta_roa_1y,D,2017,1549,1374,175,0.00095246160538975,-0.04627916614638278,0.053140960628575824,11.29761136216914
