cecha,blok,overall_IQR,range_rocznych_median,range_median_over_IQR,max_yoy_median_jump,max_yoy_jump_over_IQR,missingness_range_pp,silna_zmiana_rozkladu_flag,silna_zmiana_dostepnosci_flag,dowolna_flaga
log_assets_t,L,3.8971163730949954,0.5841307378520035,0.14988793813927118,0.22236907191888733,0.05705990035455041,0.05924170616113744,False,False,False
roa_t,L,0.2120708850810791,0.03939828065891165,0.18577882882814803,0.0167708986686107,0.07908157058994136,9.232053073365634,False,False,False
ocf_to_assets_t,L,0.1590326495249786,0.011733239312617293,0.07377880798479938,0.008560610669825046,0.05382926521940683,8.84516001364292,False,False,False
current_ratio_t,L,1.9735719096102207,0.22313696394958438,0.11306249489214396,0.14699690286485834,0.07448266878397664,0.5553050160842283,False,False,False
liabilities_to_assets_t,L,0.4151767337068731,0.06717827421884948,0.1618064519633687,0.026893174533759723,0.06477524473408255,0.3009437615931837,False,False,False
working_capital_to_assets_t,L,0.3576364024553177,0.05163276339442105,0.14437222564577143,0.03356199660935044,0.09384390509169045,0.5553050160842283,False,False,False
accruals_to_assets_t,L,0.10812247973060181,0.023392509603027536,0.21635195253856887,0.016876414502835793,0.1560860844561196,9.534952251210724,False,False,False
asset_growth_1y,D,0.25211917003929574,0.04919398123997895,0.19512193869395766,0.0396645250935688,0.1573245108152094,14.450053856558439,False,True,True
delta_roa_1y,D,0.09295811374697165,0.015856341589057903,0.17057512195458532,0.015856341589057903,0.17057512195458532,16.479502025988666,False,True,True
delta_ocf_to_assets_1y,D,0.0910859101170627,0.0161866728354326,0.17770775759532567,0.013021349554740099,0.14295679252702412,16.27218085611087,False,True,True
current_ratio_change_1y,D,0.3798043879484612,0.08899587347670751,0.2343202877602986,0.07311954037097146,0.19251894578135745,14.540635437048184,False,True,True
delta_liabilities_to_assets_1y,D,0.10825615314079,0.019594355966105502,0.18099992838857412,0.016672003598442252,0.15400513610307093,14.413385561450369,False,True,True
log1p_revenues_t,R,4.100440682089442,0.38312223777063537,0.0934344055857454,0.16869944573099716,0.04114178421550383,10.143054995138318,False,True,True
profit_margin_t,R,0.2450739901314487,0.036027057648102705,0.14700481935589782,0.0158411151816176,0.06463809224765552,9.666698022689218,False,False,False
ocf_margin_t,R,0.1745153832496233,0.019036544399130398,0.10908232870165324,0.014445939213237696,0.0827774545959339,10.085339627047146,False,True,True
asset_turnover_t,R,0.9016043427439466,0.19703814917523355,0.21854170375396237,0.13428841875977526,0.1489438464227904,10.143054995138318,False,True,True
revenue_growth_1y,R,0.24412355282183643,0.12570886351222324,0.51493951345189,0.05422971393670661,0.22214044204200134,17.315492157141605,False,True,True
