cecha,blok,n_finite,skewness,strong_skew_flag,n_outside_1_5_IQR,outside_1_5_IQR_pct,outlier_peak_years,n_zero,zero_pct,zero_peak_years,n_negative,negative_pct,negative_peak_years,n_pos_inf,n_neg_inf
log_assets_t,L,19666,-0.6301228244007877,False,275,1.3979970514971276,2014,0,0.0,—,0,0.0,—,0,0
roa_t,L,19261,-123.67038576663357,True,2918,14.834019622794978,2015,2,0.010167251283615474,"2011, 2012",8346,42.427939606527374,2015,0,0
ocf_to_assets_t,L,19376,-89.75732649120279,True,2785,14.157897412434547,2016,1,0.005083625641807737,2014,5775,29.357938081439684,2014,0,0
current_ratio_t,L,19596,26.29425381414237,True,1624,8.255808042295765,2015,0,0.0,—,0,0.0,—,0,0
liabilities_to_assets_t,L,19637,131.48176488124943,True,1588,8.072797519190686,2015,1,0.005083625641807737,2011,0,0.0,—,0,0
working_capital_to_assets_t,L,19594,-131.7811965375517,True,1420,7.218748411366987,2015,1,0.005083625641807737,2014,3759,19.109348787555284,2013,0,0
accruals_to_assets_t,L,19229,-124.34822379645891,True,2867,14.574754715062783,2015,3,0.015250876925423214,2013,16218,82.4462406588379,2013,0,0
asset_growth_1y,D,17555,75.07405211788394,True,2656,13.502109704641349,2014,2,0.010167251283615474,"2018, 2020",6487,32.97747953840679,2015,0,0
delta_roa_1y,D,17107,67.35470590570176,True,4084,20.7615271211428,2013,2,0.010167251283615474,"2011, 2012",8790,44.68506939149001,2012,0,0
delta_ocf_to_assets_1y,D,17200,8.374792497308366,True,3126,15.891413756290987,2014,0,0.0,—,8653,43.98861267856235,2014,0,0
current_ratio_change_1y,D,17474,73.31806982946216,True,2100,10.67561384779625,2014,0,0.0,—,9130,46.41350210970464,2015,0,0
delta_liabilities_to_assets_1y,D,17513,-61.25629600893114,True,3270,16.623455848711302,2014,3,0.015250876925423214,"2011, 2012, 2014",8092,41.13669869350821,2013,0,0
log1p_revenues_t,R,18177,-0.7689422801234346,False,317,1.6115093284530528,2017,1,0.005083625641807737,2018,0,0.0,—,0,0
profit_margin_t,R,18037,-60.2748270751756,True,3232,16.430278074322608,2015,2,0.010167251283615474,"2011, 2012",7676,39.02191042651619,2015,0,0
ocf_margin_t,R,18155,-37.14965670925208,True,3351,17.03522952569773,2015,1,0.005083625641807737,2014,5312,27.004219409282697,2015,0,0
asset_turnover_t,R,18172,12.718334482285108,True,979,4.976869503329775,2014,1,0.005083625641807737,2018,0,0.0,—,0,0
revenue_growth_1y,R,15892,112.92192285382436,True,2206,11.214478165827868,2015,15,0.07625438462711606,"2013, 2016, 2018",5186,26.363682578414927,2015,0,0
