family,family_label,configuration_id,feature_block,fold_id,year,n,positive_n,positive_share,pr_auc,roc_auc,runtime_seconds,status,identity
dummy_prior,Dummy (prior),model_stage_v1__coarse__dummy_prior__001,BLOCK_AGNOSTIC,fold_2015,2015,2241,506,0.22579205711735834,0.22579205711735834,0.5,2.2586359170381911,COMPLETE,dummy_prior|BLOCK_AGNOSTIC|model_stage_v1__coarse__dummy_prior__001|seed=20260818
dummy_prior,Dummy (prior),model_stage_v1__coarse__dummy_prior__001,BLOCK_AGNOSTIC,fold_2016,2016,2133,351,0.16455696202531644,0.16455696202531644,0.5,1.7061182920006104,COMPLETE,dummy_prior|BLOCK_AGNOSTIC|model_stage_v1__coarse__dummy_prior__001|seed=20260818
dummy_prior,Dummy (prior),model_stage_v1__coarse__dummy_prior__001,BLOCK_AGNOSTIC,fold_2017,2017,1549,257,0.16591349257585539,0.16591349257585539,0.5,1.7053719999967143,COMPLETE,dummy_prior|BLOCK_AGNOSTIC|model_stage_v1__coarse__dummy_prior__001|seed=20260818
dummy_prior,Dummy (prior),model_stage_v1__coarse__dummy_prior__001,BLOCK_AGNOSTIC,fold_2018,2018,1511,327,0.21641297154202516,0.21641297154202516,0.5,1.7345419159973972,COMPLETE,dummy_prior|BLOCK_AGNOSTIC|model_stage_v1__coarse__dummy_prior__001|seed=20260818
dummy_prior,Dummy (prior),model_stage_v1__coarse__dummy_prior__001,BLOCK_AGNOSTIC,fold_2019,2019,1638,326,0.19902319902319901,0.19902319902319901,0.5,1.7116255409782752,COMPLETE,dummy_prior|BLOCK_AGNOSTIC|model_stage_v1__coarse__dummy_prior__001|seed=20260818
dummy_prior,Dummy (prior),model_stage_v1__coarse__dummy_prior__001,BLOCK_AGNOSTIC,fold_2020,2020,1688,219,0.12973933649289099,0.12973933649289099,0.5,2.0886628340231255,COMPLETE,dummy_prior|BLOCK_AGNOSTIC|model_stage_v1__coarse__dummy_prior__001|seed=20260818
fixed_l2_logistic,Regresja logistyczna fixed L2,model_stage_v1__coarse__fixed_l2_logistic__002,L+D+R,fold_2015,2015,2241,506,0.22579205711735834,0.46596792138931786,0.75953229829937008,1.8374144170084037,COMPLETE,fixed_l2_logistic|L+D+R|model_stage_v1__coarse__fixed_l2_logistic__002|seed=20260818
fixed_l2_logistic,Regresja logistyczna fixed L2,model_stage_v1__coarse__fixed_l2_logistic__002,L+D+R,fold_2016,2016,2133,351,0.16455696202531644,0.37980212088451781,0.77154898142552464,1.8391159170423634,COMPLETE,fixed_l2_logistic|L+D+R|model_stage_v1__coarse__fixed_l2_logistic__002|seed=20260818
fixed_l2_logistic,Regresja logistyczna fixed L2,model_stage_v1__coarse__fixed_l2_logistic__002,L+D+R,fold_2017,2017,1549,257,0.16591349257585539,0.40765992552565317,0.77968883641926978,1.846686500008218,COMPLETE,fixed_l2_logistic|L+D+R|model_stage_v1__coarse__fixed_l2_logistic__002|seed=20260818
fixed_l2_logistic,Regresja logistyczna fixed L2,model_stage_v1__coarse__fixed_l2_logistic__002,L+D+R,fold_2018,2018,1511,327,0.21641297154202516,0.38551459830979856,0.69415602529134646,1.8996267910115421,COMPLETE,fixed_l2_logistic|L+D+R|model_stage_v1__coarse__fixed_l2_logistic__002|seed=20260818
fixed_l2_logistic,Regresja logistyczna fixed L2,model_stage_v1__coarse__fixed_l2_logistic__002,L+D+R,fold_2019,2019,1638,326,0.19902319902319901,0.32720323886586145,0.65896444336375881,1.9135400420054793,COMPLETE,fixed_l2_logistic|L+D+R|model_stage_v1__coarse__fixed_l2_logistic__002|seed=20260818
fixed_l2_logistic,Regresja logistyczna fixed L2,model_stage_v1__coarse__fixed_l2_logistic__002,L+D+R,fold_2020,2020,1688,219,0.12973933649289099,0.32935847526164169,0.78943523845936259,1.9665508749894798,COMPLETE,fixed_l2_logistic|L+D+R|model_stage_v1__coarse__fixed_l2_logistic__002|seed=20260818
elastic_net_logistic,Regresja logistyczna Elastic Net,model_stage_v1__coarse__elastic_net_logistic__003,L+D+R,fold_2015,2015,2241,506,0.22579205711735834,0.46540238814521401,0.75848549395723941,1.7684193329769187,COMPLETE,elastic_net_logistic|L+D+R|model_stage_v1__coarse__elastic_net_logistic__003|seed=20260818
elastic_net_logistic,Regresja logistyczna Elastic Net,model_stage_v1__coarse__elastic_net_logistic__003,L+D+R,fold_2016,2016,2133,351,0.16455696202531644,0.39681098467633763,0.77548194832145445,1.8208947500097565,COMPLETE,elastic_net_logistic|L+D+R|model_stage_v1__coarse__elastic_net_logistic__003|seed=20260818
elastic_net_logistic,Regresja logistyczna Elastic Net,model_stage_v1__coarse__elastic_net_logistic__003,L+D+R,fold_2017,2017,1549,257,0.16591349257585539,0.40161373232553443,0.78219452843599047,1.8580765420338139,COMPLETE,elastic_net_logistic|L+D+R|model_stage_v1__coarse__elastic_net_logistic__003|seed=20260818
elastic_net_logistic,Regresja logistyczna Elastic Net,model_stage_v1__coarse__elastic_net_logistic__003,L+D+R,fold_2018,2018,1511,327,0.21641297154202516,0.38664218089855529,0.69840224398710626,2.0081845829845406,COMPLETE,elastic_net_logistic|L+D+R|model_stage_v1__coarse__elastic_net_logistic__003|seed=20260818
elastic_net_logistic,Regresja logistyczna Elastic Net,model_stage_v1__coarse__elastic_net_logistic__003,L+D+R,fold_2019,2019,1638,326,0.19902319902319901,0.32763739109860412,0.66057066437228795,1.9086818749783561,COMPLETE,elastic_net_logistic|L+D+R|model_stage_v1__coarse__elastic_net_logistic__003|seed=20260818
elastic_net_logistic,Regresja logistyczna Elastic Net,model_stage_v1__coarse__elastic_net_logistic__003,L+D+R,fold_2020,2020,1688,219,0.12973933649289099,0.31836519333034929,0.78706976136967643,1.9292423329898156,COMPLETE,elastic_net_logistic|L+D+R|model_stage_v1__coarse__elastic_net_logistic__003|seed=20260818
rbf_svm,SVM RBF,model_stage_v1__coarse__rbf_svm__004,L+D+R,fold_2015,2015,2241,506,0.22579205711735834,0.51277614215668099,0.77857297445068419,3.1663432919885963,COMPLETE,rbf_svm|L+D+R|model_stage_v1__coarse__rbf_svm__004|seed=20260818
