rank,family,family_label,configuration_id,model_configuration,feature_block,parameters_display,training_seed,status,failure_code,convergence_status,pooled_oof_n,pooled_oof_positive_n,pooled_oof_positive_share,pooled_oof_pr_auc,pooled_oof_roc_auc,fold_pr_auc_mean,fold_pr_auc_sample_sd,runtime_seconds,delta_pr_auc_vs_dummy,delta_pr_auc_vs_fixed_l2,identity
1,xgboost,XGBoost,model_stage_v1__coarse__xgboost__004,XGBoost | model_stage_v1__coarse__xgboost__004,L+D+R,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""imbalance"": ""sqrt"", ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 20, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.41167748793642267,0.75948605132209945,0.41369081989469153,0.069915636428580757,12.890178165922407,0.23939433701361226,0.030022636007925541,xgboost|L+D+R|model_stage_v1__coarse__xgboost__004|seed=20260818
2,xgboost,XGBoost,model_stage_v1__coarse__xgboost__009,XGBoost | model_stage_v1__coarse__xgboost__009,L+D+R,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""imbalance"": ""sqrt"", ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.41088882686826944,0.75935887891786846,0.41637459440888697,0.065732859599848578,12.077202581975143,0.23860567594545903,0.029233974939772311,xgboost|L+D+R|model_stage_v1__coarse__xgboost__009|seed=20260818
3,xgboost,XGBoost,model_stage_v1__coarse__xgboost__005,XGBoost | model_stage_v1__coarse__xgboost__005,L+D+R,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""imbalance"": ""sqrt"", ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 20.0, ""subsample"": 0.7}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.41000944016263041,0.75740822295847554,0.41470869441061037,0.064290595459756211,14.630294749920722,0.23772628923982,0.028354588234133282,xgboost|L+D+R|model_stage_v1__coarse__xgboost__005|seed=20260818
4,hist_gradient_boosting,HistGradientBoosting,model_stage_v1__coarse__hist_gradient_boosting__007,HistGradientBoosting | model_stage_v1__coarse__hist_gradient_boosting__007,L+D+R,"{""imbalance"": ""none"", ""l2_regularization"": 1.0, ""learning_rate"": 0.06, ""max_features"": 1.0, ""max_iter"": 300, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 50}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.40781029540397229,0.7587946661506314,0.4142313063022775,0.055244708151802317,15.642676666029729,0.23552714448116188,0.02615544347547516,hist_gradient_boosting|L+D+R|model_stage_v1__coarse__hist_gradient_boosting__007|seed=20260818
5,random_forest,Random Forest,model_stage_v1__coarse__random_forest__003,Random Forest | model_stage_v1__coarse__random_forest__003,L+D+R,"{""criterion"": ""gini"", ""imbalance"": ""none"", ""max_depth"": 6, ""max_features"": 0.5, ""max_samples"": 1.0, ""min_samples_leaf"": 5}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.40739113699510365,0.75869960248293788,0.41155903399040739,0.073718022566431812,171.73377895896556,0.23510798607229325,0.025736285066606523,random_forest|L+D+R|model_stage_v1__coarse__random_forest__003|seed=20260818
6,hist_gradient_boosting,HistGradientBoosting,model_stage_v1__coarse__hist_gradient_boosting__010,HistGradientBoosting | model_stage_v1__coarse__hist_gradient_boosting__010,L+D+R,"{""imbalance"": ""none"", ""l2_regularization"": 10.0, ""learning_rate"": 0.03, ""max_features"": 0.7, ""max_iter"": 300, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.4061211457533776,0.75869067860709949,0.41271561284906522,0.061757486172575635,18.216979916964192,0.23383799483056719,0.02446629382488047,hist_gradient_boosting|L+D+R|model_stage_v1__coarse__hist_gradient_boosting__010|seed=20260818
7,hist_gradient_boosting,HistGradientBoosting,model_stage_v1__coarse__hist_gradient_boosting__004,HistGradientBoosting | model_stage_v1__coarse__hist_gradient_boosting__004,L+D+R,"{""imbalance"": ""none"", ""l2_regularization"": 0.1, ""learning_rate"": 0.1, ""max_features"": 0.7, ""max_iter"": 150, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.4058562788042942,0.75734713314606406,0.41370602546725782,0.058433938304457728,13.156917708052788,0.23357312788148379,0.024201426875797072,hist_gradient_boosting|L+D+R|model_stage_v1__coarse__hist_gradient_boosting__004|seed=20260818
8,hist_gradient_boosting,HistGradientBoosting,model_stage_v1__coarse__hist_gradient_boosting__005,HistGradientBoosting | model_stage_v1__coarse__hist_gradient_boosting__005,L+D+R,"{""imbalance"": ""none"", ""l2_regularization"": 1.0, ""learning_rate"": 0.06, ""max_features"": 0.7, ""max_iter"": 150, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 50}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.4058412656683229,0.75894720416978578,0.41229126174605524,0.061518253761657343,13.350651208078489,0.2335581147455125,0.024186413739825774,hist_gradient_boosting|L+D+R|model_stage_v1__coarse__hist_gradient_boosting__005|seed=20260818
9,xgboost,XGBoost,model_stage_v1__coarse__xgboost__009,XGBoost | model_stage_v1__coarse__xgboost__009,L+D,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""imbalance"": ""sqrt"", ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.40571422642366489,0.75686466996809898,0.41228631593172566,0.06207027073576929,11.674923500977457,0.23343107550085448,0.024059374495167762,xgboost|L+D|model_stage_v1__coarse__xgboost__009|seed=20260818
10,hist_gradient_boosting,HistGradientBoosting,model_stage_v1__coarse__hist_gradient_boosting__016,HistGradientBoosting | model_stage_v1__coarse__hist_gradient_boosting__016,L+D+R,"{""imbalance"": ""sqrt"", ""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_features"": 0.7, ""max_iter"": 300, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.40498190811122081,0.75598637120431134,0.41072452441920709,0.060756824427870559,18.045816416968592,0.2326987571884104,0.023327056182723682,hist_gradient_boosting|L+D+R|model_stage_v1__coarse__hist_gradient_boosting__016|seed=20260818
