family,feature_block,status,configurations,missing_pr_auc,missing_runtime
dummy_prior,BLOCK_AGNOSTIC,COMPLETE,1,0,0
fixed_l2_logistic,L,COMPLETE,2,0,0
fixed_l2_logistic,L+D,COMPLETE,2,0,0
fixed_l2_logistic,L+D+R,COMPLETE,2,0,0
elastic_net_logistic,L,COMPLETE,12,0,0
elastic_net_logistic,L+D,COMPLETE,12,0,0
elastic_net_logistic,L+D+R,COMPLETE,12,0,0
rbf_svm,L,COMPLETE,9,0,0
rbf_svm,L,FAMILY_CANDIDATE_TECHNICALLY_INVALID,3,3,0
rbf_svm,L+D,COMPLETE,9,0,0
rbf_svm,L+D,FAMILY_CANDIDATE_TECHNICALLY_INVALID,3,3,0
rbf_svm,L+D+R,COMPLETE,9,0,0
rbf_svm,L+D+R,FAMILY_CANDIDATE_TECHNICALLY_INVALID,3,3,0
hist_gradient_boosting,L,COMPLETE,16,0,0
hist_gradient_boosting,L+D,COMPLETE,16,0,0
hist_gradient_boosting,L+D+R,COMPLETE,16,0,0
xgboost,L,COMPLETE,16,0,0
xgboost,L+D,COMPLETE,16,0,0
xgboost,L+D+R,COMPLETE,16,0,0
random_forest,L,COMPLETE,12,0,0
random_forest,L+D,COMPLETE,12,0,0
random_forest,L+D+R,COMPLETE,12,0,0
pytorch_mlp,L,COMPLETE,12,0,0
pytorch_mlp,L+D,COMPLETE,12,0,0
pytorch_mlp,L+D+R,COMPLETE,12,0,0
