report_role,model_label,family,feature_block,configuration_id,software_environment_role,seed_count_with_runtime,folds_per_seed,worker_runtime_seconds_median,worker_runtime_seconds_min,worker_runtime_seconds_max,worker_runtime_minutes_median,worker_runtime_hours_median,runtime_multiple_vs_xgboost_median,pooled_oof_pr_auc_for_plot,performance_basis,runtime_basis,controlled_hardware_benchmark,comparability_note
PRIMARY_FAMILY_REPRESENTATIVE,Logistic Elastic Net,elastic_net_logistic,L+D+R,model_stage_v1__coarse__elastic_net_logistic__003,classical,3,6,6.862730667926371,6.8278093750122935,11.293499415973201,0.11437884446543951,0.001906314074423992,0.8663082284922028,0.38182578577644466,RAW_SCORE_AVERAGED_ENSEMBLE,SUM_OF_RECORDED_WORKER_ATTEMPT_SECONDS_ACROSS_SIX_TEMPORAL_FOLDS,False,"Recorded development worker runtime; environments and execution dates differ. Use descriptively, not as a controlled hardware benchmark."
PRIMARY_FAMILY_REPRESENTATIVE,XGBoost,xgboost,L+D+R,model_stage_v1__coarse__xgboost__004,classical,3,6,7.921811708831228,7.874628623947501,12.890178165922407,0.13203019514718714,0.002200503252453119,1.0,0.41308893399384633,RAW_SCORE_AVERAGED_ENSEMBLE,SUM_OF_RECORDED_WORKER_ATTEMPT_SECONDS_ACROSS_SIX_TEMPORAL_FOLDS,False,"Recorded development worker runtime; environments and execution dates differ. Use descriptively, not as a controlled hardware benchmark."
PRIMARY_FAMILY_REPRESENTATIVE,HistGradientBoosting,hist_gradient_boosting,L+D+R,model_stage_v1__coarse__hist_gradient_boosting__007,classical,3,6,9.537166250986047,9.500101249781437,15.642676666029729,0.15895277084976744,0.0026492128474961242,1.203912261680497,0.4078102954039723,RAW_SCORE_AVERAGED_ENSEMBLE,SUM_OF_RECORDED_WORKER_ATTEMPT_SECONDS_ACROSS_SIX_TEMPORAL_FOLDS,False,"Recorded development worker runtime; environments and execution dates differ. Use descriptively, not as a controlled hardware benchmark."
PRIMARY_FAMILY_REPRESENTATIVE,Dummy prior,dummy_prior,BLOCK_AGNOSTIC,model_stage_v1__coarse__dummy_prior__001,classical,1,6,11.204956500034314,11.204956500034314,11.204956500034314,0.1867492750005719,0.003112487916676198,1.414443679284,0.1722831509228104,SINGLE_DETERMINISTIC_RUN,SUM_OF_RECORDED_WORKER_ATTEMPT_SECONDS_ACROSS_SIX_TEMPORAL_FOLDS,False,"Recorded development worker runtime; environments and execution dates differ. Use descriptively, not as a controlled hardware benchmark."
PRIMARY_FAMILY_REPRESENTATIVE,Logistic fixed L2,fixed_l2_logistic,L+D+R,model_stage_v1__coarse__fixed_l2_logistic__002,classical,1,6,11.302934542065486,11.302934542065486,11.302934542065486,0.1883822423677581,0.003139704039462635,1.4268118149620983,0.38165485192849713,SINGLE_DETERMINISTIC_RUN,SUM_OF_RECORDED_WORKER_ATTEMPT_SECONDS_ACROSS_SIX_TEMPORAL_FOLDS,False,"Recorded development worker runtime; environments and execution dates differ. Use descriptively, not as a controlled hardware benchmark."
SECONDARY_TITLE_ALIGNED_NEURAL_COMPARATOR,MLP (title-aligned comparator),pytorch_mlp,L+D,model_stage_v1__coarse__pytorch_mlp__epochs_200__003,qnn_mlp,3,6,26.04315662314184,25.906784665887244,46.51813670893898,0.4340526103856973,0.0072342101730949555,3.287525326322633,0.39626323334082664,RAW_SCORE_AVERAGED_ENSEMBLE,SUM_OF_RECORDED_WORKER_ATTEMPT_SECONDS_ACROSS_SIX_TEMPORAL_FOLDS,False,"Recorded development worker runtime; environments and execution dates differ. Use descriptively, not as a controlled hardware benchmark."
PRIMARY_FAMILY_REPRESENTATIVE,MLP,pytorch_mlp,L+D+R,model_stage_v1__coarse__pytorch_mlp__epochs_200__003,qnn_mlp,3,6,26.85944545699749,26.703275126055814,44.91213687608251,0.4476574242832915,0.007460957071388192,3.3905685270270443,0.3970885127758261,RAW_SCORE_AVERAGED_ENSEMBLE,SUM_OF_RECORDED_WORKER_ATTEMPT_SECONDS_ACROSS_SIX_TEMPORAL_FOLDS,False,"Recorded development worker runtime; environments and execution dates differ. Use descriptively, not as a controlled hardware benchmark."
PRIMARY_FAMILY_REPRESENTATIVE,SVM RBF,rbf_svm,L+D+R,model_stage_v1__coarse__rbf_svm__004,classical,1,6,37.02831274998607,37.02831274998607,37.02831274998607,0.6171385458331012,0.010285642430551686,4.674222780214145,0.3935576792324612,SINGLE_DETERMINISTIC_RUN,SUM_OF_RECORDED_WORKER_ATTEMPT_SECONDS_ACROSS_SIX_TEMPORAL_FOLDS,False,"Recorded development worker runtime; environments and execution dates differ. Use descriptively, not as a controlled hardware benchmark."
PRIMARY_FAMILY_REPRESENTATIVE,Random Forest,random_forest,L+D+R,model_stage_v1__coarse__random_forest__003,classical,3,6,102.53304920799565,100.46507808484603,171.73377895896556,1.7088841534665942,0.028481402557776567,12.943131315995796,0.4066369584050779,RAW_SCORE_AVERAGED_ENSEMBLE,SUM_OF_RECORDED_WORKER_ATTEMPT_SECONDS_ACROSS_SIX_TEMPORAL_FOLDS,False,"Recorded development worker runtime; environments and execution dates differ. Use descriptively, not as a controlled hardware benchmark."
PRIMARY_FAMILY_REPRESENTATIVE,QNN,qnn,L+D+R,model_stage_v1__qnn_q2__t0,qnn_mlp,3,6,6282.415912835044,6152.41422741604,6560.381033124984,104.70693188058407,1.7451155313430677,793.0529206887627,0.38394764812793286,RAW_SCORE_AVERAGED_ENSEMBLE,SUM_OF_RECORDED_WORKER_ATTEMPT_SECONDS_ACROSS_SIX_TEMPORAL_FOLDS,False,"Recorded development worker runtime; environments and execution dates differ. Use descriptively, not as a controlled hardware benchmark."
