Rola,Model,Blok cech,AP,Mediana czasu / 6 foldów,Zakres czasu,Mnożnik vs XGBoost,Status benchmarku
główna,Regresja logistyczna Elastic Net,L+D+R,0.3818,6.86 s,6.83 s–11.29 s,0.9×,"opisowy, niekontrolowany"
główna,XGBoost,L+D+R,0.4131,7.92 s,7.87 s–12.89 s,1.0×,"opisowy, niekontrolowany"
główna,HistGradientBoosting,L+D+R,0.4078,9.54 s,9.50 s–15.64 s,1.2×,"opisowy, niekontrolowany"
główna,Dummy prior,BLOCK_AGNOSTIC,0.1723,11.20 s,11.20 s,1.4×,"opisowy, niekontrolowany"
główna,Regresja logistyczna fixed L2,L+D+R,0.3817,11.30 s,11.30 s,1.4×,"opisowy, niekontrolowany"
porównanie tytułowe,MLP (porównanie tytułowe),L+D,0.3963,26.04 s,25.91 s–46.52 s,3.3×,"opisowy, niekontrolowany"
główna,MLP,L+D+R,0.3971,26.86 s,26.70 s–44.91 s,3.4×,"opisowy, niekontrolowany"
główna,SVM RBF,L+D+R,0.3936,37.03 s,37.03 s,4.7×,"opisowy, niekontrolowany"
główna,Random Forest,L+D+R,0.4066,1.71 min,1.67 min–2.86 min,12.9×,"opisowy, niekontrolowany"
główna,QNN,L+D+R,0.3839,1.75 h,1.71 h–1.82 h,793.1×,"opisowy, niekontrolowany"
