position,feature,block,passed_to_pca
1,log_assets_t,L,True
2,roa_t,L,True
3,ocf_to_assets_t,L,True
4,current_ratio_t,L,True
5,liabilities_to_assets_t,L,True
6,working_capital_to_assets_t,L,True
7,accruals_to_assets_t,L,True
8,asset_growth_1y,D,True
9,delta_roa_1y,D,True
10,delta_ocf_to_assets_1y,D,True
11,current_ratio_change_1y,D,True
12,delta_liabilities_to_assets_1y,D,True
13,log1p_revenues_t,R,True
14,profit_margin_t,R,True
15,ocf_margin_t,R,True
16,asset_turnover_t,R,True
17,revenue_growth_1y,R,True
