feature,blok,raw_missing_n,after_imputation_missing_n,scaled_mean,scaled_population_std,mean_ok,std_ok
log_assets_t,L,5,0,-5.136453511518796e-16,1.0,True,True
roa_t,L,410,0,2.6007359551993905e-17,0.9999999999999999,True,True
ocf_to_assets_t,L,295,0,-1.1558826467552847e-17,1.0000000000000002,True,True
current_ratio_t,L,75,0,-9.752759831997715e-17,0.9999999999999998,True,True
liabilities_to_assets_t,L,34,0,-6.357354557154066e-17,1.0,True,True
working_capital_to_assets_t,L,77,0,-8.669119850664636e-18,1.0,True,True
accruals_to_assets_t,L,442,0,1.7338239701329272e-17,0.9999999999999999,True,True
asset_growth_1y,D,2116,0,-1.3003679775996953e-17,1.0,True,True
delta_roa_1y,D,2564,0,-1.0113973159108742e-17,1.0,True,True
delta_ocf_to_assets_1y,D,2471,0,-1.3003679775996953e-17,1.0,True,True
current_ratio_change_1y,D,2197,0,0.0,1.0,True,True
delta_liabilities_to_assets_1y,D,2158,0,5.056986579554371e-18,1.0,True,True
log1p_revenues_t,R,1494,0,0.0,0.9999999999999998,True,True
profit_margin_t,R,1634,0,1.7338239701329272e-17,1.0,True,True
ocf_margin_t,R,1516,0,2.3117652935105693e-17,0.9999999999999999,True,True
asset_turnover_t,R,1499,0,1.2714709114308133e-16,1.0,True,True
revenue_growth_1y,R,3779,0,-1.8783093009773378e-17,0.9999999999999998,True,True
