Component,Explained variance,Explained variance ratio,Explained variance [%],Cumulative explained variance,Cumulative explained variance [%]
PC1,5.301616633180761,0.31184394816695093,31.184394816695093,0.31184394816695093,31.184394816695093
PC2,3.0048428784090255,0.17674647784976247,17.674647784976248,0.48859042601671343,48.85904260167134
PC3,1.8821443753498461,0.11070874671622145,11.070874671622146,0.5992991727329349,59.92991727329348
PC4,1.1913970250408474,0.07007861522801097,7.007861522801097,0.6693777879609458,66.93777879609458
PC5,1.002759567862848,0.05898285831296061,5.898285831296061,0.7283606462739064,72.83606462739064
PC6,0.9093205083625557,0.053486722465413306,5.34867224654133,0.7818473687393197,78.18473687393197
PC7,0.7613129033141953,0.04478083535389576,4.478083535389576,0.8266282040932155,82.66282040932154
PC8,0.7007582309343928,0.041218976882898696,4.121897688289869,0.8678471809761141,86.78471809761142
PC9,0.5686671398959443,0.03344930770514141,3.3449307705141407,0.9012964886812556,90.12964886812556
PC10,0.46090722638931864,0.027110811505374876,2.7110811505374874,0.9284073001866304,92.84073001866304
PC11,0.45111950762460457,0.026535092611625864,2.6535092611625863,0.9549423927982563,95.49423927982563
PC12,0.3481999066992152,0.020481306207027847,2.0481306207027847,0.9754236990052841,97.54236990052841
PC13,0.22607775087669343,0.013298015172363495,1.3298015172363495,0.9887217141776476,98.87217141776476
PC14,0.06667835478772664,0.00392205677116383,0.392205677116383,0.9926437709488115,99.26437709488116
PC15,0.05923805559928788,0.0034844143622531597,0.348441436225316,0.9961281853110646,99.61281853110646
PC16,0.0542727577717869,0.0031923528675268406,0.31923528675268403,0.9993205381785915,99.93205381785914
PC17,0.01155143819581646,0.0006794618214083728,0.06794618214083728,0.9999999999999998,99.99999999999997
