Wariant,Feature,Block,Feature reconstruction MSE
PCA-4,log_assets_t,L,0.17251696765897892
PCA-4,roa_t,L,0.11943541675704195
PCA-4,ocf_to_assets_t,L,0.2650996964531478
PCA-4,current_ratio_t,L,0.5876962087134292
PCA-4,liabilities_to_assets_t,L,0.16307210495713756
PCA-4,working_capital_to_assets_t,L,0.16197497504206598
PCA-4,accruals_to_assets_t,L,0.207879685127389
PCA-4,asset_growth_1y,D,0.42090969993283656
PCA-4,delta_roa_1y,D,0.40243140069022304
PCA-4,delta_ocf_to_assets_1y,D,0.3911251717366005
PCA-4,current_ratio_change_1y,D,0.5273448964669905
PCA-4,delta_liabilities_to_assets_1y,D,0.3647354970533825
PCA-4,log1p_revenues_t,R,0.15574069230764018
PCA-4,profit_margin_t,R,0.11188589576652619
PCA-4,ocf_margin_t,R,0.1334446953462548
PCA-4,asset_turnover_t,R,0.6659612693245018
PCA-4,revenue_growth_1y,R,0.7693233313297767
PCA-6,log_assets_t,L,0.06123904146397927
PCA-6,roa_t,L,0.08666756653760875
PCA-6,ocf_to_assets_t,L,0.26192600638285474
PCA-6,current_ratio_t,L,0.2736956214860266
PCA-6,liabilities_to_assets_t,L,0.15359056689375333
PCA-6,working_capital_to_assets_t,L,0.15555198453118893
PCA-6,accruals_to_assets_t,L,0.16465556937663436
PCA-6,asset_growth_1y,D,0.3723062028381658
PCA-6,delta_roa_1y,D,0.3452117029278339
PCA-6,delta_ocf_to_assets_1y,D,0.3842398492012071
PCA-6,current_ratio_change_1y,D,0.3490613086234885
PCA-6,delta_liabilities_to_assets_1y,D,0.33816841158589267
PCA-6,log1p_revenues_t,R,0.09660217243271273
PCA-6,profit_margin_t,R,0.07753958858311917
PCA-6,ocf_margin_t,R,0.07955675753438018
PCA-6,asset_turnover_t,R,0.4128477479354591
PCA-6,revenue_growth_1y,R,0.09573463309725301
