Feature,PC1,PC2,PC3,PC4,PC5,PC6
log_assets_t,0.29103861559519206,-0.15286031541092446,-0.014218277062844092,0.5083390815568983,-0.33302898123048247,0.008724969591219857
roa_t,0.4012490670448554,0.04243112652849221,-0.08255791400739432,-0.0859752444107193,0.16374525601038434,0.08043434556576569
ocf_to_assets_t,0.37210656868709735,0.0018227314147647485,-0.00103038840668627,0.02665315626654751,0.05407406162992765,0.01630610205109338
current_ratio_t,0.06770016916939532,0.15445207691770124,-0.2978616504701333,-0.3540664105593288,-0.3355458350850861,-0.47028764189300654
liabilities_to_assets_t,-0.3624909512408532,-0.06781031107198647,0.2309760675459756,0.1480397566178208,-0.0631532709141597,-0.07764936210837006
working_capital_to_assets_t,0.35959989034959217,0.07063165638512905,-0.2330919066799319,-0.17201767684679187,0.06415635763264715,0.0502481312102457
accruals_to_assets_t,0.3739791407138848,0.04971368051636542,-0.11305233685148729,-0.12692279614746083,0.18713630214938937,0.09443724325622543
asset_growth_1y,-0.036031955867288294,0.4174705409372683,0.15815672967912833,0.03510874578699821,-0.21907836946246953,-0.022931983192880707
delta_roa_1y,0.10074806880348876,0.3770089176479457,0.22140493697300626,0.14319140530684418,0.22016854159949467,0.09733306105354951
delta_ocf_to_assets_1y,0.06646492055368117,0.3722970103848241,0.2616004674882347,0.18367783973648297,0.06807302400458232,0.049620774809446065
current_ratio_change_1y,-0.0323775127864314,0.38733484045288014,0.09191376822140028,-0.018537380957530387,-0.1866207666834907,-0.3970722048639032
delta_liabilities_to_assets_1y,-0.13881621901039992,-0.4002382092980761,-0.13983479150421416,-0.11214751544412582,-0.1469042998060661,0.07361685325955537
log1p_revenues_t,0.28222316561779104,-0.22412811053782147,0.17161410690751808,0.4254515596770287,-0.2381427886967745,-0.04999710490341761
profit_margin_t,0.22811025226921186,-0.18223672793008894,0.45335382921113104,-0.3247726955976648,-0.14900354274279629,-0.11528159417533175
ocf_margin_t,0.1865602823217957,-0.1975562531220759,0.5013278221021963,-0.27753019157665254,-0.19337759661788265,-0.13426576148839287
asset_turnover_t,-0.06455284252550887,-0.14613921229210972,0.34279936401600564,-0.14946805836316354,0.4991299388810214,-0.06031667800381769
revenue_growth_1y,-0.06194039725883208,0.172759709169751,0.09748999137678703,-0.29371122308030523,-0.4250747396926397,0.7358957760110018
