Feature,PC1,PC2,PC3,PC4,PC5,PC6
log_assets_t,0.6701233886513372,-0.2649754481386058,-0.019506234454528964,0.5548578766700809,-0.33348817269323344,0.008319982542625596
roa_t,0.9238855948768062,0.07355216255238467,-0.11326224827292444,-0.09384295500912307,0.16397103342875835,0.07670082330236763
ocf_to_assets_t,0.8567842938575971,0.0031596106037413496,-0.0014136029106209095,0.029092222552157074,0.05414862074897186,0.015549221459739266
current_ratio_t,0.15588126229670485,0.2677346843566793,-0.40864017232205824,-0.38646750543250713,-0.3360084968698456,-0.44845829313833946
liabilities_to_assets_t,-0.8346441041996907,-0.11754566590037112,0.31687899363776256,0.1615870744546041,-0.0632403487496725,-0.07404511046523062
working_capital_to_assets_t,0.827987367198358,0.12243632203106156,-0.3197817401542778,-0.18775924651043752,0.06424481855757105,0.047915762925926045
accruals_to_assets_t,0.8610959358351341,0.0861760931084797,-0.15509793335089103,-0.13853767244438608,0.18739433192205446,0.09005374827393865
asset_growth_1y,-0.08296444207633029,0.7236635837898658,0.2169772213642272,0.03832159447638897,-0.21938044202251786,-0.0218675489739874
delta_roa_1y,0.23197484336778604,0.6535254532052059,0.30374823833414455,0.15629504397463406,0.22047211732523267,0.09281515085173174
delta_ocf_to_assets_1y,0.15303707274991082,0.6453576057473696,0.358892995943572,0.2004864466359646,0.06816688535968436,0.047317526536894965
current_ratio_change_1y,-0.07454999928505654,0.6714249061490706,0.12609766321203156,-0.020233761696263432,-0.1868780856186671,-0.37864129818332587
delta_liabilities_to_assets_1y,-0.31962767171901063,-0.6937922284528499,-0.19184112223480349,-0.12241028587173032,-0.14710685635253576,0.07019977864208203
log1p_revenues_t,0.6498256037705878,-0.38851448376622877,0.23543956769492255,0.46438520584600695,-0.2384711479136848,-0.04767638851106835
profit_margin_t,0.5252293236900655,-0.3158979393754246,0.6219618624931963,-0.35449308309687527,-0.1492089937954174,-0.10993056663372384
ocf_margin_t,0.4295595219265371,-0.3424535437002296,0.6877779911926772,-0.3029273538017874,-0.19364423209545023,-0.1280335455587047
asset_turnover_t,-0.1486344672572198,-0.2533247636159017,0.47029079091683385,-0.1631460820194717,0.4998181558821087,-0.057516957827101145
revenue_growth_1y,-0.14261924940995446,0.29947001767260795,0.13374775441218079,-0.32058913332688477,-0.4256608469160314,0.7017376903828763
