Component,Rank,Feature,Block,Loading,Abs loading,Sign,Component coefficient
PC1,1,roa_t,L,0.9238855948768062,0.9238855948768062,dodatni,0.4012490670448554
PC1,2,accruals_to_assets_t,L,0.8610959358351341,0.8610959358351341,dodatni,0.3739791407138848
PC1,3,ocf_to_assets_t,L,0.8567842938575971,0.8567842938575971,dodatni,0.37210656868709735
PC2,1,asset_growth_1y,D,0.7236635837898658,0.7236635837898658,dodatni,0.4174705409372683
PC2,2,delta_liabilities_to_assets_1y,D,-0.6937922284528499,0.6937922284528499,ujemny,-0.4002382092980761
PC2,3,current_ratio_change_1y,D,0.6714249061490706,0.6714249061490706,dodatni,0.38733484045288014
PC3,1,ocf_margin_t,R,0.6877779911926772,0.6877779911926772,dodatni,0.5013278221021963
PC3,2,profit_margin_t,R,0.6219618624931963,0.6219618624931963,dodatni,0.45335382921113104
PC3,3,asset_turnover_t,R,0.47029079091683385,0.47029079091683385,dodatni,0.34279936401600564
PC4,1,log_assets_t,L,0.5548578766700809,0.5548578766700809,dodatni,0.5083390815568983
PC4,2,log1p_revenues_t,R,0.46438520584600695,0.46438520584600695,dodatni,0.4254515596770287
PC4,3,current_ratio_t,L,-0.38646750543250713,0.38646750543250713,ujemny,-0.3540664105593288
PC5,1,asset_turnover_t,R,0.4998181558821087,0.4998181558821087,dodatni,0.4991299388810214
PC5,2,revenue_growth_1y,R,-0.4256608469160314,0.4256608469160314,ujemny,-0.4250747396926397
PC5,3,current_ratio_t,L,-0.3360084968698456,0.3360084968698456,ujemny,-0.3355458350850861
PC6,1,revenue_growth_1y,R,0.7017376903828763,0.7017376903828763,dodatni,0.7358957760110018
PC6,2,current_ratio_t,L,-0.44845829313833946,0.44845829313833946,ujemny,-0.47028764189300654
PC6,3,current_ratio_change_1y,D,-0.37864129818332587,0.37864129818332587,ujemny,-0.3970722048639032
