analysis_role,family,stage,feature_block,configuration_id,training_seed,status,failure_code,selected_ansatz_id,parameters,n,positive_n,positive_share,pooled_oof_pr_auc,pooled_oof_roc_auc,fold_pr_auc_mean,fold_pr_auc_sample_sd
PRIMARY_THREE_SEED_CONFIRMATION,elastic_net_logistic,coarse,L,model_stage_v1__coarse__elastic_net_logistic__011,AVERAGED_20260818_20260819_20260820,COMPLETE,,,"{""C"":100.0,""imbalance"":""sqrt"",""l1_ratio"":0.0}",10760,1986,0.1845724907063197,0.36595812775685244,0.7328872198849893,0.3652890722460734,0.0458197100465513
PRIMARY_THREE_SEED_CONFIRMATION,elastic_net_logistic,coarse,L,model_stage_v1__coarse__elastic_net_logistic__012,AVERAGED_20260818_20260819_20260820,COMPLETE,,,"{""C"":100.0,""imbalance"":""sqrt"",""l1_ratio"":0.75}",10760,1986,0.1845724907063197,0.36593299900311527,0.7328851252131687,0.3653055473620346,0.045838726786598824
PRIMARY_THREE_SEED_CONFIRMATION,elastic_net_logistic,coarse,L+D,model_stage_v1__coarse__elastic_net_logistic__006,AVERAGED_20260818_20260819_20260820,COMPLETE,,,"{""C"":0.1,""imbalance"":""sqrt"",""l1_ratio"":0.0}",10760,1986,0.1845724907063197,0.3707690397545122,0.732943431694531,0.37283276287719497,0.046606045301627846
PRIMARY_THREE_SEED_CONFIRMATION,elastic_net_logistic,coarse,L+D,model_stage_v1__coarse__elastic_net_logistic__009,AVERAGED_20260818_20260819_20260820,COMPLETE,,,"{""C"":1.0,""imbalance"":""sqrt"",""l1_ratio"":1.0}",10760,1986,0.1845724907063197,0.3703908532030409,0.7326987281152705,0.3729568763307165,0.04560118110717049
PRIMARY_THREE_SEED_CONFIRMATION,elastic_net_logistic,coarse,L+D+R,model_stage_v1__coarse__elastic_net_logistic__003,AVERAGED_20260818_20260819_20260820,COMPLETE,,,"{""C"":0.01,""imbalance"":""sqrt"",""l1_ratio"":0.25}",10760,1986,0.1845724907063197,0.38182578577644466,0.7401343252780863,0.38274531730600697,0.05400515592687906
PRIMARY_THREE_SEED_CONFIRMATION,elastic_net_logistic,coarse,L+D+R,model_stage_v1__coarse__elastic_net_logistic__006,AVERAGED_20260818_20260819_20260820,COMPLETE,,,"{""C"":0.1,""imbalance"":""sqrt"",""l1_ratio"":0.0}",10760,1986,0.1845724907063197,0.38175519811683034,0.7390349955960243,0.38288696096614405,0.052739941137267925
PRIMARY_THREE_SEED_CONFIRMATION,random_forest,coarse,L,model_stage_v1__coarse__random_forest__003,AVERAGED_20260818_20260819_20260820,COMPLETE,,,"{""criterion"":""gini"",""imbalance"":""none"",""max_depth"":6,""max_features"":0.5,""max_samples"":1.0,""min_samples_leaf"":5}",10760,1986,0.1845724907063197,0.39361203123337696,0.7527487546171732,0.3967819209744235,0.06994810111760127
PRIMARY_THREE_SEED_CONFIRMATION,random_forest,coarse,L,model_stage_v1__coarse__random_forest__011,AVERAGED_20260818_20260819_20260820,COMPLETE,,,"{""criterion"":""log_loss"",""imbalance"":""sqrt"",""max_depth"":null,""max_features"":""sqrt"",""max_samples"":1.0,""min_samples_leaf"":20}",10760,1986,0.1845724907063197,0.3916802800881278,0.7541162022922712,0.39621581525972815,0.07249784557162775
PRIMARY_THREE_SEED_CONFIRMATION,random_forest,coarse,L+D,model_stage_v1__coarse__random_forest__003,AVERAGED_20260818_20260819_20260820,COMPLETE,,,"{""criterion"":""gini"",""imbalance"":""none"",""max_depth"":6,""max_features"":0.5,""max_samples"":1.0,""min_samples_leaf"":5}",10760,1986,0.1845724907063197,0.40280225036468376,0.755781351613104,0.40870500531936355,0.07337321846265324
PRIMARY_THREE_SEED_CONFIRMATION,random_forest,coarse,L+D,model_stage_v1__coarse__random_forest__004,AVERAGED_20260818_20260819_20260820,COMPLETE,,,"{""criterion"":""gini"",""imbalance"":""sqrt"",""max_depth"":24,""max_features"":1.0,""max_samples"":0.7,""min_samples_leaf"":20}",10760,1986,0.1845724907063197,0.39997172971899764,0.7558088118998478,0.40535768340653894,0.07038201082555957
PRIMARY_THREE_SEED_CONFIRMATION,random_forest,coarse,L+D+R,model_stage_v1__coarse__random_forest__003,AVERAGED_20260818_20260819_20260820,COMPLETE,,,"{""criterion"":""gini"",""imbalance"":""none"",""max_depth"":6,""max_features"":0.5,""max_samples"":1.0,""min_samples_leaf"":5}",10760,1986,0.1845724907063197,0.4066369584050779,0.7587838197677795,0.41129915924394367,0.0734871080711478
PRIMARY_THREE_SEED_CONFIRMATION,random_forest,coarse,L+D+R,model_stage_v1__coarse__random_forest__008,AVERAGED_20260818_20260819_20260820,COMPLETE,,,"{""criterion"":""log_loss"",""imbalance"":""sqrt"",""max_depth"":12,""max_features"":""sqrt"",""max_samples"":0.7,""min_samples_leaf"":5}",10760,1986,0.1845724907063197,0.40426622843776583,0.7597980139526951,0.410282669704936,0.07826431884590138
PRIMARY_THREE_SEED_CONFIRMATION,hist_gradient_boosting,coarse,L,model_stage_v1__coarse__hist_gradient_boosting__005,AVERAGED_20260818_20260819_20260820,COMPLETE,,,"{""imbalance"":""none"",""l2_regularization"":1.0,""learning_rate"":0.06,""max_features"":0.7,""max_iter"":150,""max_leaf_nodes"":7,""min_samples_leaf"":50}",10760,1986,0.1845724907063197,0.397482148457217,0.7534898667237794,0.4001883851107812,0.0658749492864462
PRIMARY_THREE_SEED_CONFIRMATION,hist_gradient_boosting,coarse,L,model_stage_v1__coarse__hist_gradient_boosting__010,AVERAGED_20260818_20260819_20260820,COMPLETE,,,"{""imbalance"":""none"",""l2_regularization"":10.0,""learning_rate"":0.03,""max_features"":0.7,""max_iter"":300,""max_leaf_nodes"":15,""min_samples_leaf"":50}",10760,1986,0.1845724907063197,0.39588741756582896,0.7525771349985573,0.39953680172063283,0.06352281271335998
PRIMARY_THREE_SEED_CONFIRMATION,hist_gradient_boosting,coarse,L+D,model_stage_v1__coarse__hist_gradient_boosting__005,AVERAGED_20260818_20260819_20260820,COMPLETE,,,"{""imbalance"":""none"",""l2_regularization"":1.0,""learning_rate"":0.06,""max_features"":0.7,""max_iter"":150,""max_leaf_nodes"":7,""min_samples_leaf"":50}",10760,1986,0.1845724907063197,0.40237411205134144,0.7562962678572208,0.40894279092476316,0.058727004672371845
PRIMARY_THREE_SEED_CONFIRMATION,hist_gradient_boosting,coarse,L+D,model_stage_v1__coarse__hist_gradient_boosting__004,AVERAGED_20260818_20260819_20260820,COMPLETE,,,"{""imbalance"":""none"",""l2_regularization"":0.1,""learning_rate"":0.1,""max_features"":0.7,""max_iter"":150,""max_leaf_nodes"":7,""min_samples_leaf"":100}",10760,1986,0.1845724907063197,0.39978371606058627,0.7542286546054888,0.4057094485004091,0.055806057949570616
PRIMARY_THREE_SEED_CONFIRMATION,hist_gradient_boosting,coarse,L+D+R,model_stage_v1__coarse__hist_gradient_boosting__007,AVERAGED_20260818_20260819_20260820,COMPLETE,,,"{""imbalance"":""none"",""l2_regularization"":1.0,""learning_rate"":0.06,""max_features"":1.0,""max_iter"":300,""max_leaf_nodes"":7,""min_samples_leaf"":50}",10760,1986,0.1845724907063197,0.4078102954039723,0.7587946661506314,0.4142313063022775,0.05524470815180232
