comparison_id,replicate,status,model_a_ap,model_b_ap,delta_ap_a_minus_b,model_a_roc_auc,model_b_roc_auc,delta_roc_auc_a_minus_b
xgboost_minus_hist_gradient_boosting,1,VALID,0.4144484357098802,0.4036408461306994,0.01080758957918082,0.7555007030357763,0.7543159659902745,0.0011847370455018158
xgboost_minus_random_forest,1,VALID,0.4144484357098802,0.4035013456019293,0.010947090107950919,0.7555007030357763,0.7542812011101092,0.0012195019256671102
qnn_minus_pca_matched_mlp,1,VALID,0.3814100032819107,0.3880810470058804,-0.006671043723969705,0.7384991119308517,0.740740223387399,-0.0022411114565472623
qnn_minus_pca_matched_fixed_l2_logistic,1,VALID,0.3814100032819107,0.3717306363592292,0.00967936692268151,0.7384991119308517,0.7355050079634904,0.002994103967361328
xgboost_minus_hist_gradient_boosting,2,VALID,0.4300034127711832,0.43141623494043785,-0.001412822169254646,0.7633231065828378,0.7630261494655611,0.00029695711727661944
xgboost_minus_random_forest,2,VALID,0.4300034127711832,0.4249614666949488,0.005041946076234427,0.7633231065828378,0.7603929953606293,0.0029301112222084313
qnn_minus_pca_matched_mlp,2,VALID,0.3985014455507259,0.408137473302046,-0.009636027751320109,0.7435249299571884,0.7465072066743176,-0.0029822767171291398
qnn_minus_pca_matched_fixed_l2_logistic,2,VALID,0.3985014455507259,0.39114417209270813,0.007357273458017788,0.7435249299571884,0.7423340790237842,0.0011908509334042083
xgboost_minus_hist_gradient_boosting,3,VALID,0.41827246598848916,0.4121407261502355,0.006131739838253658,0.7601507167678727,0.7610543814053503,-0.000903664637477597
xgboost_minus_random_forest,3,VALID,0.41827246598848916,0.4092980842278639,0.00897438176062526,0.7601507167678727,0.758426772114754,0.0017239446531187586
qnn_minus_pca_matched_mlp,3,VALID,0.38604606677207887,0.38682776038958383,-0.0007816936175049638,0.736662435317152,0.7363843137598278,0.00027812155732420685
qnn_minus_pca_matched_fixed_l2_logistic,3,VALID,0.38604606677207887,0.3762245527728285,0.009821513999250353,0.736662435317152,0.7359218531421399,0.0007405821750121611
xgboost_minus_hist_gradient_boosting,4,VALID,0.4029188481573282,0.4060199613377428,-0.0031011131804146164,0.764797129294756,0.7648187112846755,-2.1581989919527977e-05
xgboost_minus_random_forest,4,VALID,0.4029188481573282,0.394401164355705,0.00851768380162321,0.764797129294756,0.7629117711419338,0.001885358152822203
qnn_minus_pca_matched_mlp,4,VALID,0.3701199880640783,0.3761468007743263,-0.006026812710247964,0.740867992766727,0.7434540441883729,-0.0025860514216459185
qnn_minus_pca_matched_fixed_l2_logistic,4,VALID,0.3701199880640783,0.3709651328960201,-0.0008451448319418131,0.740867992766727,0.7432637739986918,-0.002395781231964822
xgboost_minus_hist_gradient_boosting,5,VALID,0.41523705726082955,0.4090466234465524,0.006190433814277141,0.7626398944730242,0.7608542987262326,0.0017855957467916017
xgboost_minus_random_forest,5,VALID,0.41523705726082955,0.4119082070987431,0.0033288501620864497,0.7626398944730242,0.7604191451068784,0.002220749366145802
qnn_minus_pca_matched_mlp,5,VALID,0.38707358256842117,0.40239372543212704,-0.015320142863705866,0.7409685327907429,0.7457820449804662,-0.004813512189723257
qnn_minus_pca_matched_fixed_l2_logistic,5,VALID,0.38707358256842117,0.39230202446367834,-0.005228441895257174,0.7409685327907429,0.7430865538879909,-0.002118021097248013
xgboost_minus_hist_gradient_boosting,6,VALID,0.41171099249551485,0.3998338871135182,0.011877105381996655,0.7507445432670335,0.7507082531264523,3.629014058126323e-05
xgboost_minus_random_forest,6,VALID,0.41171099249551485,0.40636028569276594,0.005350706802748906,0.7507445432670335,0.7486039920061893,0.0021405512608442256
qnn_minus_pca_matched_mlp,6,VALID,0.37897629036279606,0.38129314510880885,-0.0023168547460127864,0.7315297076761131,0.7363989372885957,-0.004869229612482595
qnn_minus_pca_matched_fixed_l2_logistic,6,VALID,0.37897629036279606,0.36875343028802166,0.01022286007477441,0.7315297076761131,0.7321438616021054,-0.000614153925992289
xgboost_minus_hist_gradient_boosting,7,VALID,0.40883234918925504,0.40786846686280404,0.0009638823264510044,0.7525672949487854,0.7533211005386674,-0.0007538055898820284
xgboost_minus_random_forest,7,VALID,0.40883234918925504,0.40943301760852024,-0.0006006684192652045,0.7525672949487854,0.7515951382309296,0.0009721567178557766
qnn_minus_pca_matched_mlp,7,VALID,0.39124048108328535,0.40036681572171645,-0.0091263346384311,0.7341997345148843,0.7361979870061107,-0.0019982524912264266
qnn_minus_pca_matched_fixed_l2_logistic,7,VALID,0.39124048108328535,0.3885411552912048,0.0026993257920805425,0.7341997345148843,0.7356895603844519,-0.0014898258695675848
xgboost_minus_hist_gradient_boosting,8,VALID,0.42452244775751563,0.4204084993789056,0.004113948378610011,0.76877184255702,0.7669108240479823,0.0018610185090377485
xgboost_minus_random_forest,8,VALID,0.42452244775751563,0.4212344891180889,0.0032879586394267135,0.76877184255702,0.769022477356223,-0.0002506347992029534
qnn_minus_pca_matched_mlp,8,VALID,0.39657265796308033,0.40019160216241295,-0.003618944199332619,0.7492696508735835,0.750626516324987,-0.001356865451403455
qnn_minus_pca_matched_fixed_l2_logistic,8,VALID,0.39657265796308033,0.3889367628673793,0.007635895095701006,0.7492696508735835,0.7473866954590436,0.0018829554145399774
xgboost_minus_hist_gradient_boosting,9,VALID,0.3935436889702839,0.38754762503181034,0.0059960639384735726,0.7514623288010029,0.7514954639946193,-3.3135193616362635e-05
xgboost_minus_random_forest,9,VALID,0.3935436889702839,0.39123871682044,0.0023049721498439313,0.7514623288010029,0.7545833243443194,-0.0031209955433164627
qnn_minus_pca_matched_mlp,9,VALID,0.37206298734550614,0.3724209371989642,-0.0003579498534580505,0.7390605588572221,0.740407540235124,-0.0013469813779019013
qnn_minus_pca_matched_fixed_l2_logistic,9,VALID,0.37206298734550614,0.36131578355003224,0.010747203795473892,0.7390605588572221,0.7375013572914292,0.0015592015657929226
xgboost_minus_hist_gradient_boosting,10,VALID,0.4175274959920827,0.4061674859095483,0.0113600100825344,0.758618847983259,0.7573872774865756,0.0012315704966833207
xgboost_minus_random_forest,10,VALID,0.4175274959920827,0.40454238731466324,0.012985108677419477,0.758618847983259,0.7568699846943352,0.0017488632889237632
qnn_minus_pca_matched_mlp,10,VALID,0.37654425947549214,0.383446531982815,-0.0069022725073228375,0.7384718341898524,0.741725947129547,-0.0032541129396945756
qnn_minus_pca_matched_fixed_l2_logistic,10,VALID,0.37654425947549214,0.37940784625143226,-0.002863586775940119,0.7384718341898524,0.7416537441207756,-0.0031819099309231547
xgboost_minus_hist_gradient_boosting,11,VALID,0.4161248143565907,0.4064160156355897,0.009708798721001,0.7592965321638622,0.7570944592340991,0.0022020729297630437
xgboost_minus_random_forest,11,VALID,0.4161248143565907,0.4022578118117246,0.013867002544866114,0.7592965321638622,0.7546856109917415,0.004610921172120697
qnn_minus_pca_matched_mlp,11,VALID,0.37802439850597,0.3956136245119773,-0.017589226006007264,0.7334122731797272,0.7397100700215609,-0.006297796841833625
qnn_minus_pca_matched_fixed_l2_logistic,11,VALID,0.37802439850597,0.3872074357453523,-0.009183037239382297,0.7334122731797272,0.7361447482900848,-0.0027324751103575684
xgboost_minus_hist_gradient_boosting,12,VALID,0.41115776411291444,0.4048167795001462,0.006340984612768219,0.7556353056177689,0.7536416498122969,0.001993655805472061
xgboost_minus_random_forest,12,VALID,0.41115776411291444,0.4049113198665705,0.006246444246343963,0.7556353056177689,0.753974916790974,0.0016603888267949785
qnn_minus_pca_matched_mlp,12,VALID,0.3747480184676442,0.39356244023511366,-0.018814421767469447,0.7348683951623721,0.7388336460045162,-0.0039652508421440524
qnn_minus_pca_matched_fixed_l2_logistic,12,VALID,0.3747480184676442,0.3853538191502389,-0.010605800682594702,0.7348683951623721,0.7362543170023321,-0.0013859218399600026
xgboost_minus_hist_gradient_boosting,13,VALID,0.4007946908900226,0.40012304143315486,0.0006716494568677622,0.7520690875043425,0.7484585554058596,0.0036105320984829437
xgboost_minus_random_forest,13,VALID,0.4007946908900226,0.3966383296726536,0.004156361217369009,0.7520690875043425,0.75039253996364,0.0016765475407025665
qnn_minus_pca_matched_mlp,13,VALID,0.38167487608760226,0.3883025189528905,-0.006627642865288219,0.7318811414174793,0.7317490394510018,0.00013210196647750472
qnn_minus_pca_matched_fixed_l2_logistic,13,VALID,0.38167487608760226,0.3716573034206403,0.01001757266696196,0.7318811414174793,0.7292766437603622,0.002604497657117122
xgboost_minus_hist_gradient_boosting,14,VALID,0.41858047362698714,0.41165172092334584,0.006928752703641294,0.7634924280446432,0.7618609171413802,0.0016315109032630781
xgboost_minus_random_forest,14,VALID,0.41858047362698714,0.41469133154024307,0.0038891420867440685,0.7634924280446432,0.7601552623147112,0.0033371657299320345
qnn_minus_pca_matched_mlp,14,VALID,0.3856099632165199,0.4006263122006961,-0.015016348984176198,0.7364867817924806,0.7397709383502179,-0.0032841565577372833
qnn_minus_pca_matched_fixed_l2_logistic,14,VALID,0.3856099632165199,0.386610811066911,-0.0010008478503910623,0.7364867817924806,0.735964902759182,0.000521879033298589
xgboost_minus_hist_gradient_boosting,15,VALID,0.41674903652740647,0.4088455925610434,0.007903443966363055,0.7656781790457549,0.7646118260943312,0.0010663529514236547
xgboost_minus_random_forest,15,VALID,0.41674903652740647,0.41255981679371273,0.004189219733693739,0.7656781790457549,0.7642941664895047,0.0013840125562502026
qnn_minus_pca_matched_mlp,15,VALID,0.3900407347488897,0.396775852424197,-0.006735117675307323,0.7492472381349683,0.7498136217435377,-0.0005663836085694207
qnn_minus_pca_matched_fixed_l2_logistic,15,VALID,0.3900407347488897,0.38085685903897915,0.009183875709910527,0.7492472381349683,0.7445560644705453,0.004691173664422954
xgboost_minus_hist_gradient_boosting,16,VALID,0.3914686166788187,0.39040320370494297,0.0010654129738757456,0.7510569296159793,0.7535184652109121,-0.0024615355949328954
xgboost_minus_random_forest,16,VALID,0.3914686166788187,0.38715464571189073,0.004313970966927982,0.7510569296159793,0.7525859579219623,-0.0015290283059830045
qnn_minus_pca_matched_mlp,16,VALID,0.3519414858924161,0.36682992227222827,-0.014888436379812187,0.7296204179961179,0.7329951158562199,-0.003374697860102027
qnn_minus_pca_matched_fixed_l2_logistic,16,VALID,0.3519414858924161,0.35213241393410544,-0.0001909280416893533,0.7296204179961179,0.7313605800279008,-0.0017401620317829547
xgboost_minus_hist_gradient_boosting,17,VALID,0.4164456222778431,0.4064523628276792,0.009993259450163883,0.7528638048970111,0.7514546177132562,0.0014091871837549341
