period_role,period_label,year,family,feature_block,configuration_id,n,positive_n,average_precision,roc_auc,brier_score,f1_frozen_threshold,precision_frozen_threshold,recall_frozen_threshold,average_precision_ci_lower,average_precision_ci_upper,roc_auc_ci_lower,roc_auc_ci_upper,f1_ci_lower,f1_ci_upper,bootstrap_replicates,bootstrap_valid_replicates,fully_unseen_claimed,selection_or_tuning_performed,claim_class,required_labels,mandatory_disclosure,source_path,source_sha256,source_record
spent_development,design-exposed/spent development,2021,dummy_prior,BLOCK_AGNOSTIC,model_stage_v1__coarse__dummy_prior__001,1806,442,0.24473975636766335,0.5,0.19090250109863055,0.0,0.0,0.0,0.2248062015503876,0.26411960132890366,0.5,0.5,0.0,0.0,2000,2000,False,False,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation,"Target, feature, missingness and sample-design aggregates for 2021-2022 were exposed before this frozen evaluation.",reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[8]
spent_development,design-exposed/spent development,2021,elastic_net_logistic,L+D+R,model_stage_v1__coarse__elastic_net_logistic__003,1806,442,0.49623749247215027,0.7691378829898754,0.16010798371240603,0.5587939698492462,0.5027124773960217,0.6289592760180995,0.4500856440567998,0.5431586342428636,0.7436934870181775,0.7932050558611815,0.5196667093551898,0.5940783190066857,2000,2000,False,False,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation,"Target, feature, missingness and sample-design aggregates for 2021-2022 were exposed before this frozen evaluation.",reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[6]
spent_development,design-exposed/spent development,2021,fixed_l2_logistic,L+D+R,model_stage_v1__coarse__fixed_l2_logistic__002,1806,442,0.4912188751992759,0.7670081341808097,0.16065879007345155,0.5596244131455399,0.478330658105939,0.6742081447963801,0.4447253524831989,0.5422851539475514,0.7405419232133604,0.7910074142025645,0.5248498512740353,0.5940629932558473,2000,2000,False,False,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation,"Target, feature, missingness and sample-design aggregates for 2021-2022 were exposed before this frozen evaluation.",reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[7]
spent_development,design-exposed/spent development,2021,hist_gradient_boosting,L+D+R,model_stage_v1__coarse__hist_gradient_boosting__007,1806,442,0.515764440711905,0.7928703175382492,0.15367745240128086,0.5822050290135397,0.5084459459459459,0.6809954751131222,0.47013711935634006,0.5712382719682441,0.7684161662862681,0.8160983777000038,0.545624836258842,0.6183364832341606,2000,2000,False,False,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation,"Target, feature, missingness and sample-design aggregates for 2021-2022 were exposed before this frozen evaluation.",reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[1]
spent_development,design-exposed/spent development,2021,pytorch_mlp,L+D+R,model_stage_v1__coarse__pytorch_mlp__epochs_200__003,1806,442,0.512736442188369,0.7793586868539429,0.15695484376919583,0.5573080967402734,0.5206286836935167,0.5995475113122172,0.46557293958743257,0.5664632621979011,0.754696703312482,0.8038896589247291,0.5176876716509002,0.5957906372177758,2000,2000,False,False,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation,"Target, feature, missingness and sample-design aggregates for 2021-2022 were exposed before this frozen evaluation.",reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[3]
spent_development,design-exposed/spent development,2021,random_forest,L+D+R,model_stage_v1__coarse__random_forest__003,1806,442,0.554359236336356,0.796370138400499,0.14987431846724852,0.5996309963099631,0.5062305295950156,0.7352941176470589,0.5068368999542874,0.6038920421593182,0.7715445575238487,0.819735930378203,0.5637427452483555,0.6336500434784303,2000,2000,False,False,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation,"Target, feature, missingness and sample-design aggregates for 2021-2022 were exposed before this frozen evaluation.",reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[2]
spent_development,design-exposed/spent development,2021,rbf_svm,L+D+R,model_stage_v1__coarse__rbf_svm__004,1806,442,0.5191429523529831,0.7709823383447671,0.161980251136348,0.5772058823529411,0.48606811145510836,0.7104072398190046,0.4718009261414291,0.5695399341871793,0.7447259181512436,0.7961218992257466,0.5414287982740966,0.6114189402974176,2000,2000,False,False,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation,"Target, feature, missingness and sample-design aggregates for 2021-2022 were exposed before this frozen evaluation.",reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[4]
spent_development,design-exposed/spent development,2021,xgboost,L+D+R,model_stage_v1__coarse__xgboost__004,1806,442,0.5262831028568504,0.7956303658390945,0.15254214490809556,0.5884578997161779,0.5056910569105691,0.7036199095022625,0.48005903984659964,0.5782723149515065,0.7724585338341182,0.8187323303884522,0.5518467125605563,0.6225402504472272,2000,2000,False,False,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation,"Target, feature, missingness and sample-design aggregates for 2021-2022 were exposed before this frozen evaluation.",reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[0]
spent_development,design-exposed/spent development,2021,qnn,L+D+R,model_stage_v1__qnn_q2__t0,1806,442,0.4987961228096137,0.776747920011677,0.1554954367574431,0.5695970695970696,0.47846153846153844,0.7036199095022625,0.4537836377570943,0.5516578326260699,0.7521644700683794,0.801081321782358,0.5350780121062996,0.6045749281404562,2000,2000,False,False,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation,"Target, feature, missingness and sample-design aggregates for 2021-2022 were exposed before this frozen evaluation.",reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[5]
spent_development,design-exposed/spent development,2022,dummy_prior,BLOCK_AGNOSTIC,model_stage_v1__coarse__dummy_prior__001,1741,390,0.22400919012062034,0.5,0.17575828680526917,0.3660253402158611,0.22400919012062034,1.0,0.2045977011494253,0.2438324727481354,0.5,0.5,0.33969465648854963,0.39206642066420666,2000,2000,False,False,secondary_design_exposed_spent_development,secondary spent-development; design-exposed; not independent validation,"Target, feature, missingness and sample-design aggregates for 2021-2022 were exposed before this frozen evaluation.",reports/protected_period_extension_v1/spent_report_v1_0_0.json,0d0716380e58345d9d80f70015b42f6fadd211a069dde0fed3eed4e439ccc86c,metric_rows[17]
