analysis_id,display_label,family,variant_kind,fold_id,training_seed,train_rows,validation_rows,positive_n,positive_share,pr_auc,roc_auc,status
deterioration_score_at_least_2,Target: score ≥2,xgboost,label_definition,fold_2015,20260818,6468,2241,863,0.385095939313,0.676893950019,0.774064634288,COMPLETE
deterioration_score_at_least_2,Target: score ≥2,xgboost,label_definition,fold_2016,20260818,8761,2133,682,0.319737458978,0.545466156632,0.726885695172,COMPLETE
deterioration_score_at_least_2,Target: score ≥2,xgboost,label_definition,fold_2017,20260818,11089,1549,484,0.312459651388,0.597536036395,0.759513832305,COMPLETE
deterioration_score_at_least_2,Target: score ≥2,xgboost,label_definition,fold_2018,20260818,13221,1511,577,0.3818663137,0.614837927874,0.721994811827,COMPLETE
deterioration_score_at_least_2,Target: score ≥2,xgboost,label_definition,fold_2019,20260818,14783,1638,627,0.382783882784,0.521200853142,0.64403128584,COMPLETE
deterioration_score_at_least_2,Target: score ≥2,xgboost,label_definition,fold_2020,20260818,16280,1688,473,0.280213270142,0.481698146648,0.725486562437,COMPLETE
deterioration_score_at_least_4,Target: score ≥4,xgboost,label_definition,fold_2015,20260818,6468,2241,240,0.107095046854,0.36429339614,0.837890429785,COMPLETE
deterioration_score_at_least_4,Target: score ≥4,xgboost,label_definition,fold_2016,20260818,8761,2133,174,0.0815752461322,0.278939431216,0.826268973732,COMPLETE
deterioration_score_at_least_4,Target: score ≥4,xgboost,label_definition,fold_2017,20260818,11089,1549,130,0.0839251129761,0.282815088105,0.830471079308,COMPLETE
deterioration_score_at_least_4,Target: score ≥4,xgboost,label_definition,fold_2018,20260818,13221,1511,155,0.102581072138,0.274372121391,0.783947092968,COMPLETE
deterioration_score_at_least_4,Target: score ≥4,xgboost,label_definition,fold_2019,20260818,14783,1638,132,0.0805860805861,0.178677389992,0.720906776933,COMPLETE
deterioration_score_at_least_4,Target: score ≥4,xgboost,label_definition,fold_2020,20260818,16280,1688,91,0.0539099526066,0.211065409032,0.82899254784,COMPLETE
operating_performance_max_D1_D2_alternative_score_at_least_3,"Target: max(D1,D2)+D3+D4+D5 ≥3",xgboost,label_definition,fold_2015,20260818,6468,2241,371,0.165551093262,0.459696935271,0.81191965637,COMPLETE
operating_performance_max_D1_D2_alternative_score_at_least_3,"Target: max(D1,D2)+D3+D4+D5 ≥3",xgboost,label_definition,fold_2016,20260818,8761,2133,255,0.119549929677,0.338168101741,0.809335129153,COMPLETE
operating_performance_max_D1_D2_alternative_score_at_least_3,"Target: max(D1,D2)+D3+D4+D5 ≥3",xgboost,label_definition,fold_2017,20260818,11089,1549,182,0.117495158167,0.373128855419,0.828743860382,COMPLETE
operating_performance_max_D1_D2_alternative_score_at_least_3,"Target: max(D1,D2)+D3+D4+D5 ≥3",xgboost,label_definition,fold_2018,20260818,13221,1511,239,0.158173395103,0.351208833502,0.752212112839,COMPLETE
operating_performance_max_D1_D2_alternative_score_at_least_3,"Target: max(D1,D2)+D3+D4+D5 ≥3",xgboost,label_definition,fold_2019,20260818,14783,1638,215,0.131257631258,0.284113996646,0.728326986877,COMPLETE
operating_performance_max_D1_D2_alternative_score_at_least_3,"Target: max(D1,D2)+D3+D4+D5 ≥3",xgboost,label_definition,fold_2020,20260818,16280,1688,140,0.0829383886256,0.253073264037,0.797236064969,COMPLETE
fixed_l2_logistic_same_qnn_representation,Logistic fixed L2 — PCA QNN,fixed_l2_logistic,pca_matched_control,fold_2015,20260818,6468,2241,506,0.225792057117,0.47054769475,0.756238680503,COMPLETE
fixed_l2_logistic_same_qnn_representation,Logistic fixed L2 — PCA QNN,fixed_l2_logistic,pca_matched_control,fold_2016,20260818,8761,2133,351,0.164556962025,0.403576230031,0.780396558174,COMPLETE
fixed_l2_logistic_same_qnn_representation,Logistic fixed L2 — PCA QNN,fixed_l2_logistic,pca_matched_control,fold_2017,20260818,11089,1549,257,0.165913492576,0.394898177036,0.780944694077,COMPLETE
