family,family_label,feature_name,mean_pr_auc_decrease_across_folds,fold_sample_sd,min_fold_decrease,max_fold_decrease,positive_fold_count,mean_repeat_sample_sd,mean_fold_baseline_pr_auc,duplicate_rows_dropped_total,rank_within_family
elastic_net_logistic,Logistic Elastic Net,log_assets_t,0.0695892491136,0.0228315426255,0.0404122047218,0.0997498148093,6,0.0140589094533,0.382846620942,5,1
elastic_net_logistic,Logistic Elastic Net,log1p_revenues_t,0.0646476134433,0.0213246521952,0.0417496703608,0.0909934613344,6,0.0155029916614,0.382846620942,5,2
elastic_net_logistic,Logistic Elastic Net,current_ratio_t,0.00768984771206,0.0124637276605,-0.00786428231786,0.0241132694849,4,0.0039043196657,0.382846620942,5,3
elastic_net_logistic,Logistic Elastic Net,current_ratio_change_1y,0.00616948519622,0.00466652839753,-0.00045666216799,0.0139620945798,5,0.00322389341573,0.382846620942,5,4
elastic_net_logistic,Logistic Elastic Net,asset_turnover_t,0.00426340027448,0.00340907274143,0.00123056436903,0.010450778902,6,0.00259725992016,0.382846620942,5,5
elastic_net_logistic,Logistic Elastic Net,revenue_growth_1y,0.00377067999358,0.00352405411523,-0.00094983345941,0.00752952191034,4,0.00251366462994,0.382846620942,5,6
elastic_net_logistic,Logistic Elastic Net,profit_margin_t,0.00242617486276,0.00418214080921,-0.00131557968911,0.0100806646425,5,0.00174815365881,0.382846620942,5,7
elastic_net_logistic,Logistic Elastic Net,roa_t,0.00165637084676,0.0027758129895,-0.0011340691633,0.00685766897771,4,0.000586631399937,0.382846620942,5,8
elastic_net_logistic,Logistic Elastic Net,liabilities_to_assets_t,0.00121363591991,0.00259274952004,-0.0021778350159,0.0055079011289,4,0.000897904076209,0.382846620942,5,9
elastic_net_logistic,Logistic Elastic Net,delta_ocf_to_assets_1y,0.000611799283485,0.00136156545339,-0.000907766859259,0.0031324436222,4,0.000858844283213,0.382846620942,5,10
elastic_net_logistic,Logistic Elastic Net,working_capital_to_assets_t,0.000109016910925,0.0002670358051,0,0.000654101465547,1,6.55841553187e-05,0.382846620942,5,11
elastic_net_logistic,Logistic Elastic Net,asset_growth_1y,9.6033706805e-05,0.000601522412942,-0.000967388573195,0.000639483332364,3,0.000338488141616,0.382846620942,5,12
elastic_net_logistic,Logistic Elastic Net,ocf_margin_t,2.72335639155e-05,0.000249030941858,-0.000363197068005,0.00034299881101,4,0.000268554163372,0.382846620942,5,13
