family,family_label,feature_name,mean_pr_auc_decrease_across_folds,fold_sample_sd,min_fold_decrease,max_fold_decrease,positive_fold_count,mean_repeat_sample_sd,mean_fold_baseline_pr_auc,duplicate_rows_dropped_total,rank_within_family
elastic_net_logistic,Logistic Elastic Net,log_assets_t,0.0695892491136,0.0228315426255,0.0404122047218,0.0997498148093,6,0.0140589094533,0.382846620942,5,1
elastic_net_logistic,Logistic Elastic Net,log1p_revenues_t,0.0646476134433,0.0213246521952,0.0417496703608,0.0909934613344,6,0.0155029916614,0.382846620942,5,2
elastic_net_logistic,Logistic Elastic Net,current_ratio_t,0.00768984771206,0.0124637276605,-0.00786428231786,0.0241132694849,4,0.0039043196657,0.382846620942,5,3
elastic_net_logistic,Logistic Elastic Net,current_ratio_change_1y,0.00616948519622,0.00466652839753,-0.00045666216799,0.0139620945798,5,0.00322389341573,0.382846620942,5,4
elastic_net_logistic,Logistic Elastic Net,asset_turnover_t,0.00426340027448,0.00340907274143,0.00123056436903,0.010450778902,6,0.00259725992016,0.382846620942,5,5
fixed_l2_logistic,Logistic fixed L2,log1p_revenues_t,0.0797862200178,0.0250192486425,0.0487941906397,0.116037592317,6,0.0156614566207,0.382666574154,5,1
fixed_l2_logistic,Logistic fixed L2,log_assets_t,0.0638629719531,0.0191612316139,0.0400086686311,0.0824854231588,6,0.0134842495912,0.382666574154,5,2
fixed_l2_logistic,Logistic fixed L2,roa_t,0.0188485566088,0.0171357767994,-0.00154583032622,0.0428759309715,5,0.00360817063016,0.382666574154,5,3
fixed_l2_logistic,Logistic fixed L2,delta_ocf_to_assets_1y,0.0143586204338,0.0183778871012,0.00274797482934,0.0510380290098,6,0.00650514138337,0.382666574154,5,4
fixed_l2_logistic,Logistic fixed L2,current_ratio_change_1y,0.0139659159439,0.00672782784268,0.00578208828049,0.0249797004234,6,0.00610661922336,0.382666574154,5,5
hist_gradient_boosting,HistGradientBoosting,log1p_revenues_t,0.0349698730991,0.015331629239,0.0151998320407,0.046759521501,6,0.0133968841911,0.414349115073,5,1
hist_gradient_boosting,HistGradientBoosting,log_assets_t,0.0172033788087,0.00402617720797,0.0124017800227,0.0226127143196,6,0.0081784646708,0.414349115073,5,2
hist_gradient_boosting,HistGradientBoosting,revenue_growth_1y,0.0113384760691,0.0078497153354,0.00258578690018,0.0209218905044,6,0.0053458799379,0.414349115073,5,3
