component,feature_name,mean_loading_across_folds,mean_abs_loading_across_folds,fold_sample_sd,rank_within_component
pca_angle_1,roa_t,0.399321725254,0.399321725254,0.000951633751681,1
pca_angle_1,ocf_to_assets_t,0.370282941029,0.370282941029,0.00133957333343,2
pca_angle_1,accruals_to_assets_t,0.370006294789,0.370006294789,0.00365073587831,3
pca_angle_1,liabilities_to_assets_t,-0.355174331515,0.355174331515,0.00900531738086,4
pca_angle_1,working_capital_to_assets_t,0.347152644101,0.347152644101,0.00972717643354,5
pca_angle_1,log_assets_t,0.290767076732,0.290767076732,0.00584497785943,6
pca_angle_1,log1p_revenues_t,0.281111937404,0.281111937404,0.00669564094439,7
pca_angle_1,profit_margin_t,0.240728659276,0.240728659276,0.025937063513,8
pca_angle_1,ocf_margin_t,0.205705061459,0.205705061459,0.0256589523075,9
pca_angle_1,delta_liabilities_to_assets_1y,-0.153924626752,0.153924626752,0.0367450761073,10
pca_angle_1,delta_roa_1y,0.0886479757042,0.0886479757042,0.0328768689372,11
pca_angle_1,delta_ocf_to_assets_1y,0.0719858456403,0.0719858456403,0.014237623386,12
pca_angle_1,current_ratio_t,0.0718177695887,0.0718177695887,0.00529586296022,13
pca_angle_1,revenue_growth_1y,-0.0680788656673,0.0680788656673,0.00558984539242,14
pca_angle_1,asset_turnover_t,-0.0502416271729,0.0502416271729,0.0203555905853,15
pca_angle_1,current_ratio_change_1y,-0.0318020132917,0.0318020132917,0.0156585068868,16
pca_angle_1,asset_growth_1y,-0.0305427771282,0.0305427771282,0.0144300933904,17
pca_angle_1,asset_growth_1y__missing,0.0134970899128,0.0134970899128,0.00105885106691,18
pca_angle_1,delta_liabilities_to_assets_1y__missing,0.012445297198,0.012445297198,0.000953195219418,19
pca_angle_1,current_ratio_change_1y__missing,0.0107889825537,0.0107889825537,0.0011698657181,20
pca_angle_1,delta_roa_1y__missing,0.00997305941811,0.00997305941811,0.000584884210923,21
pca_angle_1,delta_ocf_to_assets_1y__missing,0.00920377607878,0.00920377607878,0.000471066342972,22
pca_angle_1,ocf_margin_t__missing,-0.00368927555049,0.00368927555049,0.00179854097199,23
pca_angle_1,asset_turnover_t__missing,-0.00362538109175,0.00362538109175,0.00180532059907,24
pca_angle_1,log1p_revenues_t__missing,-0.00360710668347,0.00360710668347,0.00182837104337,25
pca_angle_1,revenue_growth_1y__missing,-0.00307768224727,0.00307768224727,0.00157214257958,26
pca_angle_1,profit_margin_t__missing,-0.00292276886912,0.00292276886912,0.00185921469916,27
pca_angle_1,current_ratio_t__missing,-0.00237819325882,0.00237819325882,0.000460845475893,28
pca_angle_1,working_capital_to_assets_t__missing,-0.00237603544269,0.00237603544269,0.000460707952632,29
pca_angle_1,roa_t__missing,0.00202267875655,0.00202267875655,0.000303387392508,30
pca_angle_1,accruals_to_assets_t__missing,0.00198605716255,0.00198605716255,0.000324824172327,31
pca_angle_1,ocf_to_assets_t__missing,0.00125159971471,0.00125159971471,0.000358100629354,32
pca_angle_1,liabilities_to_assets_t__missing,-0.00040961680712,0.00040961680712,0.000118796370817,33
pca_angle_1,log_assets_t__missing,-1.82744082872e-05,3.18630522511e-05,3.11933376719e-05,34
pca_angle_2,asset_growth_1y,0.420628168311,0.420628168311,0.00690317176978,1
pca_angle_2,delta_liabilities_to_assets_1y,-0.387881487421,0.387881487421,0.0165968022553,2
pca_angle_2,current_ratio_change_1y,0.387557797187,0.387557797187,0.00385010402211,3
pca_angle_2,delta_roa_1y,0.368654173757,0.368654173757,0.0124653048463,4
pca_angle_2,delta_ocf_to_assets_1y,0.352103496085,0.352103496085,0.0109994256209,5
pca_angle_2,log1p_revenues_t,-0.22675792105,0.22675792105,0.0254884219181,6
pca_angle_2,ocf_margin_t,-0.205925627743,0.205925627743,0.0284456515762,7
pca_angle_2,revenue_growth_1y,0.191446840187,0.191446840187,0.00898314145649,8
pca_angle_2,profit_margin_t,-0.183022358973,0.183022358973,0.0311437806487,9
pca_angle_2,current_ratio_t,0.171788207814,0.171788207814,0.0136612590431,10
pca_angle_2,log_assets_t,-0.154847672827,0.154847672827,0.0233556094286,11
pca_angle_2,asset_turnover_t,-0.142895543207,0.142895543207,0.0168715195653,12
pca_angle_2,working_capital_to_assets_t,0.085654158187,0.085654158187,0.0181892852506,13
pca_angle_2,liabilities_to_assets_t,-0.0840693173251,0.0840693173251,0.0182465889146,14
pca_angle_2,accruals_to_assets_t,0.0471729213724,0.0471729213724,0.0122028047567,15
pca_angle_2,roa_t,0.0447396659077,0.0447396659077,0.0157707657562,16
pca_angle_2,asset_growth_1y__missing,-0.0176943099433,0.0176943099433,0.00214446662714,17
pca_angle_2,delta_liabilities_to_assets_1y__missing,-0.0169224049243,0.0169224049243,0.00212546885181,18
pca_angle_2,delta_roa_1y__missing,-0.015620316145,0.015620316145,0.00151253086634,19
pca_angle_2,delta_ocf_to_assets_1y__missing,-0.0149783968186,0.0149783968186,0.0016958723708,20
pca_angle_2,current_ratio_change_1y__missing,-0.0148810913263,0.0148810913263,0.0023653222983,21
pca_angle_2,ocf_to_assets_t,0.00409187953753,0.0148686527262,0.0201687119556,22
pca_angle_2,roa_t__missing,-0.00267197450645,0.00267197450645,0.000772732633321,23
pca_angle_2,accruals_to_assets_t__missing,-0.00252218016833,0.00252218016833,0.000816872054659,24
pca_angle_2,ocf_to_assets_t__missing,-0.00191254271218,0.00191254271218,0.000738211999062,25
pca_angle_2,current_ratio_t__missing,0.00151204566558,0.00151204566558,0.000317421198369,26
pca_angle_2,working_capital_to_assets_t__missing,0.00150850829422,0.00150850829422,0.00031859470468,27
pca_angle_2,revenue_growth_1y__missing,0.000279703853015,0.000818200022469,0.00116916194047,28
pca_angle_2,ocf_margin_t__missing,0.000518472952643,0.000535540998719,0.000652157011467,29
pca_angle_2,asset_turnover_t__missing,0.000434788338866,0.000491262743644,0.000619445405155,30
pca_angle_2,profit_margin_t__missing,-0.000149830672508,0.000479219156164,0.000622548049137,31
pca_angle_2,log1p_revenues_t__missing,0.000387708607506,0.000464522831185,0.000590887879146,32
pca_angle_2,liabilities_to_assets_t__missing,0.000356143090171,0.000356143090171,0.000112729489848,33
pca_angle_2,log_assets_t__missing,4.70797313599e-05,5.87072333799e-05,5.08094544765e-05,34
pca_angle_3,ocf_margin_t,0.461981018238,0.461981018238,0.029369783091,1
pca_angle_3,profit_margin_t,0.421327823395,0.421327823395,0.0260966011559,2
pca_angle_3,asset_turnover_t,0.345063086727,0.345063086727,0.0107909619112,3
pca_angle_3,current_ratio_t,-0.313980711012,0.313980711012,0.0198696358642,4
pca_angle_3,delta_ocf_to_assets_1y,0.281986161108,0.281986161108,0.0127044134671,5
pca_angle_3,working_capital_to_assets_t,-0.264620084893,0.264620084893,0.0367722523498,6
pca_angle_3,delta_roa_1y,0.255111417931,0.255111417931,0.0220770154414,7
pca_angle_3,liabilities_to_assets_t,0.252783052916,0.252783052916,0.0334501906758,8
pca_angle_3,log1p_revenues_t,0.165250755434,0.165250755434,0.0189071778405,9
pca_angle_3,asset_growth_1y,0.158508919907,0.158508919907,0.0319820909042,10
pca_angle_3,delta_liabilities_to_assets_1y,-0.121673581778,0.121673581778,0.0261287693639,11
pca_angle_3,accruals_to_assets_t,-0.106587542928,0.106587542928,0.00767519854981,12
pca_angle_3,revenue_growth_1y,0.0974410335341,0.0974410335341,0.0205117145459,13
pca_angle_3,current_ratio_change_1y,0.0974099725257,0.0974099725257,0.0345593091701,14
pca_angle_3,roa_t,-0.0673261630585,0.0673261630585,0.00966207572776,15
pca_angle_3,log_assets_t,-0.0200895651496,0.0219438916185,0.0171895710708,16
pca_angle_3,revenue_growth_1y__missing,0.0185335035997,0.0185335035997,0.00533342258973,17
pca_angle_3,profit_margin_t__missing,0.0158176262101,0.0158176262101,0.00487953032545,18
pca_angle_3,ocf_margin_t__missing,0.0156172292342,0.0156172292342,0.00472898852152,19
pca_angle_3,log1p_revenues_t__missing,0.0155395864184,0.0155395864184,0.00466089379706,20
pca_angle_3,asset_turnover_t__missing,0.0153088285317,0.0153088285317,0.00480958422151,21
pca_angle_3,delta_liabilities_to_assets_1y__missing,0.0151902184195,0.0151902184195,0.00224413405631,22
pca_angle_3,current_ratio_change_1y__missing,0.0150467660989,0.0150467660989,0.00154535026324,23
pca_angle_3,asset_growth_1y__missing,0.0142912162022,0.0142912162022,0.00189082997705,24
pca_angle_3,delta_ocf_to_assets_1y__missing,0.0138417224884,0.0138417224884,0.00205597912728,25
pca_angle_3,delta_roa_1y__missing,0.0134721418783,0.0134721418783,0.00214106561279,26
pca_angle_3,ocf_to_assets_t,0.00983506629881,0.00983506629881,0.00488921707776,27
pca_angle_3,accruals_to_assets_t__missing,0.00297881555346,0.00297881555346,0.00210990807313,28
pca_angle_3,roa_t__missing,0.00269934090161,0.00269934090161,0.00201022124798,29
pca_angle_3,ocf_to_assets_t__missing,0.00265188035325,0.00265188035325,0.00187896870137,30
pca_angle_3,liabilities_to_assets_t__missing,0.000197041651096,0.000289433852757,0.000460165620901,31
pca_angle_3,log_assets_t__missing,-0.000230757886709,0.000230757886709,0.000171385231208,32
pca_angle_3,working_capital_to_assets_t__missing,-0.000156576927455,0.000181456709434,0.000195671801846,33
pca_angle_3,current_ratio_t__missing,-0.000152505151213,0.000177384933192,0.000193481400502,34
pca_angle_4,log_assets_t,0.537925819796,0.537925819796,0.0190136245603,1
pca_angle_4,log1p_revenues_t,0.438238635006,0.438238635006,0.0117128318493,2
pca_angle_4,current_ratio_t,-0.334193210088,0.334193210088,0.018224080479,3
pca_angle_4,profit_margin_t,-0.318766398759,0.318766398759,0.0228789124636,4
pca_angle_4,ocf_margin_t,-0.272110897098,0.272110897098,0.0136790849465,5
pca_angle_4,asset_turnover_t,-0.254536770177,0.254536770177,0.101597979362,6
pca_angle_4,delta_ocf_to_assets_1y,0.17711304998,0.17711304998,0.0261786953738,7
pca_angle_4,working_capital_to_assets_t,-0.158783946284,0.158783946284,0.01660691769,8
pca_angle_4,delta_roa_1y,0.136550193284,0.136550193284,0.0254226026291,9
pca_angle_4,liabilities_to_assets_t,0.127304677279,0.127304677279,0.0236747150382,10
pca_angle_4,accruals_to_assets_t,-0.126948411421,0.126948411421,0.0136373361349,11
pca_angle_4,revenue_growth_1y,-0.115323893864,0.116109019391,0.0932076188663,12
pca_angle_4,roa_t,-0.0867808979923,0.0867808979923,0.0114441447599,13
pca_angle_4,asset_growth_1y,0.0811729144232,0.0811729144232,0.0213801187603,14
pca_angle_4,delta_liabilities_to_assets_1y,-0.0514570850703,0.0514570850703,0.0236395809685,15
pca_angle_4,current_ratio_change_1y,-0.0503850552475,0.0503850552475,0.0175966603376,16
pca_angle_4,revenue_growth_1y__missing,0.0359619881652,0.0359619881652,0.0115895524651,17
pca_angle_4,delta_liabilities_to_assets_1y__missing,0.0291442028322,0.0291442028322,0.0116004569782,18
pca_angle_4,asset_growth_1y__missing,0.0286589387125,0.0286589387125,0.0112923673736,19
pca_angle_4,current_ratio_change_1y__missing,0.0272291900648,0.0272291900648,0.0113753424181,20
pca_angle_4,delta_roa_1y__missing,0.0255913134193,0.0255913134193,0.0103845399781,21
pca_angle_4,delta_ocf_to_assets_1y__missing,0.0242768331603,0.0242768331603,0.0110276836371,22
pca_angle_4,ocf_to_assets_t,0.0158395020947,0.0158395020947,0.011176941861,23
pca_angle_4,asset_turnover_t__missing,0.00285564126998,0.00322274195293,0.00257565830395,24
pca_angle_4,profit_margin_t__missing,0.00279029025977,0.00307828525663,0.00233138669142,25
pca_angle_4,log1p_revenues_t__missing,0.00268712970406,0.0030373675188,0.00244619163403,26
pca_angle_4,ocf_margin_t__missing,0.00131185915293,0.00244621609484,0.00261123437291,27
pca_angle_4,ocf_to_assets_t__missing,-0.0014412250946,0.00151964508515,0.00210497690937,28
pca_angle_4,roa_t__missing,3.26207498686e-05,0.0014910645899,0.00172552951251,29
pca_angle_4,accruals_to_assets_t__missing,-0.00116955644374,0.00138899952834,0.00203621489385,30
pca_angle_4,working_capital_to_assets_t__missing,-0.00101099470927,0.00101099470927,0.000254394878422,31
pca_angle_4,current_ratio_t__missing,-0.000995497688541,0.000995497688541,0.00025811287102,32
pca_angle_4,liabilities_to_assets_t__missing,0.000299102942777,0.000444785708059,0.000423633761289,33
pca_angle_4,log_assets_t__missing,0.000168511565914,0.000190957051906,0.000158908255058,34
